계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 01 월 ~ 2017년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,대구광역시,전체(시 / 군 / 구),주택용,"665,518 ","287,019,392 ","31,679,316,371 ",110.4 
201701,대구광역시,전체(시 / 군 / 구),일반용,"149,325 ","418,328,854 ","55,811,758,355 ",133.4 
201701,대구광역시,전체(시 / 군 / 구),교육용,828 ,"32,231,706 ","3,223,847,131 ",100.0 
201701,대구광역시,전체(시 / 군 / 구),산업용,"20,684 ","595,113,621 ","72,028,045,102 ",121.0 
201701,대구광역시,전체(시 / 군 / 구),농사용,"12,817 ","7,330,704 ","365,865,978 ",49.9 
201701,대구광역시,전체(시 / 군 / 구),가로등,"49,574 ","12,722,664 ","1,326,292,683 ",104.2 
201701,대구광역시,전체(시 / 군 / 구),심 야,"21,020 ","38,628,662 ","2,911,956,345 ",75.4 
201702,대구광역시,전체(시 / 군 / 구),주택용,"666,606 ","289,942,157 ","32,179,798,243 ",111.0 
201702,대구광역시,전체(시 / 군 / 구),일반용,"149,390 ","418,645,117 ","55,832,333,100 ",133.4 
201702,대구광역시,전체(시 / 군 / 구),교육용,839 ,"31,797,237 ","3,214,171,484 ",101.1 
201702,대구광역시,전체(시 / 군 / 구),산업용,"20,695 ","573,406,388 ","70,206,452,163 ",122.4 
201702,대구광역시,전체(시 / 군 / 구),농사용,"12,838 ","8,007,961 ","396,101,295 ",49.5 
201702,대구광역시,전체(시 / 군 / 구),가로등,"50,162 ","12,018,925 ","1,296,651,650 ",107.9 
201702,대구광역시,전체(시 / 군 / 구),심 야,"20,960 ","41,557,556 ","3,136,494,944 ",75.5 
201703,대구광역시,전체(시 / 군 / 구),주택용,"667,282 ","252,228,545 ","24,707,213,331 ",98.0 
201703,대구광역시,전체(시 / 군 / 구),일반용,"149,375 ","352,340,715 ","44,081,137,990 ",125.1 
201703,대구광역시,전체(시 / 군 / 구),교육용,841 ,"29,619,685 ","2,888,650,185 ",97.5 
201703,대구광역시,전체(시 / 군 / 구),산업용,"20,746 ","580,856,764 ","60,186,049,878 ",103.6 
201703,대구광역시,전체(시 / 군 / 구),농사용,"13,279 ","6,375,375 ","327,309,732 ",51.3 
201703,대구광역시,전체(시 / 군 / 구),가로등,"49,693 ","10,851,423 ","1,188,840,426 ",109.6 
201703,대구광역시,전체(시 / 군 / 구),심 야,"20,903 ","31,513,116 ","2,104,450,752 ",66.8 
201704,대구광역시,전체(시 / 군 / 구),주택용,"668,131 ","263,251,612 ","26,979,111,988 ",102.5 
201704,대구광역시,전체(시 / 군 / 구),일반용,"149,415 ","335,864,915 ","38,757,587,036 ",115.4 
201704,대구광역시,전체(시 / 군 / 구),교육용,839 ,"26,292,412 ","2,382,618,989 ",90.6 
201704,대구광역시,전체(시 / 군 / 구),산업용,"20,758 ","568,665,523 ","56,607,267,221 ",99.5 
201704,대구광역시,전체(시 / 군 / 구),농사용,"13,037 ","5,301,581 ","280,271,681 ",52.9 
201704,대구광역시,전체(시 / 군 / 구),가로등,"49,733 ","10,641,569 ","1,193,923,591 ",112.2 
