년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201701-201706,대구광역시,남구,일반용,11973,149939940,50.94
201701-201706,대구광역시,남구,합계,17013,294342565,
201701-201706,대구광역시,달서구,일반용,27665,411868340,20.54
201701-201706,대구광역시,달서구,합계,28443,2005144115,
201701-201706,대구광역시,달성군,일반용,11453,151714023,8.54
201701-201706,대구광역시,달성군,합계,11928,1776683788,
201701-201706,대구광역시,동구,일반용,20867,348814560,49.44
201701-201706,대구광역시,동구,합계,23541,705539307,
201701-201706,대구광역시,북구,일반용,25014,375067939,32.21
201701-201706,대구광역시,북구,합계,24589,1164357504,
201701-201706,대구광역시,서구,일반용,14175,151865179,28.3
201701-201706,대구광역시,서구,합계,17966,536680364,
201701-201706,대구광역시,수성구,일반용,23032,353135816,44.2
201701-201706,대구광역시,수성구,합계,21347,799020999,
201701-201706,대구광역시,중구,일반용,15275,255128824,72.96
201701-201706,대구광역시,중구,합계,8918,349679477,
