계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 01 월 ~ 2017년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,대전광역시,전체(시 / 군 / 구),주택용,"422,078 ","173,203,968 ","18,478,581,635 ",106.7 
201701,대전광역시,전체(시 / 군 / 구),일반용,"78,342 ","310,145,931 ","41,317,680,522 ",133.2 
201701,대전광역시,전체(시 / 군 / 구),교육용,616 ,"38,266,717 ","3,741,182,705 ",97.8 
201701,대전광역시,전체(시 / 군 / 구),산업용,"5,472 ","279,716,641 ","33,193,369,762 ",118.7 
201701,대전광역시,전체(시 / 군 / 구),농사용,"6,601 ","2,952,192 ","149,323,658 ",50.6 
201701,대전광역시,전체(시 / 군 / 구),가로등,"27,112 ","8,340,285 ","886,731,897 ",106.3 
201701,대전광역시,전체(시 / 군 / 구),심 야,"17,757 ","35,903,387 ","2,699,086,104 ",75.2 
201702,대전광역시,전체(시 / 군 / 구),주택용,"423,228 ","176,255,400 ","19,093,044,325 ",108.3 
201702,대전광역시,전체(시 / 군 / 구),일반용,"78,274 ","314,808,806 ","41,784,204,821 ",132.7 
201702,대전광역시,전체(시 / 군 / 구),교육용,620 ,"37,008,551 ","3,506,657,831 ",94.8 
201702,대전광역시,전체(시 / 군 / 구),산업용,"5,475 ","270,285,709 ","32,741,583,740 ",121.1 
201702,대전광역시,전체(시 / 군 / 구),농사용,"6,600 ","3,174,790 ","159,196,075 ",50.1 
201702,대전광역시,전체(시 / 군 / 구),가로등,"30,925 ","7,913,613 ","865,294,794 ",109.3 
201702,대전광역시,전체(시 / 군 / 구),심 야,"17,731 ","39,203,690 ","2,948,205,193 ",75.2 
201703,대전광역시,전체(시 / 군 / 구),주택용,"424,156 ","151,906,673 ","14,328,646,561 ",94.3 
201703,대전광역시,전체(시 / 군 / 구),일반용,"78,268 ","273,766,448 ","33,477,323,824 ",122.3 
201703,대전광역시,전체(시 / 군 / 구),교육용,622 ,"34,093,918 ","3,186,372,790 ",93.5 
201703,대전광역시,전체(시 / 군 / 구),산업용,"5,487 ","280,629,885 ","27,532,647,885 ",98.1 
201703,대전광역시,전체(시 / 군 / 구),농사용,"8,063 ","2,580,886 ","134,633,087 ",52.2 
201703,대전광역시,전체(시 / 군 / 구),가로등,"30,925 ","7,069,779 ","791,027,279 ",111.9 
201703,대전광역시,전체(시 / 군 / 구),심 야,"17,728 ","29,339,068 ","1,920,816,638 ",65.5 
201704,대전광역시,전체(시 / 군 / 구),주택용,"424,843 ","159,131,543 ","15,781,784,822 ",99.2 
201704,대전광역시,전체(시 / 군 / 구),일반용,"78,225 ","256,442,437 ","29,132,460,893 ",113.6 
201704,대전광역시,전체(시 / 군 / 구),교육용,621 ,"30,205,919 ","2,621,836,518 ",86.8 
