계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 01 월 ~ 2017년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,전라남도,전체(시 / 군 / 구),주택용,"722,588 ","209,322,492 ","23,117,890,146 ",110.4 
201701,전라남도,전체(시 / 군 / 구),일반용,"143,839 ","338,898,557 ","45,532,485,064 ",134.4 
201701,전라남도,전체(시 / 군 / 구),교육용,"1,324 ","29,295,594 ","3,081,509,490 ",105.2 
201701,전라남도,전체(시 / 군 / 구),산업용,"19,733 ","1,976,760,485 ","209,465,687,610 ",106.0 
201701,전라남도,전체(시 / 군 / 구),농사용,"260,589 ","294,434,459 ","14,007,944,392 ",47.6 
201701,전라남도,전체(시 / 군 / 구),가로등,"147,018 ","22,317,305 ","2,360,237,689 ",105.8 
201701,전라남도,전체(시 / 군 / 구),심 야,"47,919 ","95,391,999 ","7,152,181,853 ",75.0 
201702,전라남도,전체(시 / 군 / 구),주택용,"723,630 ","213,182,763 ","24,014,892,721 ",112.6 
201702,전라남도,전체(시 / 군 / 구),일반용,"143,756 ","347,959,848 ","46,207,861,136 ",132.8 
201702,전라남도,전체(시 / 군 / 구),교육용,"1,325 ","26,579,460 ","2,886,193,129 ",108.6 
201702,전라남도,전체(시 / 군 / 구),산업용,"19,788 ","1,751,147,139 ","195,836,289,863 ",111.8 
201702,전라남도,전체(시 / 군 / 구),농사용,"260,770 ","318,804,102 ","15,058,924,882 ",47.2 
201702,전라남도,전체(시 / 군 / 구),가로등,"147,253 ","20,975,021 ","2,355,325,589 ",112.3 
201702,전라남도,전체(시 / 군 / 구),심 야,"47,770 ","105,816,013 ","7,933,962,605 ",75.0 
201703,전라남도,전체(시 / 군 / 구),주택용,"725,063 ","183,151,099 ","18,404,158,424 ",100.5 
201703,전라남도,전체(시 / 군 / 구),일반용,"143,641 ","300,029,246 ","37,938,404,543 ",126.4 
201703,전라남도,전체(시 / 군 / 구),교육용,"1,329 ","27,443,824 ","2,909,607,703 ",106.0 
201703,전라남도,전체(시 / 군 / 구),산업용,"19,814 ","1,923,753,873 ","170,807,582,970 ",88.8 
201703,전라남도,전체(시 / 군 / 구),농사용,"376,814 ","308,991,154 ","14,478,947,398 ",46.9 
201703,전라남도,전체(시 / 군 / 구),가로등,"147,413 ","19,967,042 ","2,253,839,992 ",112.9 
201703,전라남도,전체(시 / 군 / 구),심 야,"47,661 ","83,629,653 ","5,556,306,077 ",66.4 
201704,전라남도,전체(시 / 군 / 구),주택용,"726,257 ","195,095,973 ","20,666,740,055 ",105.9 
201704,전라남도,전체(시 / 군 / 구),일반용,"143,811 ","290,996,935 ","33,144,820,986 ",113.9 
201704,전라남도,전체(시 / 군 / 구),교육용,"1,329 ","28,275,742 ","2,588,877,628 ",91.6 
201704,전라남도,전체(시 / 군 / 구),산업용,"19,836 ","1,876,672,444 ","165,729,361,895 ",88.3 
201704,전라남도,전체(시 / 군 / 구),농사용,"286,359 ","310,657,221 ","14,384,656,980 ",46.3 
201704,전라남도,전체(시 / 군 / 구),가로등,"147,551 ","19,665,254 ","2,317,118,878 ",117.8 
201704,전라남도,전체(시 / 군 / 구),심 야,"47,531 ","70,144,843 ","3,793,303,881 ",54.1 
201705,전라남도,전체(시 / 군 / 구),주택용,"726,699 ","180,634,228 ","18,254,752,907 ",101.1 
201705,전라남도,전체(시 / 군 / 구),일반용,"143,890 ","256,313,864 ","30,723,138,455 ",119.9 
201705,전라남도,전체(시 / 군 / 구),교육용,"1,332 ","19,062,636 ","1,844,744,652 ",96.8 
201705,전라남도,전체(시 / 군 / 구),산업용,"19,879 ","1,961,900,323 ","170,346,153,349 ",86.8 
201705,전라남도,전체(시 / 군 / 구),농사용,"264,542 ","229,359,027 ","10,857,612,242 ",47.3 
201705,전라남도,전체(시 / 군 / 구),가로등,"147,749 ","18,857,426 ","2,282,673,114 ",121.0 
201705,전라남도,전체(시 / 군 / 구),심 야,"47,398 ","40,417,167 ","2,203,440,650 ",54.5 
201706,전라남도,전체(시 / 군 / 구),주택용,"727,930 ","180,156,888 ","18,215,058,165 ",101.1 
201706,전라남도,전체(시 / 군 / 구),일반용,"144,030 ","269,035,044 ","36,185,589,060 ",134.5 
201706,전라남도,전체(시 / 군 / 구),교육용,"1,331 ","20,336,753 ","2,322,897,882 ",114.2 
201706,전라남도,전체(시 / 군 / 구),산업용,"19,951 ","1,859,287,244 ","202,198,932,230 ",108.8 
201706,전라남도,전체(시 / 군 / 구),농사용,"266,055 ","243,326,626 ","11,043,193,888 ",45.4 
201706,전라남도,전체(시 / 군 / 구),가로등,"148,002 ","18,345,332 ","2,285,950,185 ",124.6 
201706,전라남도,전체(시 / 군 / 구),심 야,"47,295 ","25,241,767 ","1,400,232,378 ",55.5 
합계,합계,합계,합계,"8,227,794","16,711,633,865","1,604,149,482,736",96
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201701,전라남도,강진군,가로등,"4,545 ","344,529 ","40,064,981 ",116.3 
201701,전라남도,강진군,교육용,37 ,"634,080 ","62,086,355 ",97.9 
201701,전라남도,강진군,농사용,"8,950 ","13,126,300 ","623,508,998 ",47.5 
201701,전라남도,강진군,산업용,575 ,"3,966,265 ","527,586,004 ",133 
201701,전라남도,강진군,심 야,"1,548 ","2,420,418 ","181,241,157 ",74.9 
201701,전라남도,강진군,일반용,"3,007 ","5,994,955 ","804,024,553 ",134.1 
201701,전라남도,강진군,주택용,"19,290 ","3,900,974 ","437,423,050 ",112.1 
201701,전라남도,강진군,합계,"37,952 ","30,387,521 ","2,675,935,098 ",88.1 
201701,전라남도,고흥군,가로등,"11,342 ","645,439 ","64,207,951 ",99.5 
201701,전라남도,고흥군,교육용,67 ,"839,841 ","93,455,967 ",111.3 
201701,전라남도,고흥군,농사용,"18,950 ","21,366,244 ","1,023,496,555 ",47.9 
201701,전라남도,고흥군,산업용,"1,209 ","5,091,083 ","702,709,512 ",138 
201701,전라남도,고흥군,심 야,"1,815 ","3,412,050 ","257,028,976 ",75.3 
201701,전라남도,고흥군,일반용,"5,481 ","9,509,596 ","1,272,154,212 ",133.8 
201701,전라남도,고흥군,주택용,"39,341 ","7,718,753 ","881,129,459 ",114.2 
201701,전라남도,고흥군,합계,"78,205 ","48,583,006 ","4,294,182,632 ",88.4 
201701,전라남도,곡성군,가로등,"5,616 ","610,220 ","56,814,921 ",93.1 
201701,전라남도,곡성군,교육용,27 ,"908,875 ","95,930,971 ",105.5 
201701,전라남도,곡성군,농사용,"7,674 ","6,112,553 ","293,188,167 ",48 
201701,전라남도,곡성군,산업용,452 ,"18,548,453 ","2,200,150,244 ",118.6 
201701,전라남도,곡성군,심 야,"1,481 ","3,113,007 ","229,628,873 ",73.8 
201701,전라남도,곡성군,일반용,"2,128 ","4,309,020 ","586,109,384 ",136 
201701,전라남도,곡성군,주택용,"16,099 ","3,045,468 ","334,200,907 ",109.7 
201701,전라남도,곡성군,합계,"33,477 ","36,647,596 ","3,796,023,467 ",103.6 
201701,전라남도,광양시,가로등,"6,499 ","1,348,396 ","145,964,269 ",108.3 
201701,전라남도,광양시,교육용,74 ,"1,580,181 ","157,908,246 ",99.9 
201701,전라남도,광양시,농사용,"8,095 ","6,664,661 ","317,982,566 ",47.7 
201701,전라남도,광양시,산업용,938 ,"452,138,423 ","42,069,625,801 ",93 
201701,전라남도,광양시,심 야,"1,926 ","4,305,327 ","322,839,144 ",75 
