계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 07 월 ~ 2017년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,대구광역시,전체(시 / 군 / 구),주택용,"670,119 ","293,440,763 ","32,616,245,042 ",111.2 
201707,대구광역시,전체(시 / 군 / 구),일반용,"150,125 ","420,775,590 ","60,793,907,715 ",144.5 
201707,대구광역시,전체(시 / 군 / 구),교육용,832 ,"33,061,088 ","3,772,901,423 ",114.1 
201707,대구광역시,전체(시 / 군 / 구),산업용,"20,797 ","574,018,299 ","72,503,684,424 ",126.3 
201707,대구광역시,전체(시 / 군 / 구),농사용,"13,392 ","7,341,893 ","343,377,389 ",46.8 
201707,대구광역시,전체(시 / 군 / 구),가로등,"51,082 ","8,875,844 ","1,052,199,484 ",118.5 
201707,대구광역시,전체(시 / 군 / 구),심 야,"20,527 ","11,845,206 ","766,447,229 ",64.7 
201708,대구광역시,전체(시 / 군 / 구),주택용,"670,597 ","344,046,055 ","42,521,573,102 ",123.6 
201708,대구광역시,전체(시 / 군 / 구),일반용,"150,308 ","459,166,387 ","65,161,347,349 ",141.9 
201708,대구광역시,전체(시 / 군 / 구),교육용,833 ,"30,170,071 ","3,589,878,970 ",119.0 
201708,대구광역시,전체(시 / 군 / 구),산업용,"20,807 ","552,044,089 ","70,207,426,358 ",127.2 
201708,대구광역시,전체(시 / 군 / 구),농사용,"13,467 ","8,038,252 ","377,824,308 ",47.0 
201708,대구광역시,전체(시 / 군 / 구),가로등,"50,457 ","9,473,763 ","1,093,503,825 ",115.4 
201708,대구광역시,전체(시 / 군 / 구),심 야,"20,378 ","11,058,190 ","739,487,974 ",66.9 
201709,대구광역시,전체(시 / 군 / 구),주택용,"671,601 ","281,869,154 ","30,246,182,707 ",107.3 
201709,대구광역시,전체(시 / 군 / 구),일반용,"150,372 ","398,275,362 ","50,746,653,801 ",127.4 
201709,대구광역시,전체(시 / 군 / 구),교육용,833 ,"28,578,586 ","2,934,660,614 ",102.7 
201709,대구광역시,전체(시 / 군 / 구),산업용,"20,819 ","571,810,497 ","60,643,825,185 ",106.1 
201709,대구광역시,전체(시 / 군 / 구),농사용,"13,520 ","6,696,474 ","333,911,403 ",49.9 
201709,대구광역시,전체(시 / 군 / 구),가로등,"50,532 ","10,085,973 ","1,135,649,537 ",112.6 
201709,대구광역시,전체(시 / 군 / 구),심 야,"20,286 ","8,823,916 ","554,811,290 ",62.9 
201710,대구광역시,전체(시 / 군 / 구),주택용,"671,940 ","245,775,957 ","23,626,103,467 ",96.1 
201710,대구광역시,전체(시 / 군 / 구),일반용,"150,328 ","321,873,320 ","37,522,136,532 ",116.6 
201710,대구광역시,전체(시 / 군 / 구),교육용,832 ,"21,571,272 ","2,022,227,837 ",93.7 
201710,대구광역시,전체(시 / 군 / 구),산업용,"20,839 ","494,536,366 ","50,638,730,169 ",102.4 
201710,대구광역시,전체(시 / 군 / 구),농사용,"13,550 ","5,231,522 ","283,811,820 ",54.3 
201710,대구광역시,전체(시 / 군 / 구),가로등,"50,654 ","10,808,665 ","1,175,131,959 ",108.7 
201710,대구광역시,전체(시 / 군 / 구),심 야,"20,211 ","8,050,759 ","494,337,660 ",61.4 
201711,대구광역시,전체(시 / 군 / 구),주택용,"672,645 ","261,266,099 ","26,295,357,736 ",100.6 
201711,대구광역시,전체(시 / 군 / 구),일반용,"150,569 ","330,521,985 ","43,717,180,311 ",132.3 
201711,대구광역시,전체(시 / 군 / 구),교육용,832 ,"26,497,149 ","2,860,615,447 ",108.0 
201711,대구광역시,전체(시 / 군 / 구),산업용,"20,817 ","567,825,340 ","67,199,287,090 ",118.3 
201711,대구광역시,전체(시 / 군 / 구),농사용,"13,928 ","5,756,376 ","298,469,561 ",51.9 
201711,대구광역시,전체(시 / 군 / 구),가로등,"51,730 ","11,889,697 ","1,263,374,561 ",106.3 
201711,대구광역시,전체(시 / 군 / 구),심 야,"20,179 ","16,529,870 ","1,081,510,670 ",65.4 
201712,대구광역시,전체(시 / 군 / 구),주택용,"672,503 ","278,291,606 ","29,307,512,411 ",105.3 
201712,대구광역시,전체(시 / 군 / 구),일반용,"150,943 ","402,972,538 ","54,669,368,030 ",135.7 
201712,대구광역시,전체(시 / 군 / 구),교육용,832 ,"38,662,502 ","3,830,191,548 ",99.1 
201712,대구광역시,전체(시 / 군 / 구),산업용,"20,818 ","586,777,822 ","71,254,410,589 ",121.4 
201712,대구광역시,전체(시 / 군 / 구),농사용,"13,550 ","6,617,413 ","339,981,660 ",51.4 
201712,대구광역시,전체(시 / 군 / 구),가로등,"50,843 ","12,303,969 ","1,288,048,208 ",104.7 
201712,대구광역시,전체(시 / 군 / 구),심 야,"20,148 ","31,667,828 ","2,388,015,738 ",75.4 
합계,합계,합계,합계,"5,570,375","7,754,923,507","923,691,302,133",119.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,대구광역시,남구,가로등,"8,658 ","363,025 ","42,894,511 ",118.2 
201707,대구광역시,남구,교육용,57 ,"2,662,026 ","333,399,098 ",125.2 
201707,대구광역시,남구,농사용,27 ,"29,941 ","1,555,189 ",51.9 
201707,대구광역시,남구,산업용,360 ,"1,108,559 ","142,098,509 ",128.2 
201707,대구광역시,남구,심 야,"3,372 ","492,819 ","29,583,038 ",60 
201707,대구광역시,남구,일반용,"11,950 ","28,598,420 ","3,936,249,975 ",137.6 
201707,대구광역시,남구,주택용,"78,760 ","18,644,294 ","2,058,902,106 ",110.4 
201707,대구광역시,남구,합계,"103,184 ","51,899,084 ","6,544,682,426 ",126.1 
201707,대구광역시,달서구,가로등,"11,529 ","1,399,891 ","165,834,523 ",118.5 
201707,대구광역시,달서구,교육용,198 ,"6,056,037 ","709,986,593 ",117.2 
201707,대구광역시,달서구,농사용,165 ,"40,617 ","2,258,639 ",55.6 
201707,대구광역시,달서구,산업용,"3,786 ","193,433,529 ","24,552,600,066 ",126.9 
201707,대구광역시,달서구,심 야,"2,792 ","1,291,864 ","81,939,368 ",63.4 
