계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 07 월 ~ 2017년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,인천광역시,전체(시 / 군 / 구),주택용,"738,891 ","345,336,197 ","39,507,387,224 ",114.4 
201707,인천광역시,전체(시 / 군 / 구),일반용,"133,402 ","518,859,712 ","73,906,693,817 ",142.4 
201707,인천광역시,전체(시 / 군 / 구),교육용,"1,010 ","30,292,766 ","3,632,464,013 ",119.9 
201707,인천광역시,전체(시 / 군 / 구),산업용,"18,893 ","1,189,898,690 ","145,809,921,742 ",122.5 
201707,인천광역시,전체(시 / 군 / 구),농사용,"22,911 ","11,328,988 ","541,098,930 ",47.8 
201707,인천광역시,전체(시 / 군 / 구),가로등,"58,739 ","11,625,092 ","1,460,761,564 ",125.7 
201707,인천광역시,전체(시 / 군 / 구),심 야,"16,841 ","10,308,387 ","651,220,020 ",63.2 
201708,인천광역시,전체(시 / 군 / 구),주택용,"739,878 ","418,798,229 ","54,661,094,322 ",130.5 
201708,인천광역시,전체(시 / 군 / 구),일반용,"133,600 ","574,796,285 ","80,300,869,668 ",139.7 
201708,인천광역시,전체(시 / 군 / 구),교육용,"1,012 ","27,987,230 ","3,487,909,665 ",124.6 
201708,인천광역시,전체(시 / 군 / 구),산업용,"18,911 ","1,169,018,895 ","143,498,145,681 ",122.8 
201708,인천광역시,전체(시 / 군 / 구),농사용,"23,007 ","13,926,412 ","662,156,377 ",47.5 
201708,인천광역시,전체(시 / 군 / 구),가로등,"61,976 ","12,122,100 ","1,482,584,313 ",122.3 
201708,인천광역시,전체(시 / 군 / 구),심 야,"16,755 ","9,314,813 ","589,440,022 ",63.3 
201709,인천광역시,전체(시 / 군 / 구),주택용,"741,480 ","333,842,970 ","36,250,813,306 ",108.6 
201709,인천광역시,전체(시 / 군 / 구),일반용,"133,662 ","493,647,443 ","61,025,642,409 ",123.6 
201709,인천광역시,전체(시 / 군 / 구),교육용,"1,015 ","26,424,910 ","2,955,314,823 ",111.8 
201709,인천광역시,전체(시 / 군 / 구),산업용,"18,929 ","1,152,396,098 ","116,527,963,505 ",101.1 
201709,인천광역시,전체(시 / 군 / 구),농사용,"23,103 ","14,643,078 ","704,208,154 ",48.1 
201709,인천광역시,전체(시 / 군 / 구),가로등,"62,073 ","13,471,229 ","1,582,892,328 ",117.5 
201709,인천광역시,전체(시 / 군 / 구),심 야,"16,704 ","8,708,249 ","523,280,991 ",60.1 
201710,인천광역시,전체(시 / 군 / 구),주택용,"742,290 ","295,911,405 ","29,599,432,992 ",100.0 
201710,인천광역시,전체(시 / 군 / 구),일반용,"133,581 ","412,393,331 ","47,098,127,244 ",114.2 
201710,인천광역시,전체(시 / 군 / 구),교육용,"1,015 ","19,179,225 ","1,504,950,027 ",78.5 
201710,인천광역시,전체(시 / 군 / 구),산업용,"18,943 ","1,057,598,786 ","102,692,586,064 ",97.1 
201710,인천광역시,전체(시 / 군 / 구),농사용,"23,194 ","11,498,149 ","582,514,856 ",50.7 
201710,인천광역시,전체(시 / 군 / 구),가로등,"62,145 ","14,537,128 ","1,642,193,679 ",113.0 
201710,인천광역시,전체(시 / 군 / 구),심 야,"16,632 ","9,714,563 ","570,097,339 ",58.7 
201711,인천광역시,전체(시 / 군 / 구),주택용,"743,671 ","314,621,962 ","33,061,141,113 ",105.1 
201711,인천광역시,전체(시 / 군 / 구),일반용,"133,821 ","429,787,494 ","56,893,185,773 ",132.4 
201711,인천광역시,전체(시 / 군 / 구),교육용,"1,015 ","31,470,536 ","3,755,376,881 ",119.3 
201711,인천광역시,전체(시 / 군 / 구),산업용,"18,984 ","1,149,748,823 ","136,657,768,897 ",118.9 
201711,인천광역시,전체(시 / 군 / 구),농사용,"31,008 ","19,210,201 ","752,923,119 ",39.2 
201711,인천광역시,전체(시 / 군 / 구),가로등,"62,334 ","15,930,278 ","1,748,301,842 ",109.7 
201711,인천광역시,전체(시 / 군 / 구),심 야,"16,560 ","19,006,818 ","1,251,422,899 ",65.8 
201712,인천광역시,전체(시 / 군 / 구),주택용,"744,457 ","341,336,366 ","37,636,553,549 ",110.3 
201712,인천광역시,전체(시 / 군 / 구),일반용,"134,396 ","535,048,465 ","71,339,808,538 ",133.3 
201712,인천광역시,전체(시 / 군 / 구),교육용,"1,015 ","48,167,948 ","4,445,172,461 ",92.3 
201712,인천광역시,전체(시 / 군 / 구),산업용,"19,016 ","1,221,386,538 ","144,655,932,118 ",118.4 
201712,인천광역시,전체(시 / 군 / 구),농사용,"27,756 ","16,652,229 ","697,516,726 ",41.9 
201712,인천광역시,전체(시 / 군 / 구),가로등,"62,501 ","17,007,618 ","1,826,987,802 ",107.4 
201712,인천광역시,전체(시 / 군 / 구),심 야,"16,504 ","37,293,187 ","2,844,719,541 ",76.3 
합계,합계,합계,합계,"5,993,630","12,404,248,823","1,451,018,576,334",117
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,인천광역시,강화군,가로등,"9,217 ","657,405 ","83,847,266 ",127.5 
201707,인천광역시,강화군,교육용,63 ,"966,449 ","122,419,641 ",126.7 
201707,인천광역시,강화군,농사용,"14,394 ","7,226,329 ","332,535,057 ",46 
201707,인천광역시,강화군,산업용,983 ,"5,710,238 ","823,567,623 ",144.2 
201707,인천광역시,강화군,심 야,"6,997 ","2,698,442 ","148,915,931 ",55.2 
201707,인천광역시,강화군,일반용,"7,403 ","12,485,774 ","1,993,080,788 ",159.6 
201707,인천광역시,강화군,주택용,"34,059 ","6,348,314 ","710,530,493 ",111.9 
201707,인천광역시,강화군,합계,"73,116 ","36,092,951 ","4,214,896,799 ",116.8 
201707,인천광역시,계양구,가로등,"3,222 ","835,243 ","105,291,281 ",126.1 
201707,인천광역시,계양구,교육용,99 ,"2,409,654 ","298,191,036 ",123.7 
201707,인천광역시,계양구,농사용,"1,805 ","689,604 ","38,786,263 ",56.2 
201707,인천광역시,계양구,산업용,"1,509 ","33,263,100 ","4,155,712,068 ",124.9 
201707,인천광역시,계양구,심 야,730 ,"458,037 ","27,039,958 ",59 
201707,인천광역시,계양구,일반용,"12,568 ","41,443,555 ","5,882,009,417 ",141.9 
201707,인천광역시,계양구,주택용,"78,992 ","35,051,929 ","3,880,853,630 ",110.7 
201707,인천광역시,계양구,합계,"98,925 ","114,151,122 ","14,387,883,653 ",126 
201707,인천광역시,남구,가로등,"11,526 ","1,015,757 ","123,098,375 ",121.2 
201707,인천광역시,남구,교육용,122 ,"5,198,878 ","623,364,137 ",119.9 
201707,인천광역시,남구,농사용,28 ,"19,869 ","1,001,222 ",50.4 
201707,인천광역시,남구,산업용,"1,370 ","82,094,105 ","9,801,215,243 ",119.4 
201707,인천광역시,남구,심 야,"1,601 ","1,896,633 ","117,338,932 ",61.9 
201707,인천광역시,남구,일반용,"20,904 ","52,687,179 ","7,858,030,297 ",149.1 
201707,인천광역시,남구,주택용,"156,977 ","46,870,474 ","5,196,883,335 ",110.9 
201707,인천광역시,남구,합계,"192,528 ","189,782,895 ","23,720,931,541 ",125 
201707,인천광역시,남동구,가로등,"9,407 ","1,576,395 ","198,261,948 ",125.8 
201707,인천광역시,남동구,교육용,172 ,"3,313,489 ","402,833,755 ",121.6 
201707,인천광역시,남동구,농사용,"1,529 ","613,996 ","34,171,456 ",55.7 
201707,인천광역시,남동구,산업용,"4,501 ","194,783,638 ","27,182,658,956 ",139.6 
201707,인천광역시,남동구,심 야,"1,130 ","1,192,528 ","80,022,795 ",67.1 
201707,인천광역시,남동구,일반용,"22,366 ","81,336,488 ","11,776,758,030 ",144.8 
201707,인천광역시,남동구,주택용,"111,294 ","63,810,009 ","7,205,745,200 ",112.9 
201707,인천광역시,남동구,합계,"150,399 ","346,626,543 ","46,880,452,140 ",135.2 
201707,인천광역시,동구,가로등,407 ,"320,062 ","40,034,826 ",125.1 
201707,인천광역시,동구,교육용,33 ,"699,548 ","89,150,464 ",127.4 
201707,인천광역시,동구,농사용,2 ,"6,602 ","319,455 ",48.4 
201707,인천광역시,동구,산업용,481 ,"327,849,410 ","35,047,730,344 ",106.9 
201707,인천광역시,동구,심 야,336 ,"131,377 ","6,915,231 ",52.6 
201707,인천광역시,동구,일반용,"3,687 ","9,405,070 ","1,448,164,881 ",154 
201707,인천광역시,동구,주택용,"18,944 ","7,659,077 ","816,723,653 ",106.6 
201707,인천광역시,동구,합계,"23,890 ","346,071,146 ","37,449,038,854 ",108.2 
201707,인천광역시,부평구,가로등,"7,342 ","1,067,282 ","133,074,980 ",124.7 
201707,인천광역시,부평구,교육용,176 ,"3,573,423 ","427,686,076 ",119.7 
201707,인천광역시,부평구,농사용,71 ,"109,723 ","5,254,821 ",47.9 
201707,인천광역시,부평구,산업용,"2,597 ","74,102,385 ","9,694,331,661 ",130.8 
201707,인천광역시,부평구,심 야,"1,532 ","1,104,463 ","72,689,923 ",65.8 
201707,인천광역시,부평구,일반용,"22,197 ","70,440,220 ","10,212,430,264 ",145 
201707,인천광역시,부평구,주택용,"132,117 ","61,461,327 ","6,745,365,607 ",109.7 
201707,인천광역시,부평구,합계,"166,032 ","211,858,823 ","27,290,833,332 ",128.8 
201707,인천광역시,서구,가로등,"10,304 ","2,366,670 ","293,069,340 ",123.8 
201707,인천광역시,서구,교육용,151 ,"3,391,853 ","408,138,466 ",120.3 
201707,인천광역시,서구,농사용,"1,166 ","900,469 ","39,682,070 ",44.1 
201707,인천광역시,서구,산업용,"5,712 ","310,450,929 ","39,016,418,477 ",125.7 
201707,인천광역시,서구,심 야,975 ,"571,885 ","51,498,895 ",90.1 
201707,인천광역시,서구,일반용,"21,459 ","80,422,356 ","11,799,292,393 ",146.7 
201707,인천광역시,서구,주택용,"113,496 ","58,505,098 ","6,779,134,658 ",115.9 
201707,인천광역시,서구,합계,"153,263 ","456,609,260 ","58,387,234,299 ",127.9 
201707,인천광역시,연수구,가로등,"2,100 ","1,596,655 ","201,838,831 ",126.4 
201707,인천광역시,연수구,교육용,111 ,"8,948,239 ","1,047,584,370 ",117.1 
