계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2017년 07 월 ~ 2017년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201707,충청남도,전체(시 / 군 / 구),주택용,"746,922 ","231,512,380 ","24,151,918,100 ",104.3 
201707,충청남도,전체(시 / 군 / 구),일반용,"158,220 ","374,477,911 ","56,161,043,722 ",150.0 
201707,충청남도,전체(시 / 군 / 구),교육용,"1,108 ","35,010,357 ","4,302,222,526 ",122.9 
201707,충청남도,전체(시 / 군 / 구),산업용,"20,704 ","3,416,005,069 ","387,870,236,189 ",113.5 
201707,충청남도,전체(시 / 군 / 구),농사용,"182,796 ","136,990,444 ","6,644,473,958 ",48.5 
201707,충청남도,전체(시 / 군 / 구),가로등,"137,354 ","12,778,822 ","1,619,395,299 ",126.7 
201707,충청남도,전체(시 / 군 / 구),심 야,"91,921 ","33,546,453 ","1,923,409,042 ",57.3 
201708,충청남도,전체(시 / 군 / 구),주택용,"749,069 ","289,255,519 ","34,954,001,844 ",120.8 
201708,충청남도,전체(시 / 군 / 구),일반용,"158,569 ","431,050,588 ","62,452,217,048 ",144.9 
201708,충청남도,전체(시 / 군 / 구),교육용,"1,109 ","34,930,123 ","4,405,079,887 ",126.1 
201708,충청남도,전체(시 / 군 / 구),산업용,"20,753 ","3,348,343,399 ","382,803,545,464 ",114.3 
201708,충청남도,전체(시 / 군 / 구),농사용,"183,700 ","171,275,964 ","8,115,565,009 ",47.4 
201708,충청남도,전체(시 / 군 / 구),가로등,"145,843 ","13,550,516 ","1,641,274,717 ",121.1 
201708,충청남도,전체(시 / 군 / 구),심 야,"91,791 ","28,468,050 ","1,655,125,363 ",58.1 
201709,충청남도,전체(시 / 군 / 구),주택용,"751,065 ","242,175,930 ","25,539,503,940 ",105.5 
201709,충청남도,전체(시 / 군 / 구),일반용,"158,944 ","369,696,846 ","49,356,088,346 ",133.5 
201709,충청남도,전체(시 / 군 / 구),교육용,"1,113 ","33,150,291 ","3,636,447,336 ",109.7 
201709,충청남도,전체(시 / 군 / 구),산업용,"20,793 ","3,263,059,312 ","299,594,499,515 ",91.8 
201709,충청남도,전체(시 / 군 / 구),농사용,"184,443 ","155,218,065 ","7,513,596,716 ",48.4 
201709,충청남도,전체(시 / 군 / 구),가로등,"139,927 ","14,226,263 ","1,665,930,281 ",117.1 
201709,충청남도,전체(시 / 군 / 구),심 야,"91,739 ","31,501,198 ","1,792,962,793 ",56.9 
201710,충청남도,전체(시 / 군 / 구),주택용,"752,722 ","212,820,604 ","20,770,376,831 ",97.6 
201710,충청남도,전체(시 / 군 / 구),일반용,"159,160 ","311,987,836 ","37,705,957,701 ",120.9 
201710,충청남도,전체(시 / 군 / 구),교육용,"1,115 ","26,420,174 ","2,632,057,374 ",99.6 
201710,충청남도,전체(시 / 군 / 구),산업용,"20,838 ","3,156,663,318 ","277,493,233,212 ",87.9 
201710,충청남도,전체(시 / 군 / 구),농사용,"184,781 ","129,661,608 ","6,550,429,118 ",50.5 
201710,충청남도,전체(시 / 군 / 구),가로등,"140,446 ","15,392,523 ","1,697,060,059 ",110.3 
201710,충청남도,전체(시 / 군 / 구),심 야,"91,530 ","50,767,341 ","2,827,381,225 ",55.7 
