년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201707-201712,충청남도,계룡시,일반용,1678,60256824,48.93
201707-201712,충청남도,계룡시,합계,1296,123158304,
201707-201712,충청남도,공주시,일반용,9530,122236953,23.4
201707-201712,충청남도,공주시,합계,14844,522369480,
201707-201712,충청남도,금산군,일반용,5132,53083019,11.55
201707-201712,충청남도,금산군,합계,8774,459435943,
201707-201712,충청남도,논산시,일반용,10195,122813301,19.1
201707-201712,충청남도,논산시,합계,16758,643157985,
201707-201712,충청남도,당진시,일반용,13371,160895330,2.71
201707-201712,충청남도,당진시,합계,20489,5930694736,
201707-201712,충청남도,보령시,일반용,10334,135009188,22.34
201707-201712,충청남도,보령시,합계,14217,604372703,
201707-201712,충청남도,부여군,일반용,4912,56353931,18.9
201707-201712,충청남도,부여군,합계,12353,298161579,
201707-201712,충청남도,서산시,일반용,13385,201278330,5.33
201707-201712,충청남도,서산시,합계,18813,3777816946,
201707-201712,충청남도,서천군,일반용,4864,61046630,11.89
201707-201712,충청남도,서천군,합계,8910,513545645,
201707-201712,충청남도,아산시,일반용,20217,295262824,4.14
201707-201712,충청남도,아산시,합계,24522,7140172813,
201707-201712,충청남도,연기군,일반용,1,7006,100.0
201707-201712,충청남도,연기군,합계,0,7006,
201707-201712,충청남도,예산군,일반용,7146,81544534,15.04
201707-201712,충청남도,예산군,합계,12490,542070813,
201707-201712,충청남도,천안시,일반용,39127,664934418,17.67
201707-201712,충청남도,천안시,합계,44593,3764119389,
201707-201712,충청남도,청양군,일반용,2733,24581120,15.51
201707-201712,충청남도,청양군,합계,6588,158476880,
201707-201712,충청남도,태안군,일반용,8903,97450722,27.32
201707-201712,충청남도,태안군,합계,10690,356720105,
201707-201712,충청남도,홍성군,일반용,7632,100135561,22.96
201707-201712,충청남도,홍성군,합계,12649,436057256,
