년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201801-201806,강원도,강릉시,일반용,19557,299641925,29.85
201801-201806,강원도,강릉시,합계,22068,1003970974,
201801-201806,강원도,고성군,일반용,3904,66630785,41.04
201801-201806,강원도,고성군,합계,4817,162346597,
201801-201806,강원도,동해시,일반용,6979,109188857,7.96
201801-201806,강원도,동해시,합계,8142,1371483018,
201801-201806,강원도,삼척시,일반용,6404,88034786,12.6
201801-201806,강원도,삼척시,합계,9126,698876576,
201801-201806,강원도,속초시,일반용,8078,134014182,51.53
201801-201806,강원도,속초시,합계,6639,260052680,
201801-201806,강원도,양구군,일반용,2677,47830642,38.11
201801-201806,강원도,양구군,합계,3820,125519583,
201801-201806,강원도,양양군,일반용,4165,66146758,42.45
201801-201806,강원도,양양군,합계,5033,155819227,
201801-201806,강원도,영월군,일반용,4124,42181717,7.61
201801-201806,강원도,영월군,합계,6743,553945325,
201801-201806,강원도,원주시,일반용,25023,414896120,32.48
201801-201806,강원도,원주시,합계,26150,1277293230,
201801-201806,강원도,인제군,일반용,4456,75847720,40.36
201801-201806,강원도,인제군,합계,5746,187919820,
201801-201806,강원도,정선군,일반용,4986,109026214,31.2
201801-201806,강원도,정선군,합계,6437,349406025,
201801-201806,강원도,철원군,일반용,4748,86533609,31.93
201801-201806,강원도,철원군,합계,7131,270969682,
201801-201806,강원도,춘천시,일반용,20556,387404119,43.07
201801-201806,강원도,춘천시,합계,23829,899386649,
201801-201806,강원도,태백시,일반용,4115,48860631,28.29
201801-201806,강원도,태백시,합계,4644,172742143,
201801-201806,강원도,평창군,일반용,6500,147898945,39.62
201801-201806,강원도,평창군,합계,8670,373271993,
201801-201806,강원도,홍천군,일반용,8080,126514689,32.61
201801-201806,강원도,홍천군,합계,11911,387944379,
201801-201806,강원도,화천군,일반용,3258,64515479,45.56
201801-201806,강원도,화천군,합계,4149,141594746,
201801-201806,강원도,횡성군,일반용,4949,62342819,19.53
201801-201806,강원도,횡성군,합계,8953,319267853,
