계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,경기도,전체(시 / 군 / 구),주택용,"2,884,195 ","1,587,348,586 ","183,677,390,430 ",115.7 
201801,경기도,전체(시 / 군 / 구),일반용,"655,199 ","2,909,561,265 ","375,316,359,371 ",129.0 
201801,경기도,전체(시 / 군 / 구),교육용,"4,445 ","195,350,301 ","18,874,888,550 ",96.6 
201801,경기도,전체(시 / 군 / 구),산업용,"125,306 ","5,867,652,691 ","688,391,065,601 ",117.3 
201801,경기도,전체(시 / 군 / 구),농사용,"215,270 ","270,805,975 ","12,832,831,947 ",47.4 
201801,경기도,전체(시 / 군 / 구),가로등,"331,620 ","82,174,385 ","8,906,431,443 ",108.4 
201801,경기도,전체(시 / 군 / 구),심 야,"150,209 ","503,070,105 ","37,974,757,155 ",75.5 
201802,경기도,전체(시 / 군 / 구),주택용,"2,888,325 ","1,612,259,759 ","187,879,581,082 ",116.5 
201802,경기도,전체(시 / 군 / 구),일반용,"656,959 ","2,936,728,765 ","377,795,196,106 ",128.6 
201802,경기도,전체(시 / 군 / 구),교육용,"4,448 ","185,951,163 ","18,043,352,101 ",97.0 
201802,경기도,전체(시 / 군 / 구),산업용,"125,623 ","5,551,902,779 ","648,408,483,865 ",116.8 
201802,경기도,전체(시 / 군 / 구),농사용,"215,284 ","284,911,550 ","13,439,351,071 ",47.2 
201802,경기도,전체(시 / 군 / 구),가로등,"341,744 ","78,449,478 ","8,822,782,546 ",112.5 
201802,경기도,전체(시 / 군 / 구),심 야,"149,828 ","533,096,015 ","40,266,146,749 ",75.5 
201803,경기도,전체(시 / 군 / 구),주택용,"2,891,399 ","1,375,481,427 ","143,637,835,567 ",104.4 
201803,경기도,전체(시 / 군 / 구),일반용,"657,466 ","2,325,411,197 ","281,028,586,293 ",120.9 
201803,경기도,전체(시 / 군 / 구),교육용,"4,465 ","149,276,533 ","15,434,892,165 ",103.4 
201803,경기도,전체(시 / 군 / 구),산업용,"125,847 ","5,479,425,157 ","542,105,571,632 ",98.9 
201803,경기도,전체(시 / 군 / 구),농사용,"281,429 ","212,785,680 ","10,300,520,663 ",48.4 
201803,경기도,전체(시 / 군 / 구),가로등,"334,882 ","71,418,982 ","8,150,384,702 ",114.1 
201803,경기도,전체(시 / 군 / 구),심 야,"149,427 ","379,707,409 ","25,488,827,117 ",67.1 
201804,경기도,전체(시 / 군 / 구),주택용,"2,896,063 ","1,409,456,513 ","148,793,447,113 ",105.6 
201804,경기도,전체(시 / 군 / 구),일반용,"659,313 ","2,130,803,066 ","243,548,561,029 ",114.3 
201804,경기도,전체(시 / 군 / 구),교육용,"4,469 ","123,536,649 ","11,793,524,086 ",95.5 
201804,경기도,전체(시 / 군 / 구),산업용,"126,254 ","5,378,550,162 ","518,648,676,082 ",96.4 
201804,경기도,전체(시 / 군 / 구),농사용,"228,745 ","184,363,588 ","9,037,535,349 ",49.0 
201804,경기도,전체(시 / 군 / 구),가로등,"335,926 ","70,549,533 ","8,281,509,619 ",117.4 
201804,경기도,전체(시 / 군 / 구),심 야,"148,993 ","265,878,531 ","14,619,311,699 ",55.0 
201805,경기도,전체(시 / 군 / 구),주택용,"2,901,186 ","1,321,112,346 ","134,425,114,260 ",101.8 
201805,경기도,전체(시 / 군 / 구),일반용,"660,330 ","2,027,990,371 ","235,631,707,686 ",116.2 
201805,경기도,전체(시 / 군 / 구),교육용,"4,464 ","99,602,819 ","9,640,792,295 ",96.8 
201805,경기도,전체(시 / 군 / 구),산업용,"126,665 ","5,406,290,688 ","517,639,716,526 ",95.7 
201805,경기도,전체(시 / 군 / 구),농사용,"217,932 ","175,555,215 ","8,372,805,223 ",47.7 
201805,경기도,전체(시 / 군 / 구),가로등,"339,596 ","65,560,009 ","7,905,334,327 ",120.6 
201805,경기도,전체(시 / 군 / 구),심 야,"148,437 ","174,671,833 ","9,797,473,264 ",56.1 
201806,경기도,전체(시 / 군 / 구),주택용,"2,907,154 ","1,368,677,697 ","144,185,755,812 ",105.3 
201806,경기도,전체(시 / 군 / 구),일반용,"662,125 ","2,208,162,479 ","291,111,079,041 ",131.8 
201806,경기도,전체(시 / 군 / 구),교육용,"4,463 ","108,699,214 ","12,825,285,448 ",118.0 
201806,경기도,전체(시 / 군 / 구),산업용,"126,919 ","5,443,599,809 ","630,144,405,592 ",115.8 
201806,경기도,전체(시 / 군 / 구),농사용,"218,694 ","182,995,313 ","8,618,265,952 ",47.1 
201806,경기도,전체(시 / 군 / 구),가로등,"344,267 ","62,714,805 ","7,783,064,978 ",124.1 
201806,경기도,전체(시 / 군 / 구),심 야,"147,956 ","112,655,442 ","6,555,459,945 ",58.2 
합계,합계,합계,합계,"26,403,321","60,914,195,284","6,626,134,061,482",108.8
,,,,,,,
