년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201801-201806,경상남도,거제시,일반용,17732,239098322,23.82
201801-201806,경상남도,거제시,합계,20804,1003954974,
201801-201806,경상남도,거창군,일반용,5012,54198844,23.5
201801-201806,경상남도,거창군,합계,9639,230604677,
201801-201806,경상남도,고성군,일반용,4507,54489944,19.25
201801-201806,경상남도,고성군,합계,9024,283043417,
201801-201806,경상남도,김해시,일반용,29863,513464919,18.74
201801-201806,경상남도,김해시,합계,33984,2739316109,
201801-201806,경상남도,남해군,일반용,4694,50471113,37.33
201801-201806,경상남도,남해군,합계,8407,135204663,
201801-201806,경상남도,밀양시,일반용,9168,105337134,15.69
201801-201806,경상남도,밀양시,합계,17027,671288016,
201801-201806,경상남도,사천시,일반용,9431,126708491,18.11
201801-201806,경상남도,사천시,합계,12943,699826877,
201801-201806,경상남도,산청군,일반용,3436,35566256,19.77
201801-201806,경상남도,산청군,합계,7266,179926823,
201801-201806,경상남도,양산시,일반용,18549,310216968,16.58
201801-201806,경상남도,양산시,합계,20199,1871411800,
201801-201806,경상남도,의령군,일반용,2335,24737165,11.26
201801-201806,경상남도,의령군,합계,5898,219747765,
201801-201806,경상남도,진주시,일반용,25268,350247334,24.31
201801-201806,경상남도,진주시,합계,32612,1440862183,
201801-201806,경상남도,창녕군,일반용,5411,68579885,12.94
201801-201806,경상남도,창녕군,합계,10513,530167353,
201801-201806,경상남도,창원시,일반용,56500,1031735779,18.9
201801-201806,경상남도,창원시,합계,76162,5458707137,
201801-201806,경상남도,통영시,일반용,11290,159619292,34.37
201801-201806,경상남도,통영시,합계,13760,464434660,
201801-201806,경상남도,하동군,일반용,4203,42588831,23.54
201801-201806,경상남도,하동군,합계,9184,180949642,
201801-201806,경상남도,함안군,일반용,5266,69195728,5.06
201801-201806,경상남도,함안군,합계,9137,1366439931,
201801-201806,경상남도,함양군,일반용,3558,33370153,24.13
201801-201806,경상남도,함양군,합계,7098,138278920,
201801-201806,경상남도,합천군,일반용,3879,42422910,20.7
201801-201806,경상남도,합천군,합계,8944,204932057,
