년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201801-201806,경상북도,경산시,일반용,16871,251795218,17.67
201801-201806,경상북도,경산시,합계,25999,1425183945,
201801-201806,경상북도,경주시,일반용,24695,347327462,17.25
201801-201806,경상북도,경주시,합계,33707,2013395885,
201801-201806,경상북도,고령군,일반용,3050,35514227,5.31
201801-201806,경상북도,고령군,합계,5397,668216997,
201801-201806,경상북도,구미시,일반용,27098,385400025,7.88
201801-201806,경상북도,구미시,합계,34364,4888407619,
201801-201806,경상북도,군위군,일반용,2034,30341143,18.11
201801-201806,경상북도,군위군,합계,5049,167507745,
201801-201806,경상북도,김천시,일반용,10049,144546555,12.09
201801-201806,경상북도,김천시,합계,18058,1195401821,
201801-201806,경상북도,문경시,일반용,6308,79277377,26.18
201801-201806,경상북도,문경시,합계,10699,302813476,
201801-201806,경상북도,봉화군,일반용,2789,27794097,2.92
201801-201806,경상북도,봉화군,합계,7166,950331982,
201801-201806,경상북도,상주시,일반용,7548,86232526,22.67
201801-201806,경상북도,상주시,합계,16968,380359071,
201801-201806,경상북도,성주군,일반용,4131,49228878,8.94
201801-201806,경상북도,성주군,합계,8921,550964707,
201801-201806,경상북도,안동시,일반용,13347,192906961,33.26
201801-201806,경상북도,안동시,합계,21314,580008872,
201801-201806,경상북도,영덕군,일반용,5106,64960841,41.88
201801-201806,경상북도,영덕군,합계,7051,155101375,
201801-201806,경상북도,영양군,일반용,1501,15496921,24.96
201801-201806,경상북도,영양군,합계,4150,62092515,
201801-201806,경상북도,영주시,일반용,9501,106040066,13.0
201801-201806,경상북도,영주시,합계,14034,815720583,
201801-201806,경상북도,영천시,일반용,8057,107683307,13.56
201801-201806,경상북도,영천시,합계,14899,794216896,
201801-201806,경상북도,예천군,일반용,3626,45329422,25.78
201801-201806,경상북도,예천군,합계,9614,175800070,
201801-201806,경상북도,울릉군,일반용,1810,19801949,63.69
201801-201806,경상북도,울릉군,합계,1357,31093386,
201801-201806,경상북도,울진군,일반용,5385,89895895,21.5
201801-201806,경상북도,울진군,합계,9013,418073945,
201801-201806,경상북도,의성군,일반용,4047,45266948,21.17
201801-201806,경상북도,의성군,합계,11604,213834304,
201801-201806,경상북도,청도군,일반용,3716,47309714,19.05
201801-201806,경상북도,청도군,합계,9674,248356611,
201801-201806,경상북도,청송군,일반용,2641,31345720,30.34
201801-201806,경상북도,청송군,합계,6396,103316343,
201801-201806,경상북도,칠곡군,일반용,10540,169410892,16.25
201801-201806,경상북도,칠곡군,합계,13987,1042635373,
201801-201806,경상북도,포항시,일반용,38741,512271443,8.7
201801-201806,경상북도,포항시,합계,43938,5886073879,
