拌距辆喊 傈仿荤侩樊 岿喊( 20220804 泅犁 ),,,,,,,
"矫档 : 堡林堡开矫, 矫焙备 : 傈眉(矫 / 焙 / 备)",,,,,,,
扁埃 : 2018斥 01 岿 ~ 2018斥 06岿,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,088 ","180,878,499 ","19,798,578,514 ",109.5 
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"89,878 ","284,853,192 ","37,303,999,348 ",131.0 
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,651 ,"31,809,815 ","3,256,428,542 ",102.4 
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,195 ","274,715,904 ","34,094,903,637 ",124.1 
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,921 ","10,224,246 ","481,552,111 ",47.1 
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,092 ","7,696,621 ","827,152,755 ",107.5 
201801,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,965 ","17,357,640 ","1,293,782,469 ",74.5 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,535 ","183,644,381 ","20,327,324,630 ",110.7 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"90,081 ","293,761,374 ","38,324,195,578 ",130.5 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,652 ,"29,491,219 ","3,108,480,068 ",105.4 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,199 ","254,968,942 ","31,940,480,271 ",125.3 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"10,963 ","11,023,343 ","514,419,766 ",46.7 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,156 ","7,252,179 ","809,861,573 ",111.7 
201802,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,946 ","18,364,931 ","1,367,332,214 ",74.5 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,702 ","158,407,003 ","15,807,866,051 ",99.8 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"90,083 ","231,561,306 ","28,854,707,570 ",124.6 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,651 ,"24,622,278 ","2,523,152,184 ",102.5 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,205 ","256,046,322 ","27,025,107,998 ",105.5 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"15,248 ","7,647,920 ","377,123,750 ",49.3 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,160 ","6,489,921 ","739,995,621 ",114.0 
201803,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,911 ","13,885,045 ","916,560,741 ",66.0 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,931 ","163,202,573 ","16,580,796,058 ",101.6 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"90,066 ","221,526,750 ","33,363,563,443 ",150.6 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"22,414,983 ","2,100,240,907 ",93.7 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,220 ","256,840,613 ","26,075,753,826 ",101.5 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,009 ","5,406,611 ","282,864,674 ",52.3 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,253 ","6,484,632 ","756,675,140 ",116.7 
201804,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,878 ","9,616,774 ","539,473,636 ",56.1 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,867 ","153,091,219 ","14,918,660,071 ",97.4 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"90,128 ","208,475,853 ","16,080,649,826 ",77.1 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,650 ,"19,112,020 ","1,752,817,735 ",91.7 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,234 ","252,622,696 ","25,633,016,512 ",101.5 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,034 ","4,037,883 ","224,276,756 ",55.5 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,250 ","5,862,290 ","711,501,429 ",121.4 
201805,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,829 ","5,742,748 ","349,213,548 ",60.8 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,397 ","157,285,747 ","15,562,090,367 ",98.9 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"90,120 ","232,451,865 ","30,005,670,082 ",129.1 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,652 ,"22,062,031 ","2,458,950,971 ",111.5 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,245 ","261,786,251 ","31,719,489,761 ",121.2 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,044 ","4,572,042 ","235,434,684 ",51.5 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,295 ","5,655,235 ","702,401,846 ",124.2 
201806,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,766 ","4,238,926 ","275,630,544 ",65.0 
钦拌,钦拌,钦拌,钦拌,"3,271,800","4,327,191,823","490,022,177,207",113.2
,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201801,堡林堡开矫,堡魂备,啊肺殿,"11,563 ","2,597,929 ","282,650,700 ",108.8 
201801,堡林堡开矫,堡魂备,背腊侩,168 ,"6,829,289 ","702,846,284 ",102.9 
201801,堡林堡开矫,堡魂备,丑荤侩,"5,546 ","5,966,909 ","276,088,899 ",46.3 
201801,堡林堡开矫,堡魂备,魂诀侩,"3,005 ","179,231,872 ","22,479,898,165 ",125.4 
201801,堡林堡开矫,堡魂备,缴 具,"1,542 ","4,029,971 ","294,457,522 ",73.1 
201801,堡林堡开矫,堡魂备,老馆侩,"21,584 ","72,018,321 ","9,350,598,013 ",129.8 
201801,堡林堡开矫,堡魂备,林琶侩,"81,031 ","48,366,452 ","5,172,274,505 ",106.9 
201801,堡林堡开矫,堡魂备,钦拌,"124,439 ","319,040,743 ","38,558,814,088 ",120.9 
201801,堡林堡开矫,巢备,啊肺殿,"8,271 ","1,170,082 ","122,270,015 ",104.5 
201801,堡林堡开矫,巢备,背腊侩,106 ,"3,626,487 ","390,680,487 ",107.7 
201801,堡林堡开矫,巢备,丑荤侩,"2,272 ","1,061,988 ","54,283,231 ",51.1 
201801,堡林堡开矫,巢备,魂诀侩,468 ,"3,931,994 ","505,111,825 ",128.5 
201801,堡林堡开矫,巢备,缴 具,"1,291 ","3,114,542 ","224,207,080 ",72 
201801,堡林堡开矫,巢备,老馆侩,"10,914 ","29,778,400 ","3,937,375,971 ",132.2 
201801,堡林堡开矫,巢备,林琶侩,"56,627 ","27,218,423 ","3,095,726,160 ",113.7 
201801,堡林堡开矫,巢备,钦拌,"79,949 ","69,901,916 ","8,329,654,769 ",119.2 
201801,堡林堡开矫,悼备,啊肺殿,"5,291 ","823,865 ","84,269,297 ",102.3 
201801,堡林堡开矫,悼备,背腊侩,57 ,"4,175,925 ","421,272,733 ",100.9 
201801,堡林堡开矫,悼备,丑荤侩,282 ,"105,784 ","5,390,083 ",51 
201801,堡林堡开矫,悼备,魂诀侩,434 ,"2,931,267 ","376,431,934 ",128.4 
201801,堡林堡开矫,悼备,缴 具,"1,216 ","2,313,651 ","174,054,980 ",75.2 
201801,堡林堡开矫,悼备,老馆侩,"11,718 ","37,254,635 ","4,907,402,310 ",131.7 
201801,堡林堡开矫,悼备,林琶侩,"44,064 ","12,565,515 ","1,421,577,789 ",113.1 
201801,堡林堡开矫,悼备,钦拌,"63,062 ","60,170,642 ","7,390,399,126 ",122.8 
201801,堡林堡开矫,合备,啊肺殿,"11,924 ","1,746,679 ","190,988,310 ",109.3 
201801,堡林堡开矫,合备,背腊侩,208 ,"14,609,186 ","1,470,144,384 ",100.6 
201801,堡林堡开矫,合备,丑荤侩,"1,832 ","2,434,390 ","113,317,160 ",46.5 
201801,堡林堡开矫,合备,魂诀侩,"1,580 ","62,603,271 ","7,436,547,694 ",118.8 
201801,堡林堡开矫,合备,缴 具,"1,940 ","5,129,609 ","389,671,342 ",76 
201801,堡林堡开矫,合备,老馆侩,"26,874 ","70,422,158 ","9,202,144,131 ",130.7 
201801,堡林堡开矫,合备,林琶侩,"127,014 ","54,027,518 ","5,868,499,437 ",108.6 
201801,堡林堡开矫,合备,钦拌,"171,372 ","210,972,811 ","24,671,312,458 ",116.9 
201801,堡林堡开矫,辑备,啊肺殿,"8,043 ","1,358,066 ","146,974,433 ",108.2 
201801,堡林堡开矫,辑备,背腊侩,112 ,"2,568,928 ","271,484,654 ",105.7 
201801,堡林堡开矫,辑备,丑荤侩,989 ,"655,175 ","32,472,738 ",49.6 
201801,堡林堡开矫,辑备,魂诀侩,708 ,"26,017,500 ","3,296,914,019 ",126.7 
201801,堡林堡开矫,辑备,缴 具,976 ,"2,769,867 ","211,391,545 ",76.3 
201801,堡林堡开矫,辑备,老馆侩,"18,788 ","75,379,678 ","9,906,478,923 ",131.4 
201801,堡林堡开矫,辑备,林琶侩,"75,352 ","38,700,591 ","4,240,500,623 ",109.6 
201801,堡林堡开矫,辑备,钦拌,"104,968 ","147,449,805 ","18,106,216,935 ",122.8 
201802,堡林堡开矫,堡魂备,啊肺殿,"11,602 ","2,490,552 ","278,018,056 ",111.6 
201802,堡林堡开矫,堡魂备,背腊侩,169 ,"6,175,335 ","669,261,599 ",108.4 
201802,堡林堡开矫,堡魂备,丑荤侩,"5,568 ","6,368,285 ","292,765,195 ",46 
201802,堡林堡开矫,堡魂备,魂诀侩,"3,009 ","166,663,085 ","21,152,490,854 ",126.9 
201802,堡林堡开矫,堡魂备,缴 具,"1,538 ","4,240,071 ","309,074,018 ",72.9 
201802,堡林堡开矫,堡魂备,老馆侩,"21,652 ","74,730,914 ","9,667,121,438 ",129.4 
