계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대구광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,대구광역시,전체(시 / 군 / 구),주택용,"672,736 ","299,209,193 ","33,023,643,851 ",110.4 
201801,대구광역시,전체(시 / 군 / 구),일반용,"151,367 ","465,181,823 ","60,866,252,755 ",130.8 
201801,대구광역시,전체(시 / 군 / 구),교육용,833 ,"37,299,375 ","3,783,084,059 ",101.4 
201801,대구광역시,전체(시 / 군 / 구),산업용,"20,834 ","604,253,040 ","73,243,722,455 ",121.2 
201801,대구광역시,전체(시 / 군 / 구),농사용,"13,564 ","7,914,591 ","394,021,000 ",49.8 
201801,대구광역시,전체(시 / 군 / 구),가로등,"50,918 ","12,655,031 ","1,328,263,132 ",105.0 
201801,대구광역시,전체(시 / 군 / 구),심 야,"20,074 ","39,284,086 ","2,950,802,782 ",75.1 
201802,대구광역시,전체(시 / 군 / 구),주택용,"673,171 ","301,762,413 ","33,558,201,211 ",111.2 
201802,대구광역시,전체(시 / 군 / 구),일반용,"151,785 ","463,709,125 ","60,630,699,718 ",130.8 
201802,대구광역시,전체(시 / 군 / 구),교육용,836 ,"38,126,327 ","3,812,477,447 ",100.0 
201802,대구광역시,전체(시 / 군 / 구),산업용,"20,860 ","567,793,024 ","69,011,982,972 ",121.5 
201802,대구광역시,전체(시 / 군 / 구),농사용,"13,594 ","8,569,319 ","425,622,119 ",49.7 
201802,대구광역시,전체(시 / 군 / 구),가로등,"51,164 ","11,951,398 ","1,295,446,286 ",108.4 
201802,대구광역시,전체(시 / 군 / 구),심 야,"20,005 ","41,282,312 ","3,100,592,602 ",75.1 
201803,대구광역시,전체(시 / 군 / 구),주택용,"673,625 ","260,820,163 ","26,051,029,237 ",99.9 
201803,대구광역시,전체(시 / 군 / 구),일반용,"151,490 ","364,649,627 ","45,420,911,801 ",124.6 
201803,대구광역시,전체(시 / 군 / 구),교육용,836 ,"28,457,261 ","3,061,533,797 ",107.6 
201803,대구광역시,전체(시 / 군 / 구),산업용,"20,867 ","552,171,905 ","57,848,712,932 ",104.8 
201803,대구광역시,전체(시 / 군 / 구),농사용,"13,986 ","6,431,163 ","332,019,474 ",51.6 
201803,대구광역시,전체(시 / 군 / 구),가로등,"51,206 ","10,695,395 ","1,176,761,741 ",110.0 
201803,대구광역시,전체(시 / 군 / 구),심 야,"19,927 ","29,874,658 ","1,990,121,149 ",66.6 
201804,대구광역시,전체(시 / 군 / 구),주택용,"673,989 ","266,505,251 ","26,985,847,325 ",101.3 
201804,대구광역시,전체(시 / 군 / 구),일반용,"151,473 ","346,073,781 ","39,990,679,802 ",115.6 
201804,대구광역시,전체(시 / 군 / 구),교육용,834 ,"28,250,194 ","2,437,585,727 ",86.3 
201804,대구광역시,전체(시 / 군 / 구),산업용,"20,857 ","553,021,374 ","55,491,518,416 ",100.3 
201804,대구광역시,전체(시 / 군 / 구),농사용,"13,716 ","5,319,104 ","287,458,704 ",54.0 
201804,대구광역시,전체(시 / 군 / 구),가로등,"51,263 ","10,418,699 ","1,177,930,871 ",113.1 
201804,대구광역시,전체(시 / 군 / 구),심 야,"19,847 ","20,867,009 ","1,160,019,098 ",55.6 
201805,대구광역시,전체(시 / 군 / 구),주택용,"674,468 ","248,848,477 ","24,043,350,543 ",96.6 
201805,대구광역시,전체(시 / 군 / 구),일반용,"151,527 ","329,581,404 ","38,898,970,736 ",118.0 
201805,대구광역시,전체(시 / 군 / 구),교육용,834 ,"22,936,064 ","2,119,707,258 ",92.4 
201805,대구광역시,전체(시 / 군 / 구),산업용,"20,847 ","546,931,619 ","54,685,225,043 ",100.0 
201805,대구광역시,전체(시 / 군 / 구),농사용,"13,823 ","4,658,330 ","252,513,132 ",54.2 
201805,대구광역시,전체(시 / 군 / 구),가로등,"60,065 ","9,711,657 ","1,159,259,888 ",119.4 
201805,대구광역시,전체(시 / 군 / 구),심 야,"19,695 ","13,609,477 ","784,784,181 ",57.7 
201806,대구광역시,전체(시 / 군 / 구),주택용,"674,568 ","258,712,506 ","25,667,744,382 ",99.2 
201806,대구광역시,전체(시 / 군 / 구),일반용,"151,630 ","368,597,386 ","48,742,250,683 ",132.2 
201806,대구광역시,전체(시 / 군 / 구),교육용,833 ,"26,706,300 ","3,076,531,678 ",115.2 
201806,대구광역시,전체(시 / 군 / 구),산업용,"20,842 ","551,770,093 ","65,150,095,956 ",118.1 
201806,대구광역시,전체(시 / 군 / 구),농사용,"13,898 ","6,261,687 ","299,591,340 ",47.8 
201806,대구광역시,전체(시 / 군 / 구),가로등,"60,152 ","9,262,845 ","1,105,773,946 ",119.4 
201806,대구광역시,전체(시 / 군 / 구),심 야,"19,555 ","11,204,081 ","669,812,413 ",59.8 
합계,합계,합계,합계,"5,608,394","7,791,338,567","877,492,553,642",112.6
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,대구광역시,남구,가로등,"7,881 ","534,270 ","52,600,296 ",98.5 
201801,대구광역시,남구,교육용,57 ,"3,591,064 ","377,263,103 ",105.1 
201801,대구광역시,남구,농사용,27 ,"42,712 ","2,120,918 ",49.7 
201801,대구광역시,남구,산업용,361 ,"1,148,929 ","144,217,253 ",125.5 
201801,대구광역시,남구,심 야,"3,296 ","4,893,491 ","366,385,836 ",74.9 
201801,대구광역시,남구,일반용,"11,961 ","29,884,685 ","3,826,136,355 ",128 
201801,대구광역시,남구,주택용,"79,011 ","19,084,861 ","2,138,347,879 ",112 
201801,대구광역시,남구,합계,"102,594 ","59,180,012 ","6,907,071,640 ",116.7 
201801,대구광역시,달서구,가로등,"11,573 ","2,129,218 ","222,694,422 ",104.6 
201801,대구광역시,달서구,교육용,199 ,"7,309,124 ","737,691,622 ",100.9 
201801,대구광역시,달서구,농사용,167 ,"52,585 ","2,739,028 ",52.1 
201801,대구광역시,달서구,산업용,"3,813 ","201,023,699 ","24,373,805,186 ",121.2 
201801,대구광역시,달서구,심 야,"2,747 ","4,739,869 ","354,258,364 ",74.7 
201801,대구광역시,달서구,일반용,"28,079 ","86,839,365 ","11,370,413,493 ",130.9 
201801,대구광역시,달서구,주택용,"125,617 ","69,906,927 ","7,520,141,380 ",107.6 
201801,대구광역시,달서구,합계,"172,195 ","372,000,787 ","44,581,743,495 ",119.8 
201801,대구광역시,달성군,가로등,"4,849 ","2,647,645 ","282,502,332 ",106.7 
201801,대구광역시,달성군,교육용,93 ,"5,964,575 ","590,703,406 ",99 
201801,대구광역시,달성군,농사용,"6,862 ","4,924,037 ","243,326,409 ",49.4 
201801,대구광역시,달성군,산업용,"4,294 ","250,950,003 ","29,542,741,305 ",117.7 
201801,대구광역시,달성군,심 야,"2,322 ","6,175,886 ","467,165,231 ",75.6 
201801,대구광역시,달성군,일반용,"12,096 ","44,940,825 ","5,528,592,435 ",123 
201801,대구광역시,달성군,주택용,"42,910 ","26,998,352 ","2,878,131,153 ",106.6 
201801,대구광역시,달성군,합계,"73,426 ","342,601,323 ","39,533,162,271 ",115.4 
201801,대구광역시,동구,가로등,"4,529 ","2,023,871 ","217,031,235 ",107.2 
201801,대구광역시,동구,교육용,116 ,"2,892,755 ","292,892,668 ",101.3 
201801,대구광역시,동구,농사용,"4,259 ","1,500,890 ","75,775,106 ",50.5 
201801,대구광역시,동구,산업용,"1,314 ","13,492,440 ","1,751,306,016 ",129.8 
201801,대구광역시,동구,심 야,"3,575 ","7,690,459 ","574,963,814 ",74.8 
201801,대구광역시,동구,일반용,"21,246 ","70,780,250 ","9,296,770,120 ",131.3 
201801,대구광역시,동구,주택용,"108,196 ","42,843,926 ","4,739,897,237 ",110.6 
201801,대구광역시,동구,합계,"143,235 ","141,224,591 ","16,948,636,196 ",120 
201801,대구광역시,북구,가로등,"10,746 ","2,077,315 ","219,992,770 ",105.9 
201801,대구광역시,북구,교육용,150 ,"9,918,193 ","1,018,446,731 ",102.7 
201801,대구광역시,북구,농사용,"1,145 ","844,676 ","41,590,761 ",49.2 
201801,대구광역시,북구,산업용,"6,832 ","77,637,671 ","9,671,994,713 ",124.6 
201801,대구광역시,북구,심 야,"2,635 ","5,117,660 ","385,531,068 ",75.3 
201801,대구광역시,북구,일반용,"25,197 ","76,554,063 ","10,054,510,046 ",131.3 
201801,대구광역시,북구,주택용,"102,021 ","52,673,555 ","5,683,082,383 ",107.9 
201801,대구광역시,북구,합계,"148,726 ","224,823,133 ","27,075,148,472 ",120.4 
201801,대구광역시,서구,가로등,"3,697 ","785,475 ","73,008,655 ",92.9 
201801,대구광역시,서구,교육용,45 ,"1,664,858 ","160,566,192 ",96.4 
201801,대구광역시,서구,농사용,35 ,"30,102 ","1,474,934 ",49 
201801,대구광역시,서구,산업용,"2,374 ","37,888,735 ","4,880,715,224 ",128.8 
201801,대구광역시,서구,심 야,"1,618 ","3,281,358 ","244,859,002 ",74.6 
201801,대구광역시,서구,일반용,"14,122 ","30,696,097 ","4,043,518,537 ",131.7 
201801,대구광역시,서구,주택용,"86,401 ","22,602,836 ","2,563,593,611 ",113.4 
201801,대구광역시,서구,합계,"108,292 ","96,949,461 ","11,967,736,155 ",123.4 
201801,대구광역시,수성구,가로등,"4,091 ","1,672,207 ","180,490,520 ",107.9 
201801,대구광역시,수성구,교육용,135 ,"4,504,314 ","456,810,072 ",101.4 
201801,대구광역시,수성구,농사용,"1,053 ","498,035 ","25,982,133 ",52.2 
201801,대구광역시,수성구,산업용,695 ,"18,767,181 ","2,451,712,438 ",130.6 
201801,대구광역시,수성구,심 야,"2,879 ","5,624,801 ","420,260,165 ",74.7 
201801,대구광역시,수성구,일반용,"23,285 ","72,549,277 ","9,572,045,250 ",131.9 
201801,대구광역시,수성구,주택용,"96,545 ","54,239,314 ","6,282,402,406 ",115.8 
201801,대구광역시,수성구,합계,"128,683 ","157,855,129 ","19,389,702,984 ",122.8 
201801,대구광역시,중구,가로등,"3,552 ","785,030 ","79,942,902 ",101.8 
201801,대구광역시,중구,교육용,38 ,"1,454,492 ","148,710,265 ",102.2 
201801,대구광역시,중구,농사용,16 ,"21,554 ","1,011,711 ",46.9 
201801,대구광역시,중구,산업용,"1,151 ","3,344,382 ","427,230,320 ",127.7 
201801,대구광역시,중구,심 야,"1,002 ","1,760,562 ","137,379,302 ",78 
201801,대구광역시,중구,일반용,"15,381 ","52,937,261 ","7,174,266,519 ",135.5 
