계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 대전광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,대전광역시,전체(시 / 군 / 구),주택용,"431,565 ","178,843,973 ","19,152,120,345 ",107.1 
201801,대전광역시,전체(시 / 군 / 구),일반용,"79,000 ","335,830,529 ","44,104,642,153 ",131.3 
201801,대전광역시,전체(시 / 군 / 구),교육용,621 ,"44,551,428 ","4,251,419,558 ",95.4 
201801,대전광역시,전체(시 / 군 / 구),산업용,"5,514 ","296,960,114 ","35,313,937,945 ",118.9 
201801,대전광역시,전체(시 / 군 / 구),농사용,"6,930 ","3,235,235 ","162,387,717 ",50.2 
201801,대전광역시,전체(시 / 군 / 구),가로등,"37,159 ","8,293,602 ","881,937,269 ",106.3 
201801,대전광역시,전체(시 / 군 / 구),심 야,"17,153 ","37,587,022 ","2,823,580,888 ",75.1 
201802,대전광역시,전체(시 / 군 / 구),주택용,"432,531 ","182,581,580 ","19,813,378,485 ",108.5 
201802,대전광역시,전체(시 / 군 / 구),일반용,"79,043 ","340,363,680 ","44,553,858,352 ",130.9 
201802,대전광역시,전체(시 / 군 / 구),교육용,622 ,"41,738,701 ","4,048,726,974 ",97.0 
201802,대전광역시,전체(시 / 군 / 구),산업용,"5,522 ","268,902,822 ","32,092,036,577 ",119.3 
201802,대전광역시,전체(시 / 군 / 구),농사용,"6,916 ","3,739,247 ","183,760,899 ",49.1 
201802,대전광역시,전체(시 / 군 / 구),가로등,"37,178 ","7,989,413 ","874,109,339 ",109.4 
201802,대전광역시,전체(시 / 군 / 구),심 야,"17,113 ","40,116,501 ","3,012,485,353 ",75.1 
201803,대전광역시,전체(시 / 군 / 구),주택용,"433,209 ","155,448,062 ","15,085,543,347 ",97.0 
201803,대전광역시,전체(시 / 군 / 구),일반용,"78,886 ","275,759,525 ","33,876,317,617 ",122.8 
201803,대전광역시,전체(시 / 군 / 구),교육용,623 ,"34,633,196 ","3,317,927,215 ",95.8 
201803,대전광역시,전체(시 / 군 / 구),산업용,"5,528 ","279,657,020 ","27,377,628,892 ",97.9 
201803,대전광역시,전체(시 / 군 / 구),농사용,"8,346 ","2,695,671 ","140,416,019 ",52.1 
201803,대전광역시,전체(시 / 군 / 구),가로등,"37,188 ","7,123,818 ","794,651,618 ",111.5 
201803,대전광역시,전체(시 / 군 / 구),심 야,"17,083 ","28,929,689 ","1,934,114,524 ",66.9 
201804,대전광역시,전체(시 / 군 / 구),주택용,"433,703 ","160,078,638 ","15,784,850,254 ",98.6 
201804,대전광역시,전체(시 / 군 / 구),일반용,"78,962 ","257,966,360 ","29,487,417,643 ",114.3 
201804,대전광역시,전체(시 / 군 / 구),교육용,623 ,"30,723,374 ","2,721,469,871 ",88.6 
201804,대전광역시,전체(시 / 군 / 구),산업용,"5,528 ","273,985,521 ","26,365,423,750 ",96.2 
201804,대전광역시,전체(시 / 군 / 구),농사용,"7,006 ","2,243,096 ","122,559,086 ",54.6 
201804,대전광역시,전체(시 / 군 / 구),가로등,"37,191 ","7,157,529 ","812,920,428 ",113.6 
201804,대전광역시,전체(시 / 군 / 구),심 야,"17,011 ","20,109,892 ","1,113,515,430 ",55.4 
201805,대전광역시,전체(시 / 군 / 구),주택용,"433,751 ","148,688,249 ","14,011,314,865 ",94.2 
201805,대전광역시,전체(시 / 군 / 구),일반용,"78,975 ","246,925,395 ","28,635,965,496 ",116.0 
201805,대전광역시,전체(시 / 군 / 구),교육용,623 ,"27,398,030 ","2,393,451,159 ",87.4 
201805,대전광역시,전체(시 / 군 / 구),산업용,"5,538 ","275,393,919 ","26,183,851,631 ",95.1 
201805,대전광역시,전체(시 / 군 / 구),농사용,"7,018 ","2,036,538 ","114,091,363 ",56.0 
201805,대전광역시,전체(시 / 군 / 구),가로등,"37,190 ","6,621,445 ","772,550,422 ",116.7 
201805,대전광역시,전체(시 / 군 / 구),심 야,"16,887 ","12,651,353 ","717,418,384 ",56.7 
201806,대전광역시,전체(시 / 군 / 구),주택용,"434,251 ","153,833,900 ","14,740,001,012 ",95.8 
201806,대전광역시,전체(시 / 군 / 구),일반용,"78,964 ","273,946,461 ","35,600,471,830 ",130.0 
201806,대전광역시,전체(시 / 군 / 구),교육용,623 ,"30,613,433 ","3,239,619,857 ",105.8 
201806,대전광역시,전체(시 / 군 / 구),산업용,"5,565 ","282,433,232 ","32,939,278,476 ",116.6 
201806,대전광역시,전체(시 / 군 / 구),농사용,"7,055 ","2,284,781 ","124,225,793 ",54.4 
201806,대전광역시,전체(시 / 군 / 구),가로등,"37,382 ","6,474,382 ","769,415,156 ",118.8 
