년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201801-201806,대전광역시,대덕구,일반용,12167,189684589,13.67
201801-201806,대전광역시,대덕구,합계,13737,1387309579,
201801-201806,대전광역시,동구,일반용,14177,197974716,41.96
201801-201806,대전광역시,동구,합계,20070,471851651,
201801-201806,대전광역시,서구,일반용,20904,511911729,54.71
201801-201806,대전광역시,서구,합계,27903,935634499,
201801-201806,대전광역시,유성구,일반용,16001,569311604,37.64
201801-201806,대전광역시,유성구,합계,17713,1512710040,
201801-201806,대전광역시,중구,일반용,15720,261909312,52.59
201801-201806,대전광역시,중구,합계,17197,497992584,
