년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201801-201806,부산광역시,강서구,일반용,9366,227212706,11.37
201801-201806,부산광역시,강서구,합계,8608,1998808322,
201801-201806,부산광역시,금정구,일반용,15563,198190108,35.22
201801-201806,부산광역시,금정구,합계,18461,562645670,
201801-201806,부산광역시,기장군,일반용,7935,152147887,24.61
201801-201806,부산광역시,기장군,합계,8938,618111864,
201801-201806,부산광역시,남구,일반용,11928,195694444,27.43
201801-201806,부산광역시,남구,합계,17209,713378602,
201801-201806,부산광역시,동구,일반용,7413,145979684,55.75
201801-201806,부산광역시,동구,합계,8937,261845075,
201801-201806,부산광역시,동래구,일반용,15686,215003193,45.55
201801-201806,부산광역시,동래구,합계,15772,472019115,
201801-201806,부산광역시,부산진구,일반용,23023,406286340,47.29
201801-201806,부산광역시,부산진구,합계,23728,859123691,
201801-201806,부산광역시,북구,일반용,10591,168879636,37.91
201801-201806,부산광역시,북구,합계,12916,445532806,
201801-201806,부산광역시,사상구,일반용,13239,211414338,23.61
201801-201806,부산광역시,사상구,합계,13771,895453972,
201801-201806,부산광역시,사하구,일반용,14426,208217170,15.53
201801-201806,부산광역시,사하구,합계,19322,1341028758,
201801-201806,부산광역시,서구,일반용,6413,112648731,39.7
201801-201806,부산광역시,서구,합계,10125,283724365,
201801-201806,부산광역시,수영구,일반용,10690,148214806,50.08
201801-201806,부산광역시,수영구,합계,12461,295929796,
201801-201806,부산광역시,연제구,일반용,11219,191163492,49.79
201801-201806,부산광역시,연제구,합계,11787,383953300,
201801-201806,부산광역시,영도구,일반용,6072,73938181,30.91
201801-201806,부산광역시,영도구,합계,9678,239236751,
201801-201806,부산광역시,중구,일반용,8928,157728244,78.2
201801-201806,부산광역시,중구,합계,6266,201696526,
201801-201806,부산광역시,해운대구,일반용,14178,435347786,47.11
201801-201806,부산광역시,해운대구,합계,15599,924175268,
