계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,서울특별시,전체(시 / 군 / 구),주택용,"2,773,175 ","1,218,264,077 ","141,151,881,578 ",115.9 
201801,서울특별시,전체(시 / 군 / 구),일반용,"541,001 ","2,523,458,088 ","331,252,172,843 ",131.3 
201801,서울특별시,전체(시 / 군 / 구),교육용,"2,691 ","196,353,359 ","18,960,723,763 ",96.6 
201801,서울특별시,전체(시 / 군 / 구),산업용,"45,730 ","473,720,351 ","58,107,271,919 ",122.7 
201801,서울특별시,전체(시 / 군 / 구),농사용,"1,874 ","1,751,442 ","84,035,697 ",48.0 
201801,서울특별시,전체(시 / 군 / 구),가로등,"187,886 ","32,726,126 ","3,409,150,331 ",104.2 
201801,서울특별시,전체(시 / 군 / 구),심 야,"15,695 ","30,828,345 ","2,537,249,852 ",82.3 
201802,서울특별시,전체(시 / 군 / 구),주택용,"2,776,339 ","1,230,801,297 ","143,578,212,057 ",116.7 
201802,서울특별시,전체(시 / 군 / 구),일반용,"541,293 ","2,506,813,144 ","328,566,905,573 ",131.1 
201802,서울특별시,전체(시 / 군 / 구),교육용,"2,697 ","196,619,691 ","18,833,076,992 ",95.8 
201802,서울특별시,전체(시 / 군 / 구),산업용,"45,731 ","472,135,611 ","57,264,045,888 ",121.3 
201802,서울특별시,전체(시 / 군 / 구),농사용,"1,871 ","1,781,012 ","85,842,899 ",48.2 
201802,서울특별시,전체(시 / 군 / 구),가로등,"187,822 ","30,589,606 ","3,331,527,432 ",108.9 
201802,서울특별시,전체(시 / 군 / 구),심 야,"15,644 ","31,199,345 ","2,565,019,988 ",82.2 
201803,서울특별시,전체(시 / 군 / 구),주택용,"2,780,142 ","1,045,250,724 ","108,694,942,599 ",104.0 
