계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,울산광역시,전체(시 / 군 / 구),주택용,"326,350 ","138,902,319 ","15,793,290,235 ",113.7 
201801,울산광역시,전체(시 / 군 / 구),일반용,"71,737 ","205,984,892 ","27,860,879,377 ",135.3 
201801,울산광역시,전체(시 / 군 / 구),교육용,433 ,"19,481,224 ","1,981,428,957 ",101.7 
201801,울산광역시,전체(시 / 군 / 구),산업용,"6,353 ","2,399,889,441 ","258,638,893,553 ",107.8 
201801,울산광역시,전체(시 / 군 / 구),농사용,"13,527 ","8,612,830 ","429,535,666 ",49.9 
201801,울산광역시,전체(시 / 군 / 구),가로등,"34,287 ","6,565,692 ","690,341,624 ",105.1 
201801,울산광역시,전체(시 / 군 / 구),심 야,"7,114 ","19,376,541 ","1,450,861,786 ",74.9 
201802,울산광역시,전체(시 / 군 / 구),주택용,"326,443 ","140,771,389 ","16,134,130,469 ",114.6 
201802,울산광역시,전체(시 / 군 / 구),일반용,"71,836 ","208,962,189 ","28,152,217,223 ",134.7 
201802,울산광역시,전체(시 / 군 / 구),교육용,433 ,"18,686,491 ","1,922,022,482 ",102.9 
201802,울산광역시,전체(시 / 군 / 구),산업용,"6,367 ","2,196,796,900 ","232,493,450,772 ",105.8 
201802,울산광역시,전체(시 / 군 / 구),농사용,"13,557 ","8,882,400 ","443,513,753 ",49.9 
201802,울산광역시,전체(시 / 군 / 구),가로등,"34,422 ","6,199,063 ","685,421,355 ",110.6 
201802,울산광역시,전체(시 / 군 / 구),심 야,"7,085 ","20,127,085 ","1,508,377,491 ",74.9 
201803,울산광역시,전체(시 / 군 / 구),주택용,"326,634 ","121,207,680 ","12,487,976,984 ",103.0 
201803,울산광역시,전체(시 / 군 / 구),일반용,"71,809 ","168,607,340 ","21,786,832,009 ",129.2 
201803,울산광역시,전체(시 / 군 / 구),교육용,431 ,"16,716,991 ","1,590,645,016 ",95.2 
201803,울산광역시,전체(시 / 군 / 구),산업용,"6,381 ","2,362,113,549 ","199,535,786,399 ",84.5 
201803,울산광역시,전체(시 / 군 / 구),농사용,"14,596 ","7,078,779 ","361,208,926 ",51.0 
201803,울산광역시,전체(시 / 군 / 구),가로등,"34,462 ","5,661,372 ","637,054,445 ",112.5 
201803,울산광역시,전체(시 / 군 / 구),심 야,"7,064 ","15,060,688 ","1,002,415,229 ",66.6 
201804,울산광역시,전체(시 / 군 / 구),주택용,"327,250 ","125,144,817 ","13,172,256,351 ",105.3 
201804,울산광역시,전체(시 / 군 / 구),일반용,"71,880 ","162,629,408 ","19,186,674,004 ",118.0 
201804,울산광역시,전체(시 / 군 / 구),교육용,430 ,"15,090,021 ","1,364,412,913 ",90.4 
201804,울산광역시,전체(시 / 군 / 구),산업용,"6,385 ","2,294,225,863 ","194,321,898,028 ",84.7 
201804,울산광역시,전체(시 / 군 / 구),농사용,"13,775 ","6,337,994 ","327,354,634 ",51.6 
201804,울산광역시,전체(시 / 군 / 구),가로등,"34,513 ","5,549,074 ","648,381,736 ",116.8 
201804,울산광역시,전체(시 / 군 / 구),심 야,"7,039 ","11,481,891 ","627,948,556 ",54.7 
201805,울산광역시,전체(시 / 군 / 구),주택용,"327,552 ","116,795,037 ","11,755,363,273 ",100.6 
201805,울산광역시,전체(시 / 군 / 구),일반용,"71,896 ","152,278,860 ","18,413,545,158 ",120.9 
201805,울산광역시,전체(시 / 군 / 구),교육용,428 ,"13,765,557 ","1,175,938,246 ",85.4 
201805,울산광역시,전체(시 / 군 / 구),산업용,"6,400 ","2,452,692,999 ","202,975,606,506 ",82.8 
201805,울산광역시,전체(시 / 군 / 구),농사용,"13,885 ","5,417,008 ","288,844,739 ",53.3 
201805,울산광역시,전체(시 / 군 / 구),가로등,"34,775 ","5,168,213 ","624,170,723 ",120.8 
201805,울산광역시,전체(시 / 군 / 구),심 야,"6,999 ","7,328,472 ","408,396,551 ",55.7 
201806,울산광역시,전체(시 / 군 / 구),주택용,"327,875 ","120,007,748 ","12,287,934,973 ",102.4 
201806,울산광역시,전체(시 / 군 / 구),일반용,"71,957 ","164,290,578 ","22,075,524,863 ",134.4 
201806,울산광역시,전체(시 / 군 / 구),교육용,428 ,"14,867,546 ","1,612,186,288 ",108.4 
201806,울산광역시,전체(시 / 군 / 구),산업용,"6,411 ","2,463,424,072 ","255,012,768,305 ",103.5 
201806,울산광역시,전체(시 / 군 / 구),농사용,"14,018 ","5,997,406 ","310,009,463 ",51.7 
201806,울산광역시,전체(시 / 군 / 구),가로등,"34,935 ","4,996,451 ","622,027,121 ",124.5 
201806,울산광역시,전체(시 / 군 / 구),심 야,"6,966 ","4,922,376 ","287,785,281 ",58.5 
합계,합계,합계,합계,"2,767,118","16,248,096,246","1,583,085,311,463",97.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,울산광역시,남구,가로등,"7,888 ","1,253,364 ","139,112,783 ",111 
201801,울산광역시,남구,교육용,107 ,"4,863,614 ","516,988,937 ",106.3 
201801,울산광역시,남구,농사용,171 ,"67,152 ","3,353,215 ",49.9 
201801,울산광역시,남구,산업용,"1,195 ","1,272,716,763 ","136,742,292,349 ",107.4 
201801,울산광역시,남구,심 야,"1,772 ","4,348,781 ","332,970,167 ",76.6 
201801,울산광역시,남구,일반용,"25,543 ","75,917,960 ","10,369,497,001 ",136.6 
201801,울산광역시,남구,주택용,"99,380 ","40,692,858 ","4,649,224,975 ",114.3 
201801,울산광역시,남구,합계,"136,056 ","1,399,860,492 ","152,753,439,427 ",109.1 
201801,울산광역시,동구,가로등,"3,176 ","734,831 ","74,225,476 ",101 
201801,울산광역시,동구,교육용,56 ,"1,904,437 ","203,322,053 ",106.8 
201801,울산광역시,동구,농사용,253 ,"130,343 ","7,433,111 ",57 
201801,울산광역시,동구,산업용,298 ,"83,360,308 ","9,538,878,472 ",114.4 
201801,울산광역시,동구,심 야,273 ,"994,572 ","76,027,606 ",76.4 
201801,울산광역시,동구,일반용,"8,021 ","21,857,184 ","2,957,728,555 ",135.3 
201801,울산광역시,동구,주택용,"47,960 ","19,489,309 ","2,178,371,175 ",111.8 
201801,울산광역시,동구,합계,"60,037 ","128,470,984 ","15,035,986,448 ",117 
201801,울산광역시,북구,가로등,"4,853 ","1,276,704 ","133,194,100 ",104.3 
201801,울산광역시,북구,교육용,89 ,"2,214,377 ","230,206,927 ",104 
201801,울산광역시,북구,농사용,"2,193 ","1,602,024 ","79,383,468 ",49.6 
201801,울산광역시,북구,산업용,"1,154 ","155,561,769 ","19,109,030,000 ",122.8 
201801,울산광역시,북구,심 야,867 ,"2,290,866 ","169,906,996 ",74.2 
201801,울산광역시,북구,일반용,"8,915 ","29,503,810 ","3,965,658,135 ",134.4 
201801,울산광역시,북구,주택용,"34,522 ","23,496,730 ","2,609,652,018 ",111.1 
201801,울산광역시,북구,합계,"52,593 ","215,946,280 ","26,297,031,644 ",121.8 
201801,울산광역시,울주군,가로등,"12,927 ","2,026,784 ","211,957,313 ",104.6 
201801,울산광역시,울주군,교육용,111 ,"8,729,091 ","836,544,626 ",95.8 
