계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,전라북도,전체(시 / 군 / 구),주택용,"643,701 ","219,865,063 ","24,409,064,062 ",111.0 
201801,전라북도,전체(시 / 군 / 구),일반용,"136,954 ","376,691,039 ","49,609,931,067 ",131.7 
201801,전라북도,전체(시 / 군 / 구),교육용,"1,225 ","42,802,609 ","4,289,582,620 ",100.2 
201801,전라북도,전체(시 / 군 / 구),산업용,"14,863 ","1,193,228,966 ","135,708,052,999 ",113.7 
201801,전라북도,전체(시 / 군 / 구),농사용,"142,817 ","155,252,854 ","7,470,470,746 ",48.1 
201801,전라북도,전체(시 / 군 / 구),가로등,"134,144 ","19,409,605 ","1,994,387,284 ",102.8 
201801,전라북도,전체(시 / 군 / 구),심 야,"65,184 ","145,497,768 ","10,769,515,096 ",74.0 
201802,전라북도,전체(시 / 군 / 구),주택용,"644,501 ","223,840,678 ","25,313,113,593 ",113.1 
201802,전라북도,전체(시 / 군 / 구),일반용,"137,107 ","389,728,549 ","50,978,625,262 ",130.8 
201802,전라북도,전체(시 / 군 / 구),교육용,"1,227 ","41,504,795 ","4,278,624,757 ",103.1 
201802,전라북도,전체(시 / 군 / 구),산업용,"14,860 ","1,045,527,692 ","119,215,578,855 ",114.0 
201802,전라북도,전체(시 / 군 / 구),농사용,"142,514 ","161,886,673 ","7,737,368,133 ",47.8 
201802,전라북도,전체(시 / 군 / 구),가로등,"134,349 ","18,197,647 ","1,993,991,990 ",109.6 
201802,전라북도,전체(시 / 군 / 구),심 야,"65,036 ","156,844,697 ","11,621,158,231 ",74.1 
201803,전라북도,전체(시 / 군 / 구),주택용,"645,148 ","192,407,278 ","19,591,102,205 ",101.8 
201803,전라북도,전체(시 / 군 / 구),일반용,"137,106 ","307,195,572 ","38,868,489,994 ",126.5 
201803,전라북도,전체(시 / 군 / 구),교육용,"1,226 ","34,509,335 ","3,539,472,937 ",102.6 
201803,전라북도,전체(시 / 군 / 구),산업용,"14,915 ","1,126,042,846 ","104,258,628,061 ",92.6 
201803,전라북도,전체(시 / 군 / 구),농사용,"214,841 ","131,985,681 ","6,416,863,582 ",48.6 
201803,전라북도,전체(시 / 군 / 구),가로등,"134,542 ","17,183,846 ","1,892,739,537 ",110.1 
201803,전라북도,전체(시 / 군 / 구),심 야,"64,883 ","117,329,634 ","7,725,172,321 ",65.8 
201804,전라북도,전체(시 / 군 / 구),주택용,"646,130 ","198,017,312 ","20,722,587,967 ",104.7 
201804,전라북도,전체(시 / 군 / 구),일반용,"137,371 ","287,649,438 ","33,660,298,598 ",117.0 
201804,전라북도,전체(시 / 군 / 구),교육용,"1,226 ","30,065,981 ","2,830,041,949 ",94.1 
201804,전라북도,전체(시 / 군 / 구),산업용,"14,957 ","1,142,006,130 ","104,291,443,491 ",91.3 
201804,전라북도,전체(시 / 군 / 구),농사용,"181,244 ","118,294,382 ","5,794,290,789 ",49.0 
201804,전라북도,전체(시 / 군 / 구),가로등,"134,807 ","16,789,363 ","1,938,999,568 ",115.5 
201804,전라북도,전체(시 / 군 / 구),심 야,"64,656 ","83,314,740 ","4,463,071,869 ",53.6 
201805,전라북도,전체(시 / 군 / 구),주택용,"646,853 ","185,237,150 ","18,646,209,904 ",100.7 
201805,전라북도,전체(시 / 군 / 구),일반용,"137,406 ","264,991,412 ","32,111,933,428 ",121.2 
201805,전라북도,전체(시 / 군 / 구),교육용,"1,231 ","23,844,315 ","2,272,566,187 ",95.3 
201805,전라북도,전체(시 / 군 / 구),산업용,"15,002 ","1,181,541,303 ","105,799,930,690 ",89.5 
201805,전라북도,전체(시 / 군 / 구),농사용,"144,701 ","107,171,506 ","5,224,974,617 ",48.8 
201805,전라북도,전체(시 / 군 / 구),가로등,"135,169 ","15,755,751 ","1,880,708,727 ",119.4 
201805,전라북도,전체(시 / 군 / 구),심 야,"64,442 ","52,499,007 ","2,839,922,657 ",54.1 
201806,전라북도,전체(시 / 군 / 구),주택용,"647,942 ","187,628,108 ","19,058,974,516 ",101.6 
201806,전라북도,전체(시 / 군 / 구),일반용,"137,685 ","283,598,535 ","38,256,886,081 ",134.9 
201806,전라북도,전체(시 / 군 / 구),교육용,"1,231 ","25,146,436 ","2,880,846,422 ",114.6 
201806,전라북도,전체(시 / 군 / 구),산업용,"15,021 ","1,145,526,280 ","127,288,900,186 ",111.1 
201806,전라북도,전체(시 / 군 / 구),농사용,"145,728 ","123,166,244 ","5,685,069,274 ",46.2 
201806,전라북도,전체(시 / 군 / 구),가로등,"135,729 ","15,238,634 ","1,882,330,332 ",123.5 
201806,전라북도,전체(시 / 군 / 구),심 야,"64,243 ","30,330,373 ","1,682,122,306 ",55.5 
합계,합계,합계,합계,"6,963,917","11,634,745,227","1,176,894,042,890",101.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,전라북도,고창군,가로등,"4,064 ","1,157,193 ","113,059,167 ",97.7 
201801,전라북도,고창군,교육용,58 ,"1,108,282 ","105,625,675 ",95.3 
201801,전라북도,고창군,농사용,"14,018 ","24,769,789 ","1,159,254,685 ",46.8 
201801,전라북도,고창군,산업용,648 ,"7,163,665 ","969,180,427 ",135.3 
201801,전라북도,고창군,심 야,"3,320 ","7,697,665 ","574,053,266 ",74.6 
201801,전라북도,고창군,일반용,"4,506 ","10,379,864 ","1,379,080,090 ",132.9 
201801,전라북도,고창군,주택용,"29,653 ","6,231,584 ","722,507,129 ",115.9 
201801,전라북도,고창군,합계,"56,267 ","58,508,042 ","5,022,760,439 ",85.8 
201801,전라북도,군산시,가로등,"17,799 ","2,557,448 ","268,708,217 ",105.1 
201801,전라북도,군산시,교육용,159 ,"5,107,656 ","538,163,428 ",105.4 
201801,전라북도,군산시,농사용,"6,218 ","5,254,192 ","265,081,375 ",50.5 
201801,전라북도,군산시,산업용,"1,853 ","616,616,319 ","67,694,371,160 ",109.8 
201801,전라북도,군산시,심 야,"8,448 ","17,492,278 ","1,309,225,769 ",74.8 
201801,전라북도,군산시,일반용,"20,292 ","61,006,735 ","7,924,377,378 ",129.9 
201801,전라북도,군산시,주택용,"82,644 ","34,114,464 ","3,707,818,515 ",108.7 
201801,전라북도,군산시,합계,"137,413 ","742,149,092 ","81,707,745,842 ",110.1 
201801,전라북도,김제시,가로등,"6,751 ","874,817 ","88,417,650 ",101.1 
201801,전라북도,김제시,교육용,80 ,"1,463,896 ","146,722,083 ",100.2 
201801,전라북도,김제시,농사용,"14,339 ","21,117,550 ","1,013,752,803 ",48 
201801,전라북도,김제시,산업용,"1,192 ","37,811,334 ","4,888,223,640 ",129.3 
201801,전라북도,김제시,심 야,"5,090 ","12,687,213 ","914,356,559 ",72.1 
201801,전라북도,김제시,일반용,"6,319 ","16,883,668 ","2,227,304,464 ",131.9 
201801,전라북도,김제시,주택용,"39,171 ","9,649,399 ","1,099,255,050 ",113.9 
201801,전라북도,김제시,합계,"72,942 ","100,487,877 ","10,378,032,249 ",103.3 
201801,전라북도,남원시,가로등,"10,385 ","1,233,364 ","134,486,487 ",109 
201801,전라북도,남원시,교육용,71 ,"1,382,450 ","140,836,960 ",101.9 
201801,전라북도,남원시,농사용,"14,750 ","11,028,140 ","539,151,629 ",48.9 
201801,전라북도,남원시,산업용,883 ,"12,938,482 ","1,818,884,561 ",140.6 
201801,전라북도,남원시,심 야,"2,931 ","7,178,793 ","530,139,350 ",73.8 
201801,전라북도,남원시,일반용,"7,285 ","17,765,414 ","2,290,177,951 ",128.9 
201801,전라북도,남원시,주택용,"38,249 ","9,601,508 ","1,081,602,174 ",112.6 
201801,전라북도,남원시,합계,"74,554 ","61,128,151 ","6,535,279,112 ",106.9 
201801,전라북도,무주군,가로등,"2,656 ","940,932 ","98,719,401 ",104.9 
201801,전라북도,무주군,교육용,26 ,"543,355 ","53,429,317 ",98.3 
201801,전라북도,무주군,농사용,"6,382 ","1,667,513 ","88,528,178 ",53.1 
201801,전라북도,무주군,산업용,391 ,"2,604,165 ","337,551,801 ",129.6 
201801,전라북도,무주군,심 야,"1,726 ","4,969,562 ","376,380,148 ",75.7 
201801,전라북도,무주군,일반용,"2,640 ","11,507,945 ","1,464,127,294 ",127.2 
201801,전라북도,무주군,주택용,"13,371 ","2,796,333 ","317,653,435 ",113.6 
201801,전라북도,무주군,합계,"27,192 ","25,029,805 ","2,736,389,574 ",109.3 
201801,전라북도,부안군,가로등,"9,475 ","908,856 ","86,044,167 ",94.7 
201801,전라북도,부안군,교육용,55 ,"1,041,968 ","105,569,859 ",101.3 
201801,전라북도,부안군,농사용,"8,457 ","9,646,888 ","471,976,885 ",48.9 
201801,전라북도,부안군,산업용,665 ,"10,507,297 ","1,334,754,932 ",127 
201801,전라북도,부안군,심 야,"2,783 ","6,391,611 ","482,184,929 ",75.4 
201801,전라북도,부안군,일반용,"5,527 ","13,599,906 ","1,806,428,324 ",132.8 
201801,전라북도,부안군,주택용,"24,643 ","5,994,405 ","686,865,392 ",114.6 
201801,전라북도,부안군,합계,"51,605 ","48,090,931 ","4,973,824,488 ",103.4 
201801,전라북도,순창군,가로등,"6,424 ","481,151 ","43,258,225 ",89.9 
201801,전라북도,순창군,교육용,30 ,"470,083 ","48,389,151 ",102.9 
201801,전라북도,순창군,농사용,"8,122 ","5,515,261 ","270,408,082 ",49 
201801,전라북도,순창군,산업용,445 ,"7,556,578 ","931,844,094 ",123.3 
201801,전라북도,순창군,심 야,"1,551 ","3,548,478 ","266,127,281 ",75 
201801,전라북도,순창군,일반용,"2,239 ","4,543,855 ","607,282,258 ",133.6 
201801,전라북도,순창군,주택용,"14,477 ","2,900,208 ","321,235,421 ",110.8 
201801,전라북도,순창군,합계,"33,288 ","25,015,614 ","2,488,544,512 ",99.5 
201801,전라북도,완주군,가로등,"4,634 ","1,902,045 ","199,926,811 ",105.1 
201801,전라북도,완주군,교육용,85 ,"2,779,354 ","292,757,573 ",105.3 
201801,전라북도,완주군,농사용,"13,832 ","11,613,052 ","558,696,629 ",48.1 
201801,전라북도,완주군,산업용,"1,372 ","95,993,923 ","11,662,461,692 ",121.5 
201801,전라북도,완주군,심 야,"6,420 ","14,461,507 ","1,060,154,099 ",73.3 
201801,전라북도,완주군,일반용,"7,044 ","22,439,046 ","2,946,760,775 ",131.3 
201801,전라북도,완주군,주택용,"32,449 ","10,671,178 ","1,186,526,543 ",111.2 
201801,전라북도,완주군,합계,"65,836 ","159,860,105 ","17,907,284,122 ",112 
201801,전라북도,익산시,가로등,"20,712 ","1,510,894 ","151,219,276 ",100.1 
201801,전라북도,익산시,교육용,174 ,"8,153,322 ","797,011,786 ",97.8 
201801,전라북도,익산시,농사용,"14,025 ","17,586,439 ","845,927,596 ",48.1 
201801,전라북도,익산시,산업용,"2,523 ","146,585,307 ","17,497,404,308 ",119.4 
201801,전라북도,익산시,심 야,"14,325 ","27,109,071 ","2,005,454,799 ",74 
201801,전라북도,익산시,일반용,"20,440 ","51,555,183 ","6,831,544,082 ",132.5 
201801,전라북도,익산시,주택용,"93,810 ","35,126,433 ","3,825,741,824 ",108.9 
201801,전라북도,익산시,합계,"166,009 ","287,626,649 ","31,954,303,671 ",111.1 
201801,전라북도,임실군,가로등,"5,133 ","885,423 ","91,577,124 ",103.4 
201801,전라북도,임실군,교육용,33 ,"402,249 ","41,848,658 ",104 
201801,전라북도,임실군,농사용,"7,473 ","6,906,865 ","337,306,372 ",48.8 
201801,전라북도,임실군,산업용,569 ,"10,239,182 ","1,236,011,995 ",120.7 
201801,전라북도,임실군,심 야,"1,507 ","3,933,498 ","282,709,166 ",71.9 
201801,전라북도,임실군,일반용,"2,254 ","6,109,973 ","805,898,807 ",131.9 
201801,전라북도,임실군,주택용,"14,884 ","2,857,638 ","331,072,507 ",115.9 
201801,전라북도,임실군,합계,"31,853 ","31,334,828 ","3,126,424,629 ",99.8 
201801,전라북도,장수군,가로등,"2,937 ","642,080 ","68,475,593 ",106.6 
201801,전라북도,장수군,교육용,25 ,"488,956 ","42,885,484 ",87.7 
201801,전라북도,장수군,농사용,"7,063 ","9,683,138 ","453,189,835 ",46.8 
201801,전라북도,장수군,산업용,373 ,"4,225,058 ","511,851,919 ",121.1 
201801,전라북도,장수군,심 야,"2,046 ","5,329,273 ","381,447,024 ",71.6 
201801,전라북도,장수군,일반용,"1,656 ","4,132,635 ","546,990,793 ",132.4 
201801,전라북도,장수군,주택용,"11,920 ","2,406,488 ","272,449,513 ",113.2 
201801,전라북도,장수군,합계,"26,020 ","26,907,628 ","2,277,290,161 ",84.6 
201801,전라북도,전주시,가로등,"23,884 ","3,745,314 ","393,531,626 ",105.1 
201801,전라북도,전주시,교육용,281 ,"17,474,550 ","1,731,242,287 ",99.1 
201801,전라북도,전주시,농사용,"4,478 ","6,514,892 ","307,410,378 ",47.2 
201801,전라북도,전주시,산업용,"2,071 ","162,911,092 ","17,386,928,273 ",106.7 
201801,전라북도,전주시,심 야,"7,718 ","17,469,660 ","1,303,695,679 ",74.6 
201801,전라북도,전주시,일반용,"45,665 ","132,001,863 ","17,545,818,408 ",132.9 
201801,전라북도,전주시,주택용,"187,301 ","81,834,755 ","9,122,833,454 ",111.5 
201801,전라북도,전주시,합계,"271,398 ","421,952,126 ","47,791,460,105 ",113.3 
201801,전라북도,정읍시,가로등,"15,379 ","1,783,161 ","174,566,229 ",97.9 
201801,전라북도,정읍시,교육용,114 ,"1,944,032 ","198,989,350 ",102.4 
201801,전라북도,정읍시,농사용,"16,777 ","18,845,063 ","906,844,678 ",48.1 
201801,전라북도,정읍시,산업용,"1,155 ","74,815,007 ","8,995,410,727 ",120.2 
201801,전라북도,정읍시,심 야,"5,355 ","12,624,910 ","939,622,468 ",74.4 
201801,전라북도,정읍시,일반용,"9,020 ","19,887,922 ","2,596,160,465 ",130.5 
201801,전라북도,정읍시,주택용,"47,389 ","13,097,049 ","1,436,159,727 ",109.7 
201801,전라북도,정읍시,합계,"95,189 ","142,997,144 ","15,247,753,644 ",106.6 
201801,전라북도,진안군,가로등,"3,911 ","786,927 ","82,397,311 ",104.7 
201801,전라북도,진안군,교육용,34 ,"442,456 ","46,111,009 ",104.2 
201801,전라북도,진안군,농사용,"6,883 ","5,104,072 ","252,941,621 ",49.6 
201801,전라북도,진안군,산업용,723 ,"3,261,557 ","443,173,470 ",135.9 
