년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201801-201806,충청남도,계룡시,일반용,1690,59328676,48.58
201801-201806,충청남도,계룡시,합계,1313,122123381,
201801-201806,충청남도,공주시,일반용,9588,132923358,23.1
201801-201806,충청남도,공주시,합계,14960,575460786,
201801-201806,충청남도,금산군,일반용,5123,57804472,11.3
201801-201806,충청남도,금산군,합계,8849,511382723,
201801-201806,충청남도,논산시,일반용,10306,128217068,17.99
201801-201806,충청남도,논산시,합계,16943,712699282,
201801-201806,충청남도,당진시,일반용,13522,168333131,2.81
201801-201806,충청남도,당진시,합계,20688,5999218707,
201801-201806,충청남도,보령시,일반용,10391,140727590,21.91
201801-201806,충청남도,보령시,합계,14347,642383904,
201801-201806,충청남도,부여군,일반용,4935,58590337,17.77
201801-201806,충청남도,부여군,합계,12320,329692079,
201801-201806,충청남도,서산시,일반용,13642,212800758,5.57
201801-201806,충청남도,서산시,합계,19135,3819115438,
201801-201806,충청남도,서천군,일반용,4897,63047578,10.39
201801-201806,충청남도,서천군,합계,9000,606736116,
201801-201806,충청남도,아산시,일반용,20751,309966197,4.36
201801-201806,충청남도,아산시,합계,25182,7114972957,
201801-201806,충청남도,연기군,일반용,0,3723,100.0
201801-201806,충청남도,연기군,합계,0,3723,
201801-201806,충청남도,예산군,일반용,7290,88691560,14.86
201801-201806,충청남도,예산군,합계,12613,596934516,
201801-201806,충청남도,천안시,일반용,39785,686892046,18.24
201801-201806,충청남도,천안시,합계,45172,3766563248,
201801-201806,충청남도,청양군,일반용,2768,27851190,16.64
201801-201806,충청남도,청양군,합계,6667,167336492,
201801-201806,충청남도,태안군,일반용,8919,101743626,29.75
201801-201806,충청남도,태안군,합계,10809,342011221,
201801-201806,충청남도,홍성군,일반용,7720,104010419,22.19
201801-201806,충청남도,홍성군,합계,12788,468669975,
