계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 강원도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,강원도,전체(시 / 군 / 구),주택용,"585,780 ","168,822,823 ","17,442,237,357 ",103.3 
201807,강원도,전체(시 / 군 / 구),일반용,"143,112 ","376,417,411 ","55,253,609,003 ",146.8 
201807,강원도,전체(시 / 군 / 구),교육용,"1,056 ","23,409,821 ","2,956,715,437 ",126.3 
201807,강원도,전체(시 / 군 / 구),산업용,"13,451 ","605,090,418 ","70,893,152,620 ",117.2 
201807,강원도,전체(시 / 군 / 구),농사용,"100,976 ","51,242,069 ","2,596,967,159 ",50.7 
201807,강원도,전체(시 / 군 / 구),가로등,"117,963 ","16,451,089 ","1,952,242,304 ",118.7 
201807,강원도,전체(시 / 군 / 구),심 야,"91,414 ","44,277,836 ","2,502,709,043 ",56.5 
201808,강원도,전체(시 / 군 / 구),주택용,"587,461 ","231,392,179 ","25,746,757,699 ",111.3 
201808,강원도,전체(시 / 군 / 구),일반용,"143,735 ","461,039,301 ","64,831,048,515 ",140.6 
201808,강원도,전체(시 / 군 / 구),교육용,"1,055 ","24,783,437 ","3,177,541,956 ",128.2 
201808,강원도,전체(시 / 군 / 구),산업용,"13,475 ","581,020,155 ","67,952,752,038 ",117.0 
201808,강원도,전체(시 / 군 / 구),농사용,"101,779 ","71,667,236 ","3,424,019,242 ",47.8 
201808,강원도,전체(시 / 군 / 구),가로등,"119,807 ","17,290,528 ","1,991,883,118 ",115.2 
201808,강원도,전체(시 / 군 / 구),심 야,"91,247 ","34,579,217 ","1,989,976,870 ",57.5 
201809,강원도,전체(시 / 군 / 구),주택용,"588,867 ","185,836,283 ","15,365,301,417 ",82.7 
201809,강원도,전체(시 / 군 / 구),일반용,"143,935 ","368,187,038 ","47,999,810,370 ",130.4 
201809,강원도,전체(시 / 군 / 구),교육용,"1,054 ","23,500,128 ","2,712,782,932 ",115.4 
201809,강원도,전체(시 / 군 / 구),산업용,"13,504 ","564,388,271 ","53,788,199,567 ",95.3 
201809,강원도,전체(시 / 군 / 구),농사용,"102,576 ","69,772,359 ","3,389,725,609 ",48.6 
201809,강원도,전체(시 / 군 / 구),가로등,"114,344 ","17,186,518 ","1,978,135,143 ",115.1 
201809,강원도,전체(시 / 군 / 구),심 야,"91,117 ","36,588,815 ","2,052,494,516 ",56.1 
201810,강원도,전체(시 / 군 / 구),주택용,"590,071 ","161,591,995 ","15,959,527,700 ",98.8 
201810,강원도,전체(시 / 군 / 구),일반용,"143,933 ","313,918,940 ","37,432,228,418 ",119.2 
