계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,충청북도,전체(시 / 군 / 구),주택용,"602,320 ","183,073,634 ","19,798,979,681 ",108.1 
201807,충청북도,전체(시 / 군 / 구),일반용,"118,123 ","289,146,548 ","43,492,139,528 ",150.4 
201807,충청북도,전체(시 / 군 / 구),교육용,779 ,"22,331,628 ","2,823,633,697 ",126.4 
201807,충청북도,전체(시 / 군 / 구),산업용,"16,661 ","1,579,325,750 ","187,901,889,989 ",119.0 
201807,충청북도,전체(시 / 군 / 구),농사용,"129,636 ","65,049,162 ","3,292,347,590 ",50.6 
201807,충청북도,전체(시 / 군 / 구),가로등,"98,084 ","13,868,959 ","1,673,466,641 ",120.7 
201807,충청북도,전체(시 / 군 / 구),심 야,"89,210 ","26,372,884 ","1,573,818,033 ",59.7 
201808,충청북도,전체(시 / 군 / 구),주택용,"602,905 ","268,550,783 ","31,832,680,004 ",118.5 
201808,충청북도,전체(시 / 군 / 구),일반용,"118,593 ","358,332,218 ","51,174,749,017 ",142.8 
201808,충청북도,전체(시 / 군 / 구),교육용,780 ,"24,248,220 ","3,096,858,420 ",127.7 
201808,충청북도,전체(시 / 군 / 구),산업용,"16,729 ","1,564,342,605 ","185,639,905,895 ",118.7 
201808,충청북도,전체(시 / 군 / 구),농사용,"130,472 ","99,660,052 ","4,646,574,970 ",46.6 
201808,충청북도,전체(시 / 군 / 구),가로등,"98,330 ","14,865,337 ","1,728,303,921 ",116.3 
201808,충청북도,전체(시 / 군 / 구),심 야,"88,986 ","21,465,893 ","1,342,929,796 ",62.6 
201809,충청북도,전체(시 / 군 / 구),주택용,"604,084 ","204,119,364 ","18,089,080,346 ",88.6 
201809,충청북도,전체(시 / 군 / 구),일반용,"118,808 ","295,002,704 ","39,281,553,820 ",133.2 
201809,충청북도,전체(시 / 군 / 구),교육용,781 ,"23,520,760 ","2,753,676,576 ",117.1 
201809,충청북도,전체(시 / 군 / 구),산업용,"16,768 ","1,471,907,742 ","139,755,791,184 ",94.9 
201809,충청북도,전체(시 / 군 / 구),농사용,"131,186 ","81,957,329 ","4,005,050,789 ",48.9 
201809,충청북도,전체(시 / 군 / 구),가로등,"98,687 ","15,054,668 ","1,713,043,383 ",113.8 
201809,충청북도,전체(시 / 군 / 구),심 야,"88,869 ","22,487,277 ","1,315,906,359 ",58.5 
201810,충청북도,전체(시 / 군 / 구),주택용,"604,952 ","165,031,355 ","16,132,721,416 ",97.8 
201810,충청북도,전체(시 / 군 / 구),일반용,"119,122 ","235,145,346 ","29,021,317,843 ",123.4 
201810,충청북도,전체(시 / 군 / 구),교육용,780 ,"18,444,601 ","1,849,731,155 ",100.3 
201810,충청북도,전체(시 / 군 / 구),산업용,"16,809 ","1,506,431,332 ","138,466,649,991 ",91.9 
201810,충청북도,전체(시 / 군 / 구),농사용,"131,624 ","58,859,640 ","3,101,716,681 ",52.7 
201810,충청북도,전체(시 / 군 / 구),가로등,"99,040 ","15,923,439 ","1,727,128,237 ",108.5 
201810,충청북도,전체(시 / 군 / 구),심 야,"88,820 ","46,501,338 ","2,551,676,952 ",54.9 
201811,충청북도,전체(시 / 군 / 구),주택용,"606,190 ","179,372,586 ","18,681,312,126 ",104.1 
201811,충청북도,전체(시 / 군 / 구),일반용,"119,503 ","261,155,591 ","34,463,339,681 ",132.0 
201811,충청북도,전체(시 / 군 / 구),교육용,780 ,"24,987,758 ","2,637,810,787 ",105.6 
201811,충청북도,전체(시 / 군 / 구),산업용,"16,849 ","1,519,252,992 ","174,969,981,100 ",115.2 
201811,충청북도,전체(시 / 군 / 구),농사용,"166,543 ","87,854,602 ","3,961,256,909 ",45.1 
201811,충청북도,전체(시 / 군 / 구),가로등,"99,208 ","16,731,454 ","1,774,108,655 ",106.0 
201811,충청북도,전체(시 / 군 / 구),심 야,"88,803 ","103,705,173 ","6,558,872,081 ",63.2 
201812,충청북도,전체(시 / 군 / 구),주택용,"607,454 ","188,245,492 ","20,016,346,395 ",106.3 
201812,충청북도,전체(시 / 군 / 구),일반용,"120,236 ","304,769,266 ","42,042,785,872 ",137.9 
201812,충청북도,전체(시 / 군 / 구),교육용,781 ,"34,681,028 ","3,495,497,420 ",100.8 
201812,충청북도,전체(시 / 군 / 구),산업용,"16,898 ","1,559,133,957 ","178,274,974,209 ",114.3 
201812,충청북도,전체(시 / 군 / 구),농사용,"131,859 ","72,769,350 ","3,676,661,457 ",50.5 
201812,충청북도,전체(시 / 군 / 구),가로등,"99,617 ","16,931,236 ","1,758,240,810 ",103.8 
201812,충청북도,전체(시 / 군 / 구),심 야,"88,784 ","157,109,206 ","11,674,198,331 ",74.3 
합계,합계,합계,합계,"6,395,443","13,217,720,259","1,443,768,707,747",109.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,충청북도,괴산군,가로등,"3,430 ","1,323,929 ","145,338,437 ",109.8 
201807,충청북도,괴산군,교육용,29 ,"1,343,859 ","159,302,075 ",118.5 
201807,충청북도,괴산군,농사용,"12,696 ","6,379,202 ","319,398,559 ",50.1 
201807,충청북도,괴산군,산업용,798 ,"16,322,567 ","2,325,862,852 ",142.5 
201807,충청북도,괴산군,심 야,"3,594 ","1,334,801 ","72,248,720 ",54.1 
201807,충청북도,괴산군,일반용,"3,423 ","7,884,533 ","1,211,382,296 ",153.6 
201807,충청북도,괴산군,주택용,"21,476 ","3,923,649 ","444,876,807 ",113.4 
201807,충청북도,괴산군,합계,"45,446 ","38,512,540 ","4,678,409,746 ",121.5 
201807,충청북도,단양군,가로등,"5,262 ","815,453 ","96,993,984 ",118.9 
201807,충청북도,단양군,교육용,25 ,"287,654 ","39,059,631 ",135.8 
201807,충청북도,단양군,농사용,"5,095 ","1,302,535 ","72,578,523 ",55.7 
201807,충청북도,단양군,산업용,489 ,"144,764,562 ","15,182,952,130 ",104.9 
201807,충청북도,단양군,심 야,"3,299 ","1,382,217 ","77,046,691 ",55.7 
201807,충청북도,단양군,일반용,"3,385 ","6,033,105 ","952,849,547 ",157.9 
201807,충청북도,단양군,주택용,"16,202 ","3,061,525 ","333,582,050 ",109 
201807,충청북도,단양군,합계,"33,757 ","157,647,051 ","16,755,062,556 ",106.3 
201807,충청북도,보은군,가로등,"6,090 ","550,089 ","64,087,034 ",116.5 
201807,충청북도,보은군,교육용,25 ,"262,055 ","34,660,045 ",132.3 
201807,충청북도,보은군,농사용,"10,172 ","4,208,885 ","218,452,686 ",51.9 
201807,충청북도,보은군,산업용,759 ,"11,430,202 ","1,571,080,318 ",137.4 
201807,충청북도,보은군,심 야,"2,756 ","1,035,678 ","56,229,597 ",54.3 
201807,충청북도,보은군,일반용,"2,912 ","5,413,860 ","881,148,634 ",162.8 
