계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,경상남도,전체(시 / 군 / 구),주택용,"1,046,986 ","384,837,769 ","52,055,593,593 ",135.3 
201301,경상남도,전체(시 / 군 / 구),일반용,"199,721 ","567,423,659 ","69,809,726,654 ",123.0 
201301,경상남도,전체(시 / 군 / 구),교육용,"2,740 ","43,484,315 ","5,227,321,307 ",120.2 
201301,경상남도,전체(시 / 군 / 구),산업용,"34,203 ","1,721,566,403 ","198,803,489,578 ",115.5 
201301,경상남도,전체(시 / 군 / 구),농사용,"150,862 ","262,077,852 ","11,184,569,562 ",42.7 
201301,경상남도,전체(시 / 군 / 구),가로등,"128,984 ","23,213,753 ","2,220,511,466 ",95.7 
201301,경상남도,전체(시 / 군 / 구),심 야,"100,600 ","229,635,514 ","15,718,718,621 ",68.5 
201302,경상남도,전체(시 / 군 / 구),주택용,"1,048,539 ","376,316,991 ","50,400,633,353 ",133.9 
201302,경상남도,전체(시 / 군 / 구),일반용,"200,499 ","536,124,618 ","69,104,325,298 ",128.9 
201302,경상남도,전체(시 / 군 / 구),교육용,"2,746 ","40,271,357 ","5,050,383,192 ",125.4 
201302,경상남도,전체(시 / 군 / 구),산업용,"34,306 ","1,555,859,586 ","187,913,474,264 ",120.8 
201302,경상남도,전체(시 / 군 / 구),농사용,"150,663 ","251,568,590 ","11,046,982,949 ",43.9 
201302,경상남도,전체(시 / 군 / 구),가로등,"129,826 ","21,678,615 ","2,275,089,867 ",104.9 
201302,경상남도,전체(시 / 군 / 구),심 야,"100,515 ","221,207,406 ","15,726,549,107 ",71.1 
201303,경상남도,전체(시 / 군 / 구),주택용,"1,050,205 ","326,251,425 ","38,143,910,068 ",116.9 
201303,경상남도,전체(시 / 군 / 구),일반용,"200,815 ","447,836,897 ","55,120,766,522 ",123.1 
201303,경상남도,전체(시 / 군 / 구),교육용,"2,750 ","35,243,896 ","4,107,030,125 ",116.5 
201303,경상남도,전체(시 / 군 / 구),산업용,"34,372 ","1,664,143,834 ","165,825,976,959 ",99.6 
201303,경상남도,전체(시 / 군 / 구),농사용,"174,000 ","190,453,034 ","8,658,512,602 ",45.5 
201303,경상남도,전체(시 / 군 / 구),가로등,"130,422 ","20,249,530 ","2,164,102,001 ",106.9 
201303,경상남도,전체(시 / 군 / 구),심 야,"100,402 ","168,059,126 ","10,638,506,427 ",63.3 
201304,경상남도,전체(시 / 군 / 구),주택용,"1,051,835 ","340,130,682 ","40,946,810,495 ",120.4 
201304,경상남도,전체(시 / 군 / 구),일반용,"201,462 ","436,485,507 ","48,894,829,552 ",112.0 
201304,경상남도,전체(시 / 군 / 구),교육용,"2,739 ","34,672,857 ","3,803,351,687 ",109.7 
201304,경상남도,전체(시 / 군 / 구),산업용,"34,461 ","1,691,782,280 ","163,139,445,505 ",96.4 
201304,경상남도,전체(시 / 군 / 구),농사용,"151,235 ","150,373,315 ","7,128,024,002 ",47.4 
201304,경상남도,전체(시 / 군 / 구),가로등,"131,088 ","19,868,527 ","2,210,709,732 ",111.3 
201304,경상남도,전체(시 / 군 / 구),심 야,"100,305 ","137,004,246 ","7,119,920,599 ",52.0 
201305,경상남도,전체(시 / 군 / 구),주택용,"1,053,360 ","319,945,735 ","36,416,274,487 ",113.8 
201305,경상남도,전체(시 / 군 / 구),일반용,"201,814 ","411,633,396 ","47,270,280,201 ",114.8 
201305,경상남도,전체(시 / 군 / 구),교육용,"2,737 ","29,181,853 ","3,501,464,008 ",120.0 
201305,경상남도,전체(시 / 군 / 구),산업용,"34,544 ","1,638,871,663 ","160,014,587,858 ",97.6 
201305,경상남도,전체(시 / 군 / 구),농사용,"152,696 ","110,067,189 ","5,526,440,692 ",50.2 
201305,경상남도,전체(시 / 군 / 구),가로등,"131,776 ","18,560,832 ","2,129,910,864 ",114.8 
201305,경상남도,전체(시 / 군 / 구),심 야,"100,091 ","95,941,412 ","4,961,664,850 ",51.7 
201306,경상남도,전체(시 / 군 / 구),주택용,"1,055,203 ","318,546,018 ","35,896,859,763 ",112.7 
201306,경상남도,전체(시 / 군 / 구),일반용,"202,321 ","432,378,754 ","48,550,047,805 ",112.3 
201306,경상남도,전체(시 / 군 / 구),교육용,"2,731 ","28,857,575 ","3,437,263,955 ",119.1 
201306,경상남도,전체(시 / 군 / 구),산업용,"34,683 ","1,625,061,721 ","158,947,404,312 ",97.8 
201306,경상남도,전체(시 / 군 / 구),농사용,"153,822 ","87,550,645 ","4,396,459,031 ",50.2 
201306,경상남도,전체(시 / 군 / 구),가로등,"132,338 ","17,861,661 ","2,115,873,736 ",118.5 
201306,경상남도,전체(시 / 군 / 구),심 야,"99,894 ","49,578,832 ","2,600,501,256 ",52.5 
합계,합계,합계,합계,"10,055,291","17,081,858,870","1,770,204,297,905",103.6
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
