계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 01 월 ~ 2013년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201301,울산광역시,전체(시 / 군 / 구),주택용,"285,263 ","132,872,295 ","17,927,558,506 ",134.9 
201301,울산광역시,전체(시 / 군 / 구),일반용,"64,514 ","186,732,747 ","23,397,290,344 ",125.3 
201301,울산광역시,전체(시 / 군 / 구),교육용,822 ,"15,822,253 ","1,820,387,485 ",115.1 
201301,울산광역시,전체(시 / 군 / 구),산업용,"5,711 ","2,219,587,355 ","227,035,672,084 ",102.3 
201301,울산광역시,전체(시 / 군 / 구),농사용,"9,570 ","8,543,560 ","384,160,368 ",45.0 
201301,울산광역시,전체(시 / 군 / 구),가로등,"28,302 ","5,513,966 ","526,980,110 ",95.6 
201301,울산광역시,전체(시 / 군 / 구),심 야,"8,925 ","31,288,268 ","2,136,106,048 ",68.3 
201302,울산광역시,전체(시 / 군 / 구),주택용,"286,049 ","130,424,268 ","17,473,292,805 ",134.0 
201302,울산광역시,전체(시 / 군 / 구),일반용,"64,657 ","175,722,022 ","22,963,390,910 ",130.7 
201302,울산광역시,전체(시 / 군 / 구),교육용,828 ,"13,959,428 ","1,696,017,955 ",121.5 
201302,울산광역시,전체(시 / 군 / 구),산업용,"5,729 ","1,944,756,677 ","203,339,372,643 ",104.6 
201302,울산광역시,전체(시 / 군 / 구),농사용,"9,548 ","8,286,790 ","381,318,868 ",46.0 
201302,울산광역시,전체(시 / 군 / 구),가로등,"28,353 ","5,118,240 ","537,385,917 ",105.0 
201302,울산광역시,전체(시 / 군 / 구),심 야,"8,908 ","29,694,626 ","2,105,605,517 ",70.9 
201303,울산광역시,전체(시 / 군 / 구),주택용,"286,814 ","113,275,562 ","13,302,010,715 ",117.4 
201303,울산광역시,전체(시 / 군 / 구),일반용,"64,667 ","149,272,447 ","18,593,333,194 ",124.6 
201303,울산광역시,전체(시 / 군 / 구),교육용,830 ,"12,354,672 ","1,374,476,465 ",111.3 
201303,울산광역시,전체(시 / 군 / 구),산업용,"5,739 ","2,050,378,821 ","171,689,507,912 ",83.7 
201303,울산광역시,전체(시 / 군 / 구),농사용,"10,512 ","6,705,681 ","315,619,709 ",47.1 
201303,울산광역시,전체(시 / 군 / 구),가로등,"28,385 ","4,790,811 ","512,644,040 ",107.0 
201303,울산광역시,전체(시 / 군 / 구),심 야,"8,885 ","23,044,284 ","1,469,890,673 ",63.8 
201304,울산광역시,전체(시 / 군 / 구),주택용,"287,918 ","119,434,363 ","14,661,676,165 ",122.8 
201304,울산광역시,전체(시 / 군 / 구),일반용,"64,704 ","146,429,282 ","16,537,378,399 ",112.9 
201304,울산광역시,전체(시 / 군 / 구),교육용,832 ,"12,119,126 ","1,282,115,651 ",105.8 
201304,울산광역시,전체(시 / 군 / 구),산업용,"5,761 ","2,081,490,282 ","176,036,445,821 ",84.6 
201304,울산광역시,전체(시 / 군 / 구),농사용,"9,690 ","5,984,568 ","289,721,414 ",48.4 
201304,울산광역시,전체(시 / 군 / 구),가로등,"28,446 ","4,596,474 ","516,448,327 ",112.4 
201304,울산광역시,전체(시 / 군 / 구),심 야,"8,871 ","19,553,050 ","1,017,864,785 ",52.1 
201305,울산광역시,전체(시 / 군 / 구),주택용,"288,648 ","112,413,248 ","12,943,394,022 ",115.1 
201305,울산광역시,전체(시 / 군 / 구),일반용,"64,748 ","139,850,284 ","16,106,774,457 ",115.2 
201305,울산광역시,전체(시 / 군 / 구),교육용,833 ,"10,689,863 ","1,199,532,211 ",112.2 
