계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 07 월 ~ 2018년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201807,인천광역시,전체(시 / 군 / 구),주택용,"746,269 ","351,351,418 ","40,209,639,405 ",114.4 
201807,인천광역시,전체(시 / 군 / 구),일반용,"135,447 ","541,111,799 ","77,374,325,094 ",143.0 
201807,인천광역시,전체(시 / 군 / 구),교육용,"1,011 ","30,956,307 ","3,745,864,640 ",121.0 
201807,인천광역시,전체(시 / 군 / 구),산업용,"19,290 ","1,154,903,942 ","142,762,231,730 ",123.6 
201807,인천광역시,전체(시 / 군 / 구),농사용,"23,749 ","10,652,929 ","531,667,567 ",49.9 
201807,인천광역시,전체(시 / 군 / 구),가로등,"66,256 ","11,563,938 ","1,447,602,273 ",125.2 
201807,인천광역시,전체(시 / 군 / 구),심 야,"16,058 ","9,995,029 ","622,831,048 ",62.3 
201808,인천광역시,전체(시 / 군 / 구),주택용,"746,560 ","525,787,773 ","64,106,409,514 ",121.9 
201808,인천광역시,전체(시 / 군 / 구),일반용,"135,789 ","654,277,217 ","89,846,589,344 ",137.3 
201808,인천광역시,전체(시 / 군 / 구),교육용,"1,007 ","32,168,484 ","3,896,861,931 ",121.1 
201808,인천광역시,전체(시 / 군 / 구),산업용,"19,304 ","1,159,137,839 ","142,703,031,243 ",123.1 
201808,인천광역시,전체(시 / 군 / 구),농사용,"23,884 ","15,872,519 ","739,631,549 ",46.6 
201808,인천광역시,전체(시 / 군 / 구),가로등,"67,694 ","12,292,116 ","1,491,496,810 ",121.3 
201808,인천광역시,전체(시 / 군 / 구),심 야,"16,001 ","8,885,624 ","571,949,263 ",64.4 
201809,인천광역시,전체(시 / 군 / 구),주택용,"747,837 ","376,905,567 ","37,048,428,522 ",98.3 
201809,인천광역시,전체(시 / 군 / 구),일반용,"136,042 ","538,638,612 ","65,520,771,883 ",121.6 
201809,인천광역시,전체(시 / 군 / 구),교육용,"1,006 ","26,084,557 ","2,643,746,000 ",101.4 
201809,인천광역시,전체(시 / 군 / 구),산업용,"19,331 ","1,040,346,939 ","106,972,845,460 ",102.8 
201809,인천광역시,전체(시 / 군 / 구),농사용,"23,986 ","16,717,320 ","798,178,009 ",47.7 
201809,인천광역시,전체(시 / 군 / 구),가로등,"67,547 ","13,250,802 ","1,558,180,869 ",117.6 
201809,인천광역시,전체(시 / 군 / 구),심 야,"15,943 ","7,070,288 ","431,241,812 ",61.0 
