계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,전라북도,전체(시 / 군 / 구),주택용,"594,368 ","185,933,706 ","21,433,078,043 ",115.3 
201307,전라북도,전체(시 / 군 / 구),일반용,"125,629 ","269,646,003 ","34,508,478,631 ",128.0 
201307,전라북도,전체(시 / 군 / 구),교육용,"1,789 ","26,468,046 ","3,432,862,607 ",129.7 
201307,전라북도,전체(시 / 군 / 구),산업용,"12,929 ","1,129,754,993 ","124,390,306,057 ",110.1 
201307,전라북도,전체(시 / 군 / 구),농사용,"116,134 ","82,198,164 ","3,841,593,289 ",46.7 
201307,전라북도,전체(시 / 군 / 구),가로등,"80,636 ","12,249,431 ","1,446,532,043 ",118.1 
201307,전라북도,전체(시 / 군 / 구),심 야,"71,036 ","24,329,952 ","1,287,707,661 ",52.9 
201308,전라북도,전체(시 / 군 / 구),주택용,"594,920 ","224,863,635 ","31,680,296,357 ",140.9 
201308,전라북도,전체(시 / 군 / 구),일반용,"126,298 ","316,759,335 ","44,070,589,095 ",139.1 
201308,전라북도,전체(시 / 군 / 구),교육용,"1,782 ","27,378,249 ","3,887,064,907 ",142.0 
201308,전라북도,전체(시 / 군 / 구),산업용,"12,955 ","997,837,359 ","111,169,765,579 ",111.4 
201308,전라북도,전체(시 / 군 / 구),농사용,"118,464 ","113,262,339 ","5,067,150,428 ",44.7 
201308,전라북도,전체(시 / 군 / 구),가로등,"80,887 ","12,896,082 ","1,455,941,123 ",112.9 
201308,전라북도,전체(시 / 군 / 구),심 야,"70,882 ","19,561,292 ","1,062,157,582 ",54.3 
201309,전라북도,전체(시 / 군 / 구),주택용,"596,503 ","205,458,149 ","26,150,344,416 ",127.3 
201309,전라북도,전체(시 / 군 / 구),일반용,"125,953 ","279,654,716 ","35,793,418,587 ",128.0 
201309,전라북도,전체(시 / 군 / 구),교육용,"1,783 ","25,321,219 ","3,279,257,968 ",129.5 
201309,전라북도,전체(시 / 군 / 구),산업용,"12,993 ","1,051,293,357 ","94,001,957,829 ",89.4 
201309,전라북도,전체(시 / 군 / 구),농사용,"119,751 ","107,430,863 ","4,867,766,167 ",45.3 
201309,전라북도,전체(시 / 군 / 구),가로등,"81,212 ","13,419,581 ","1,455,713,338 ",108.5 
201309,전라북도,전체(시 / 군 / 구),심 야,"70,785 ","20,068,109 ","1,091,195,334 ",54.4 
201310,전라북도,전체(시 / 군 / 구),주택용,"597,715 ","177,398,848 ","19,492,474,910 ",109.9 
201310,전라북도,전체(시 / 군 / 구),일반용,"126,099 ","227,313,811 ","26,595,502,335 ",117.0 
201310,전라북도,전체(시 / 군 / 구),교육용,"1,783 ","20,920,904 ","2,559,177,411 ",122.3 
201310,전라북도,전체(시 / 군 / 구),산업용,"13,009 ","1,160,659,936 ","100,295,097,630 ",86.4 
201310,전라북도,전체(시 / 군 / 구),농사용,"120,136 ","77,830,397 ","3,855,319,496 ",49.5 
201310,전라북도,전체(시 / 군 / 구),가로등,"81,196 ","14,709,589 ","1,490,206,659 ",101.3 
201310,전라북도,전체(시 / 군 / 구),심 야,"70,775 ","33,789,408 ","1,779,249,562 ",52.7 
201311,전라북도,전체(시 / 군 / 구),주택용,"598,830 ","188,754,568 ","21,957,576,122 ",116.3 
201311,전라북도,전체(시 / 군 / 구),일반용,"126,621 ","242,678,222 ","30,825,068,084 ",127.0 
201311,전라북도,전체(시 / 군 / 구),교육용,"1,784 ","26,773,231 ","3,282,895,344 ",122.6 
201311,전라북도,전체(시 / 군 / 구),산업용,"13,070 ","1,160,424,540 ","127,457,706,042 ",109.8 
201311,전라북도,전체(시 / 군 / 구),농사용,"199,038 ","124,029,279 ","5,012,916,346 ",40.4 
201311,전라북도,전체(시 / 군 / 구),가로등,"81,514 ","15,730,825 ","1,553,442,311 ",98.8 
201311,전라북도,전체(시 / 군 / 구),심 야,"70,772 ","79,466,841 ","4,811,237,265 ",60.5 
201312,전라북도,전체(시 / 군 / 구),주택용,"599,483 ","196,452,740 ","24,250,384,026 ",123.4 
201312,전라북도,전체(시 / 군 / 구),일반용,"127,787 ","289,172,250 ","39,371,689,655 ",136.2 
201312,전라북도,전체(시 / 군 / 구),교육용,"1,172 ","37,210,349 ","4,241,413,386 ",114.0 
201312,전라북도,전체(시 / 군 / 구),산업용,"13,104 ","1,186,895,872 ","134,091,367,967 ",113.0 
201312,전라북도,전체(시 / 군 / 구),농사용,"152,709 ","113,116,357 ","5,035,375,819 ",44.5 
201312,전라북도,전체(시 / 군 / 구),가로등,"81,833 ","16,361,932 ","1,615,218,174 ",98.7 
201312,전라북도,전체(시 / 군 / 구),심 야,"70,779 ","139,775,593 ","10,315,311,810 ",73.8 
합계,합계,합계,합계,"6,166,898","10,675,250,072","1,125,261,807,395",105.4
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,전라북도,고창군,가로등,"3,564 ","754,018 ","90,570,675 ",120.1 
201307,전라북도,고창군,교육용,71 ,"560,454 ","80,300,410 ",143.3 
201307,전라북도,고창군,농사용,"11,416 ","13,004,021 ","594,909,458 ",45.7 
201307,전라북도,고창군,산업용,515 ,"5,518,937 ","725,442,180 ",131.4 
201307,전라북도,고창군,심 야,"3,587 ","1,268,407 ","67,813,875 ",53.5 
201307,전라북도,고창군,일반용,"4,186 ","7,189,397 ","914,014,657 ",127.1 
201307,전라북도,고창군,주택용,"27,453 ","5,372,846 ","610,263,679 ",113.6 
201307,전라북도,고창군,합계,"50,792 ","33,668,080 ","3,083,314,934 ",91.6 
201307,전라북도,군산시,가로등,"6,204 ","1,570,730 ","192,133,050 ",122.3 
201307,전라북도,군산시,교육용,220 ,"3,358,962 ","460,427,098 ",137.1 
201307,전라북도,군산시,농사용,"5,017 ","5,303,007 ","207,429,370 ",39.1 
201307,전라북도,군산시,산업용,"1,677 ","556,258,623 ","59,965,110,812 ",107.8 
201307,전라북도,군산시,심 야,"9,089 ","3,000,873 ","160,492,094 ",53.5 
201307,전라북도,군산시,일반용,"18,753 ","46,144,397 ","5,778,330,901 ",125.2 
201307,전라북도,군산시,주택용,"76,834 ","28,827,973 ","3,257,157,622 ",113 
201307,전라북도,군산시,합계,"117,794 ","644,464,565 ","70,021,080,947 ",108.7 
201307,전라북도,김제시,가로등,"4,824 ","513,530 ","62,577,008 ",121.9 
201307,전라북도,김제시,교육용,114 ,"833,858 ","119,139,582 ",142.9 
201307,전라북도,김제시,농사용,"11,819 ","9,643,186 ","456,558,683 ",47.3 
201307,전라북도,김제시,산업용,"1,001 ","29,231,474 ","3,753,940,257 ",128.4 
201307,전라북도,김제시,심 야,"5,443 ","1,904,613 ","98,607,407 ",51.8 
201307,전라북도,김제시,일반용,"5,881 ","11,145,583 ","1,429,612,882 ",128.3 
201307,전라북도,김제시,주택용,"36,801 ","8,346,463 ","1,008,408,533 ",120.8 
201307,전라북도,김제시,합계,"65,883 ","61,618,707 ","6,928,844,352 ",112.4 
201307,전라북도,남원시,가로등,"9,189 ","742,663 ","87,669,829 ",118 
201307,전라북도,남원시,교육용,113 ,"862,821 ","139,485,685 ",161.7 
201307,전라북도,남원시,농사용,"12,126 ","5,750,360 ","286,880,576 ",49.9 
201307,전라북도,남원시,산업용,863 ,"13,093,477 ","1,658,780,113 ",126.7 
201307,전라북도,남원시,심 야,"3,180 ","1,359,403 ","70,830,134 ",52.1 
201307,전라북도,남원시,일반용,"6,738 ","11,564,813 ","1,473,101,153 ",127.4 
201307,전라북도,남원시,주택용,"35,871 ","7,944,302 ","883,314,925 ",111.2 
201307,전라북도,남원시,합계,"68,080 ","41,317,839 ","4,600,062,415 ",111.3 
201307,전라북도,무주군,가로등,"2,239 ","685,038 ","76,965,370 ",112.4 
201307,전라북도,무주군,교육용,32 ,"209,448 ","34,662,202 ",165.5 
201307,전라북도,무주군,농사용,"4,815 ","1,058,220 ","54,832,338 ",51.8 
201307,전라북도,무주군,산업용,351 ,"1,631,628 ","210,116,971 ",128.8 
