계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2013년 07 월 ~ 2013년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201307,제주특별자치도,전체(시 / 군 / 구),주택용,"208,466 ","55,202,481 ","6,956,686,588 ",126.0 
201307,제주특별자치도,전체(시 / 군 / 구),일반용,"45,158 ","130,052,347 ","16,419,889,878 ",126.3 
201307,제주특별자치도,전체(시 / 군 / 구),교육용,648 ,"9,256,377 ","1,183,185,967 ",127.8 
201307,제주특별자치도,전체(시 / 군 / 구),산업용,"2,856 ","40,172,010 ","4,693,121,675 ",116.8 
201307,제주특별자치도,전체(시 / 군 / 구),농사용,"38,161 ","88,441,856 ","3,972,079,138 ",44.9 
201307,제주특별자치도,전체(시 / 군 / 구),가로등,"16,110 ","3,131,272 ","384,961,694 ",122.9 
201307,제주특별자치도,전체(시 / 군 / 구),심 야,"7,841 ","6,649,320 ","374,645,998 ",56.3 
201308,제주특별자치도,전체(시 / 군 / 구),주택용,"208,827 ","72,307,744 ","12,539,259,289 ",173.4 
201308,제주특별자치도,전체(시 / 군 / 구),일반용,"45,384 ","158,004,879 ","21,147,644,044 ",133.8 
201308,제주특별자치도,전체(시 / 군 / 구),교육용,646 ,"11,435,151 ","1,486,159,088 ",130.0 
201308,제주특별자치도,전체(시 / 군 / 구),산업용,"2,851 ","42,992,542 ","5,190,107,428 ",120.7 
201308,제주특별자치도,전체(시 / 군 / 구),농사용,"38,245 ","99,629,162 ","4,411,559,183 ",44.3 
201308,제주특별자치도,전체(시 / 군 / 구),가로등,"16,164 ","3,430,643 ","396,774,669 ",115.7 
201308,제주특별자치도,전체(시 / 군 / 구),심 야,"7,830 ","6,039,330 ","361,449,932 ",59.8 
201309,제주특별자치도,전체(시 / 군 / 구),주택용,"209,614 ","60,421,959 ","8,313,657,729 ",137.6 
201309,제주특별자치도,전체(시 / 군 / 구),일반용,"45,573 ","133,928,157 ","16,197,675,169 ",120.9 
201309,제주특별자치도,전체(시 / 군 / 구),교육용,644 ,"10,186,237 ","1,149,499,222 ",112.8 
201309,제주특별자치도,전체(시 / 군 / 구),산업용,"2,847 ","41,917,241 ","4,428,968,363 ",105.7 
201309,제주특별자치도,전체(시 / 군 / 구),농사용,"38,364 ","96,746,004 ","4,290,308,148 ",44.3 
201309,제주특별자치도,전체(시 / 군 / 구),가로등,"16,223 ","3,680,715 ","405,589,864 ",110.2 
