년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201901-201906,강원도,강릉시,일반용,20078,282415402,28.28
201901-201906,강원도,강릉시,합계,22572,998609223,
201901-201906,강원도,고성군,일반용,4016,67175975,42.26
201901-201906,강원도,고성군,합계,4914,158950958,
201901-201906,강원도,동해시,일반용,7158,107196462,9.61
201901-201906,강원도,동해시,합계,8231,1115680328,
201901-201906,강원도,삼척시,일반용,6594,82641830,10.84
201901-201906,강원도,삼척시,합계,9334,762102839,
201901-201906,강원도,속초시,일반용,8184,133467044,51.88
201901-201906,강원도,속초시,합계,6775,257268039,
201901-201906,강원도,양구군,일반용,2757,47834688,38.91
201901-201906,강원도,양구군,합계,3973,122947924,
201901-201906,강원도,양양군,일반용,4267,64200584,42.47
201901-201906,강원도,양양군,합계,5194,151184341,
201901-201906,강원도,영월군,일반용,4130,43084296,7.9
201901-201906,강원도,영월군,합계,6852,545682694,
201901-201906,강원도,원주시,일반용,25693,404765876,31.94
201901-201906,강원도,원주시,합계,27077,1267321591,
201901-201906,강원도,인제군,일반용,4586,75656547,41.44
201901-201906,강원도,인제군,합계,5919,182550412,
201901-201906,강원도,정선군,일반용,5025,116518201,33.28
201901-201906,강원도,정선군,합계,6623,350107574,
201901-201906,강원도,철원군,일반용,4835,81379289,30.51
201901-201906,강원도,철원군,합계,7291,266747596,
201901-201906,강원도,춘천시,일반용,20922,397572978,43.84
201901-201906,강원도,춘천시,합계,24405,906854208,
201901-201906,강원도,태백시,일반용,4122,48766540,30.02
201901-201906,강원도,태백시,합계,4661,162438084,
201901-201906,강원도,평창군,일반용,6465,122604893,36.62
201901-201906,강원도,평창군,합계,8914,334795719,
201901-201906,강원도,홍천군,일반용,8226,128757265,33.23
201901-201906,강원도,홍천군,합계,12317,387502089,
201901-201906,강원도,화천군,일반용,3347,62782850,45.47
201901-201906,강원도,화천군,합계,4330,138067228,
201901-201906,강원도,횡성군,일반용,5063,61925081,19.31
201901-201906,강원도,횡성군,합계,9334,320673705,
