계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,경상북도,전체(시 / 군 / 구),주택용,"1,155,031 ","327,811,112 ","36,123,381,764 ",110.2 
201901,경상북도,전체(시 / 군 / 구),일반용,"215,589 ","561,589,453 ","74,048,338,655 ",131.9 
201901,경상북도,전체(시 / 군 / 구),교육용,"1,488 ","65,470,091 ","6,537,339,626 ",99.9 
201901,경상북도,전체(시 / 군 / 구),산업용,"32,566 ","2,803,996,356 ","310,894,190,188 ",110.9 
201901,경상북도,전체(시 / 군 / 구),농사용,"342,011 ","194,966,107 ","9,522,543,946 ",48.8 
201901,경상북도,전체(시 / 군 / 구),가로등,"193,292 ","29,523,369 ","3,111,911,213 ",105.4 
201901,경상북도,전체(시 / 군 / 구),심 야,"76,376 ","181,715,682 ","13,601,256,324 ",74.8 
201902,경상북도,전체(시 / 군 / 구),주택용,"1,155,599 ","322,406,794 ","35,189,749,803 ",109.1 
201902,경상북도,전체(시 / 군 / 구),일반용,"215,509 ","528,751,000 ","70,329,068,398 ",133.0 
201902,경상북도,전체(시 / 군 / 구),교육용,"1,493 ","55,352,605 ","5,774,548,565 ",104.3 
201902,경상북도,전체(시 / 군 / 구),산업용,"32,607 ","2,433,882,692 ","271,765,600,839 ",111.7 
201902,경상북도,전체(시 / 군 / 구),농사용,"341,614 ","188,984,146 ","9,269,772,487 ",49.1 
201902,경상북도,전체(시 / 군 / 구),가로등,"193,810 ","27,615,691 ","3,086,829,722 ",111.8 
201902,경상북도,전체(시 / 군 / 구),심 야,"76,149 ","176,479,806 ","13,208,401,530 ",74.8 
201903,경상북도,전체(시 / 군 / 구),주택용,"1,156,401 ","279,451,069 ","27,556,128,758 ",98.6 
201903,경상북도,전체(시 / 군 / 구),일반용,"215,297 ","437,018,075 ","56,007,804,612 ",128.2 
201903,경상북도,전체(시 / 군 / 구),교육용,"1,488 ","57,659,545 ","5,280,507,077 ",91.6 
201903,경상북도,전체(시 / 군 / 구),산업용,"32,597 ","2,781,389,459 ","254,366,054,857 ",91.5 
201903,경상북도,전체(시 / 군 / 구),농사용,"413,969 ","155,222,945 ","7,823,182,906 ",50.4 
201903,경상북도,전체(시 / 군 / 구),가로등,"192,992 ","26,098,580 ","2,938,136,911 ",112.6 
201903,경상북도,전체(시 / 군 / 구),심 야,"76,003 ","132,122,314 ","8,712,186,708 ",65.9 
201904,경상북도,전체(시 / 군 / 구),주택용,"1,156,549 ","292,093,158 ","30,025,515,816 ",102.8 
201904,경상북도,전체(시 / 군 / 구),일반용,"215,450 ","433,826,680 ","50,478,021,196 ",116.4 
201904,경상북도,전체(시 / 군 / 구),교육용,"1,481 ","56,496,884 ","4,844,434,827 ",85.7 
201904,경상북도,전체(시 / 군 / 구),산업용,"32,622 ","2,690,451,233 ","245,463,980,977 ",91.2 
201904,경상북도,전체(시 / 군 / 구),농사용,"346,503 ","151,769,683 ","7,696,676,544 ",50.7 
201904,경상북도,전체(시 / 군 / 구),가로등,"193,380 ","25,904,497 ","3,030,263,975 ",117.0 
201904,경상북도,전체(시 / 군 / 구),심 야,"75,796 ","112,892,661 ","6,085,798,927 ",53.9 
201905,경상북도,전체(시 / 군 / 구),주택용,"1,156,578 ","272,846,537 ","26,712,385,897 ",97.9 
201905,경상북도,전체(시 / 군 / 구),일반용,"215,498 ","394,792,896 ","47,759,417,222 ",121.0 
