拌距辆喊 傈仿荤侩樊 岿喊( 20220804 泅犁 ),,,,,,,
"矫档 : 堡林堡开矫, 矫焙备 : 傈眉(矫 / 焙 / 备)",,,,,,,
扁埃 : 2019斥 01 岿 ~ 2019斥 06岿,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,677 ","182,513,948 ","19,786,022,160 ",108.4 
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"90,972 ","277,591,421 ","36,753,325,327 ",132.4 
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,646 ,"35,873,610 ","3,606,745,609 ",100.5 
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,299 ","271,217,394 ","33,998,304,498 ",125.4 
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,285 ","10,632,852 ","502,290,648 ",47.2 
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,830 ","7,991,714 ","856,388,133 ",107.2 
201901,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,494 ","15,652,355 ","1,164,950,413 ",74.4 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"384,993 ","181,421,875 ","19,667,858,640 ",108.4 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"91,106 ","265,942,866 ","35,298,118,943 ",132.7 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,647 ,"24,306,352 ","2,573,009,164 ",105.9 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,305 ","236,874,435 ","30,000,945,709 ",126.7 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,283 ","10,288,703 ","486,419,773 ",47.3 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"45,956 ","7,714,835 ","851,605,667 ",110.4 
201902,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,431 ","15,249,473 ","1,130,970,947 ",74.2 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"385,532 ","159,136,416 ","15,727,040,320 ",98.8 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"91,243 ","226,581,832 ","28,506,955,629 ",125.8 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,642 ,"24,299,815 ","2,378,120,616 ",97.9 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,311 ","245,845,446 ","26,342,396,076 ",107.2 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"15,641 ","7,853,805 ","389,074,691 ",49.5 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"46,144 ","6,928,204 ","777,112,773 ",112.2 
201903,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"6,409 ","11,962,952 ","783,392,815 ",65.5 
