년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201901-201906,서울특별시,강남구,일반용,50095,1613336361,72.92
201901-201906,서울특별시,강남구,합계,32254,2212353311,
201901-201906,서울특별시,강동구,일반용,19737,363173073,49.5
201901-201906,서울특별시,강동구,합계,22197,733658697,
201901-201906,서울특별시,강북구,일반용,16184,204122532,45.54
201901-201906,서울특별시,강북구,합계,24694,448257826,
201901-201906,서울특별시,강서구,일반용,23764,664354866,53.79
201901-201906,서울특별시,강서구,합계,34332,1235147666,
201901-201906,서울특별시,관악구,일반용,24766,378462322,45.55
201901-201906,서울특별시,관악구,합계,44747,830896630,
201901-201906,서울특별시,광진구,일반용,20889,309260035,39.47
201901-201906,서울특별시,광진구,합계,28157,783468569,
201901-201906,서울특별시,구로구,일반용,18140,429075174,46.27
201901-201906,서울특별시,구로구,합계,22494,927409504,
201901-201906,서울특별시,금천구,일반용,13253,481839630,61.62
201901-201906,서울특별시,금천구,합계,17202,782000348,
201901-201906,서울특별시,노원구,일반용,14826,302453957,41.08
201901-201906,서울특별시,노원구,합계,18294,736218950,
201901-201906,서울특별시,도봉구,일반용,12270,169698382,39.31
201901-201906,서울특별시,도봉구,합계,16909,431700282,
201901-201906,서울특별시,동대문구,일반용,23691,312213754,44.91
201901-201906,서울특별시,동대문구,합계,25133,695231617,
201901-201906,서울특별시,동작구,일반용,16758,292454706,47.19
201901-201906,서울특별시,동작구,합계,27018,619692830,
201901-201906,서울특별시,마포구,일반용,29913,631195821,60.39
201901-201906,서울특별시,마포구,합계,25058,1045260838,
201901-201906,서울특별시,서대문구,일반용,16130,280881872,46.5
201901-201906,서울특별시,서대문구,합계,19859,604055498,
201901-201906,서울특별시,서초구,일반용,30402,992513505,62.74
201901-201906,서울특별시,서초구,합계,21473,1581998724,
201901-201906,서울특별시,성동구,일반용,16069,349457502,32.93
201901-201906,서울특별시,성동구,합계,16416,1061234322,
201901-201906,서울특별시,성북구,일반용,21077,263806505,37.4
201901-201906,서울특별시,성북구,합계,25600,705295340,
201901-201906,서울특별시,송파구,일반용,28531,773141031,56.34
201901-201906,서울특별시,송파구,합계,29742,1372201178,
201901-201906,서울특별시,양천구,일반용,16575,454842244,56.41
201901-201906,서울특별시,양천구,합계,20839,806319605,
201901-201906,서울특별시,영등포구,일반용,23719,837850794,65.68
201901-201906,서울특별시,영등포구,합계,23462,1275696793,
201901-201906,서울특별시,용산구,일반용,17191,385374275,57.4
201901-201906,서울특별시,용산구,합계,17807,671416919,
201901-201906,서울특별시,은평구,일반용,20492,266569362,38.52
201901-201906,서울특별시,은평구,합계,32138,692107843,
201901-201906,서울특별시,종로구,일반용,25453,605741915,71.47
201901-201906,서울특별시,종로구,합계,15797,847505648,
201901-201906,서울특별시,중구,일반용,24030,912856437,77.49
201901-201906,서울특별시,중구,합계,12987,1178060082,
201901-201906,서울특별시,중랑구,일반용,19882,228990759,42.59
201901-201906,서울특별시,중랑구,합계,28543,537630170,
