계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 세종특별자치시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,세종특별자치시,전체(시 / 군 / 구),주택용,"52,295 ","43,763,949 ","4,875,548,141 ",111.4 
201901,세종특별자치시,전체(시 / 군 / 구),일반용,"12,914 ","63,489,821 ","8,636,406,473 ",136.0 
201901,세종특별자치시,전체(시 / 군 / 구),교육용,135 ,"9,415,211 ","847,823,684 ",90.0 
201901,세종특별자치시,전체(시 / 군 / 구),산업용,"1,627 ","150,415,525 ","17,310,659,807 ",115.1 
201901,세종특별자치시,전체(시 / 군 / 구),농사용,"9,218 ","7,654,945 ","370,707,266 ",48.4 
201901,세종특별자치시,전체(시 / 군 / 구),가로등,"8,946 ","3,076,587 ","332,202,917 ",108.0 
201901,세종특별자치시,전체(시 / 군 / 구),심 야,"7,545 ","14,208,514 ","1,065,803,111 ",75.0 
201902,세종특별자치시,전체(시 / 군 / 구),주택용,"52,374 ","44,072,904 ","4,946,521,245 ",112.2 
201902,세종특별자치시,전체(시 / 군 / 구),일반용,"12,950 ","58,228,441 ","8,039,838,537 ",138.1 
201902,세종특별자치시,전체(시 / 군 / 구),교육용,138 ,"7,375,878 ","729,879,695 ",99.0 
201902,세종특별자치시,전체(시 / 군 / 구),산업용,"1,633 ","132,855,860 ","15,273,522,304 ",115.0 
201902,세종특별자치시,전체(시 / 군 / 구),농사용,"9,186 ","7,532,213 ","364,882,861 ",48.4 
201902,세종특별자치시,전체(시 / 군 / 구),가로등,"8,982 ","2,874,552 ","324,966,974 ",113.0 
201902,세종특별자치시,전체(시 / 군 / 구),심 야,"7,513 ","13,727,763 ","1,031,764,776 ",75.2 
201903,세종특별자치시,전체(시 / 군 / 구),주택용,"52,412 ","38,412,612 ","3,846,668,923 ",100.1 
201903,세종특별자치시,전체(시 / 군 / 구),일반용,"12,946 ","51,412,026 ","6,574,693,192 ",127.9 
201903,세종특별자치시,전체(시 / 군 / 구),교육용,139 ,"6,645,517 ","674,071,889 ",101.4 
201903,세종특별자치시,전체(시 / 군 / 구),산업용,"1,638 ","143,448,844 ","13,367,393,652 ",93.2 
201903,세종특별자치시,전체(시 / 군 / 구),농사용,"14,049 ","6,514,799 ","319,391,352 ",49.0 
201903,세종특별자치시,전체(시 / 군 / 구),가로등,"8,991 ","2,597,948 ","296,929,585 ",114.3 
201903,세종특별자치시,전체(시 / 군 / 구),심 야,"7,471 ","10,603,867 ","699,711,066 ",66.0 
201904,세종특별자치시,전체(시 / 군 / 구),주택용,"52,551 ","40,655,347 ","4,180,565,484 ",102.8 
201904,세종특별자치시,전체(시 / 군 / 구),일반용,"12,922 ","49,399,620 ","5,930,835,681 ",120.1 
201904,세종특별자치시,전체(시 / 군 / 구),교육용,139 ,"7,339,708 ","633,122,807 ",86.3 
201904,세종특별자치시,전체(시 / 군 / 구),산업용,"1,636 ","144,497,304 ","13,239,016,329 ",91.6 
201904,세종특별자치시,전체(시 / 군 / 구),농사용,"9,292 ","6,060,513 ","300,870,957 ",49.6 
201904,세종특별자치시,전체(시 / 군 / 구),가로등,"14,999 ","2,637,788 ","307,423,566 ",116.5 
201904,세종특별자치시,전체(시 / 군 / 구),심 야,"7,462 ","8,992,078 ","487,775,981 ",54.2 
201905,세종특별자치시,전체(시 / 군 / 구),주택용,"52,610 ","38,319,665 ","3,784,967,590 ",98.8 
201905,세종특별자치시,전체(시 / 군 / 구),일반용,"12,906 ","47,351,921 ","5,827,846,096 ",123.1 
201905,세종특별자치시,전체(시 / 군 / 구),교육용,138 ,"5,361,653 ","484,724,350 ",90.4 
201905,세종특별자치시,전체(시 / 군 / 구),산업용,"1,627 ","146,036,281 ","13,345,986,240 ",91.4 
201905,세종특별자치시,전체(시 / 군 / 구),농사용,"9,330 ","5,584,581 ","278,419,575 ",49.9 
201905,세종특별자치시,전체(시 / 군 / 구),가로등,"13,094 ","2,446,361 ","293,009,956 ",119.8 
201905,세종특별자치시,전체(시 / 군 / 구),심 야,"7,449 ","4,907,387 ","270,591,872 ",55.1 
201906,세종특별자치시,전체(시 / 군 / 구),주택용,"52,702 ","38,879,695 ","3,871,322,717 ",99.6 
201906,세종특별자치시,전체(시 / 군 / 구),일반용,"13,005 ","51,270,095 ","7,149,770,325 ",139.5 
201906,세종특별자치시,전체(시 / 군 / 구),교육용,138 ,"5,575,100 ","568,720,904 ",102.0 
201906,세종특별자치시,전체(시 / 군 / 구),산업용,"1,632 ","148,363,994 ","16,784,835,986 ",113.1 
