계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,전라남도,전체(시 / 군 / 구),주택용,"744,292 ","220,477,265 ","24,921,220,520 ",113.0 
201901,전라남도,전체(시 / 군 / 구),일반용,"148,803 ","374,340,787 ","49,155,842,866 ",131.3 
201901,전라남도,전체(시 / 군 / 구),교육용,"1,329 ","32,827,039 ","3,482,834,969 ",106.1 
201901,전라남도,전체(시 / 군 / 구),산업용,"20,651 ","1,869,638,091 ","202,175,035,295 ",108.1 
201901,전라남도,전체(시 / 군 / 구),농사용,"281,320 ","353,140,590 ","16,724,744,500 ",47.4 
201901,전라남도,전체(시 / 군 / 구),가로등,"162,480 ","21,744,795 ","2,301,767,778 ",105.9 
201901,전라남도,전체(시 / 군 / 구),심 야,"44,849 ","88,572,195 ","6,633,535,671 ",74.9 
201902,전라남도,전체(시 / 군 / 구),주택용,"744,915 ","219,990,991 ","24,972,615,912 ",113.5 
201902,전라남도,전체(시 / 군 / 구),일반용,"148,977 ","363,410,595 ","48,303,717,712 ",132.9 
201902,전라남도,전체(시 / 군 / 구),교육용,"1,326 ","25,978,249 ","3,002,074,293 ",115.6 
201902,전라남도,전체(시 / 군 / 구),산업용,"20,638 ","1,658,260,415 ","177,723,803,662 ",107.2 
201902,전라남도,전체(시 / 군 / 구),농사용,"281,448 ","353,040,449 ","16,731,947,434 ",47.4 
201902,전라남도,전체(시 / 군 / 구),가로등,"159,932 ","20,339,369 ","2,283,935,339 ",112.3 
201902,전라남도,전체(시 / 군 / 구),심 야,"44,727 ","90,042,604 ","6,744,108,811 ",74.9 
201903,전라남도,전체(시 / 군 / 구),주택용,"745,729 ","190,172,587 ","19,533,887,514 ",102.7 
201903,전라남도,전체(시 / 군 / 구),일반용,"149,142 ","307,127,171 ","39,328,139,141 ",128.1 
201903,전라남도,전체(시 / 군 / 구),교육용,"1,326 ","26,314,934 ","2,816,888,792 ",107.0 
201903,전라남도,전체(시 / 군 / 구),산업용,"20,646 ","1,888,253,993 ","164,539,739,936 ",87.1 
201903,전라남도,전체(시 / 군 / 구),농사용,"402,231 ","330,774,922 ","15,641,523,897 ",47.3 
201903,전라남도,전체(시 / 군 / 구),가로등,"160,276 ","19,390,179 ","2,188,386,596 ",112.9 
201903,전라남도,전체(시 / 군 / 구),심 야,"44,596 ","69,487,050 ","4,617,414,875 ",66.5 
201904,전라남도,전체(시 / 군 / 구),주택용,"746,686 ","199,132,832 ","21,562,111,947 ",108.3 
201904,전라남도,전체(시 / 군 / 구),일반용,"149,337 ","305,361,831 ","35,060,918,571 ",114.8 
201904,전라남도,전체(시 / 군 / 구),교육용,"1,321 ","29,162,761 ","2,655,144,293 ",91.0 
201904,전라남도,전체(시 / 군 / 구),산업용,"20,700 ","1,846,270,555 ","162,593,934,425 ",88.1 
201904,전라남도,전체(시 / 군 / 구),농사용,"307,895 ","332,135,721 ","15,448,553,566 ",46.5 
