년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201901-201906,전라남도,강진군,일반용,3119,34612096,19.24
201901-201906,전라남도,강진군,합계,6848,179906920,
201901-201906,전라남도,고흥군,일반용,5607,52360480,17.94
201901-201906,전라남도,고흥군,합계,13917,291841394,
201901-201906,전라남도,곡성군,일반용,2240,26689572,13.24
201901-201906,전라남도,곡성군,합계,5982,201658380,
201901-201906,전라남도,광양시,일반용,11033,129638420,5.29
201901-201906,전라남도,광양시,합계,13269,2452581361,
201901-201906,전라남도,구례군,일반용,2633,32379153,35.81
201901-201906,전라남도,구례군,합계,5258,90422967,
201901-201906,전라남도,나주시,일반용,7481,139256359,22.1
201901-201906,전라남도,나주시,합계,13449,630230502,
201901-201906,전라남도,담양군,일반용,3857,58417822,22.06
201901-201906,전라남도,담양군,합계,8160,264852579,
201901-201906,전라남도,목포시,일반용,19008,248539276,48.95
201901-201906,전라남도,목포시,합계,16319,507729926,
201901-201906,전라남도,무안군,일반용,5852,89013980,28.1
201901-201906,전라남도,무안군,합계,11294,316730026,
201901-201906,전라남도,보성군,일반용,3682,40330744,27.06
201901-201906,전라남도,보성군,합계,8823,149058208,
201901-201906,전라남도,순천시,일반용,20463,263930204,25.6
201901-201906,전라남도,순천시,합계,24349,1030981177,
201901-201906,전라남도,신안군,일반용,3622,34354874,23.63
201901-201906,전라남도,신안군,합계,8643,145376575,
201901-201906,전라남도,여수시,일반용,22956,301353237,4.32
201901-201906,전라남도,여수시,합계,26356,6979156969,
201901-201906,전라남도,영광군,일반용,4882,54981993,11.42
201901-201906,전라남도,영광군,합계,8413,481407819,
201901-201906,전라남도,영암군,일반용,4321,60025536,10.64
201901-201906,전라남도,영암군,합계,9601,564216297,
201901-201906,전라남도,완도군,일반용,5529,51787445,9.74
201901-201906,전라남도,완도군,합계,8287,531868185,
201901-201906,전라남도,장성군,일반용,3540,52821190,15.94
201901-201906,전라남도,장성군,합계,6774,331356556,
201901-201906,전라남도,장흥군,일반용,3424,37689063,20.02
201901-201906,전라남도,장흥군,합계,6838,188293329,
201901-201906,전라남도,진도군,일반용,2915,28851014,16.46
201901-201906,전라남도,진도군,합계,6583,175303902,
201901-201906,전라남도,함평군,일반용,2359,27041386,14.56
201901-201906,전라남도,함평군,합계,6755,185771785,
201901-201906,전라남도,해남군,일반용,6193,72980791,18.04
201901-201906,전라남도,해남군,합계,13904,404606266,
201901-201906,전라남도,화순군,일반용,4526,74944045,28.46
201901-201906,전라남도,화순군,합계,8580,263338455,
