계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 제주특별자치도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,제주특별자치도,전체(시 / 군 / 구),주택용,"287,070 ","79,696,972 ","9,546,011,122 ",119.8 
201901,제주특별자치도,전체(시 / 군 / 구),일반용,"73,020 ","187,005,159 ","25,127,626,235 ",134.4 
201901,제주특별자치도,전체(시 / 군 / 구),교육용,346 ,"13,313,611 ","1,406,538,903 ",105.6 
201901,제주특별자치도,전체(시 / 군 / 구),산업용,"3,615 ","54,494,235 ","6,902,838,998 ",126.7 
201901,제주특별자치도,전체(시 / 군 / 구),농사용,"46,262 ","149,502,764 ","6,937,876,017 ",46.4 
201901,제주특별자치도,전체(시 / 군 / 구),가로등,"27,124 ","5,360,155 ","545,570,331 ",101.8 
201901,제주특별자치도,전체(시 / 군 / 구),심 야,"6,896 ","15,622,021 ","1,171,950,702 ",75.0 
201902,제주특별자치도,전체(시 / 군 / 구),주택용,"288,359 ","78,587,382 ","9,333,833,949 ",118.8 
201902,제주특별자치도,전체(시 / 군 / 구),일반용,"73,593 ","181,030,917 ","24,318,934,824 ",134.3 
201902,제주특별자치도,전체(시 / 군 / 구),교육용,346 ,"11,112,154 ","1,217,276,833 ",109.5 
201902,제주특별자치도,전체(시 / 군 / 구),산업용,"3,622 ","49,766,263 ","6,368,302,268 ",128.0 
201902,제주특별자치도,전체(시 / 군 / 구),농사용,"46,347 ","163,930,237 ","7,525,490,727 ",45.9 
201902,제주특별자치도,전체(시 / 군 / 구),가로등,"27,612 ","4,877,974 ","544,277,098 ",111.6 
201902,제주특별자치도,전체(시 / 군 / 구),심 야,"6,884 ","15,762,493 ","1,181,035,641 ",74.9 
201903,제주특별자치도,전체(시 / 군 / 구),주택용,"289,432 ","68,930,421 ","7,423,190,865 ",107.7 
201903,제주특별자치도,전체(시 / 군 / 구),일반용,"74,000 ","160,179,002 ","20,053,583,809 ",125.2 
201903,제주특별자치도,전체(시 / 군 / 구),교육용,346 ,"11,237,852 ","1,070,019,389 ",95.2 
201903,제주특별자치도,전체(시 / 군 / 구),산업용,"3,607 ","49,393,247 ","5,636,753,261 ",114.1 
201903,제주특별자치도,전체(시 / 군 / 구),농사용,"46,433 ","144,815,887 ","6,644,714,754 ",45.9 
201903,제주특별자치도,전체(시 / 군 / 구),가로등,"27,704 ","4,595,706 ","511,283,558 ",111.3 
201903,제주특별자치도,전체(시 / 군 / 구),심 야,"6,871 ","12,579,235 ","821,043,268 ",65.3 
201904,제주특별자치도,전체(시 / 군 / 구),주택용,"290,286 ","69,620,894 ","7,723,262,004 ",110.9 
201904,제주특별자치도,전체(시 / 군 / 구),일반용,"74,396 ","159,687,966 ","18,407,879,002 ",115.3 
201904,제주특별자치도,전체(시 / 군 / 구),교육용,346 ,"10,700,405 ","967,397,330 ",90.4 
201904,제주특별자치도,전체(시 / 군 / 구),산업용,"3,594 ","50,373,815 ","5,413,435,912 ",107.5 
201904,제주특별자치도,전체(시 / 군 / 구),농사용,"46,581 ","154,543,224 ","6,950,937,872 ",45.0 
201904,제주특별자치도,전체(시 / 군 / 구),가로등,"27,780 ","4,276,839 ","514,966,442 ",120.4 
201904,제주특별자치도,전체(시 / 군 / 구),심 야,"6,861 ","10,813,540 ","607,812,295 ",56.2 
201905,제주특별자치도,전체(시 / 군 / 구),주택용,"290,913 ","63,425,230 ","6,566,280,950 ",103.5 
201905,제주특별자치도,전체(시 / 군 / 구),일반용,"74,658 ","151,728,261 ","17,927,117,696 ",118.2 
201905,제주특별자치도,전체(시 / 군 / 구),교육용,346 ,"9,233,626 ","852,804,174 ",92.4 
201905,제주특별자치도,전체(시 / 군 / 구),산업용,"3,527 ","49,635,517 ","5,385,413,975 ",108.5 
201905,제주특별자치도,전체(시 / 군 / 구),농사용,"46,694 ","127,583,456 ","5,868,393,372 ",46.0 
201905,제주특별자치도,전체(시 / 군 / 구),가로등,"28,140 ","3,940,766 ","497,660,984 ",126.3 
201905,제주특별자치도,전체(시 / 군 / 구),심 야,"6,845 ","7,599,748 ","437,555,553 ",57.6 
201906,제주특별자치도,전체(시 / 군 / 구),주택용,"291,717 ","63,507,258 ","6,576,613,082 ",103.6 
201906,제주특별자치도,전체(시 / 군 / 구),일반용,"75,105 ","158,707,655 ","21,419,224,805 ",135.0 
201906,제주특별자치도,전체(시 / 군 / 구),교육용,350 ,"9,667,496 ","1,122,590,928 ",116.1 
201906,제주특별자치도,전체(시 / 군 / 구),산업용,"3,504 ","49,308,837 ","6,085,719,819 ",123.4 
201906,제주특별자치도,전체(시 / 군 / 구),농사용,"46,653 ","113,309,071 ","5,310,121,836 ",46.9 
201906,제주특별자치도,전체(시 / 군 / 구),가로등,"28,588 ","3,691,472 ","493,695,043 ",133.7 
201906,제주특별자치도,전체(시 / 군 / 구),심 야,"6,835 ","5,893,071 ","353,282,401 ",59.9 
합계,합계,합계,합계,"2,693,208","2,739,041,834","263,770,318,027",96.3
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,제주특별자치도,서귀포시,가로등,"10,842 ","2,093,105 ","214,438,032 ",102.4 
201901,제주특별자치도,서귀포시,교육용,136 ,"4,862,404 ","493,400,654 ",101.5 
201901,제주특별자치도,서귀포시,농사용,"28,563 ","105,702,983 ","4,906,346,252 ",46.4 
201901,제주특별자치도,서귀포시,산업용,"1,130 ","14,783,633 ","1,949,309,256 ",131.9 
201901,제주특별자치도,서귀포시,심 야,"2,260 ","4,371,084 ","335,560,675 ",76.8 
201901,제주특별자치도,서귀포시,일반용,"21,801 ","62,338,288 ","8,398,674,854 ",134.7 
201901,제주특별자치도,서귀포시,주택용,"81,991 ","21,159,996 ","2,506,491,715 ",118.5 
201901,제주특별자치도,서귀포시,합계,"146,723 ","215,311,493 ","18,804,221,438 ",87.3 
201901,제주특별자치도,제주시,가로등,"16,282 ","3,267,050 ","331,132,299 ",101.4 
201901,제주특별자치도,제주시,교육용,210 ,"8,451,207 ","913,138,249 ",108 
201901,제주특별자치도,제주시,농사용,"17,699 ","43,799,781 ","2,031,529,765 ",46.4 
201901,제주특별자치도,제주시,산업용,"2,485 ","39,710,602 ","4,953,529,742 ",124.7 
201901,제주특별자치도,제주시,심 야,"4,636 ","11,250,937 ","836,390,027 ",74.3 
201901,제주특별자치도,제주시,일반용,"51,219 ","124,666,871 ","16,728,951,381 ",134.2 
201901,제주특별자치도,제주시,주택용,"205,079 ","58,536,976 ","7,039,519,407 ",120.3 
201901,제주특별자치도,제주시,합계,"297,610 ","289,683,424 ","32,834,190,870 ",113.3 
201902,제주특별자치도,서귀포시,가로등,"11,103 ","1,902,717 ","213,544,676 ",112.2 
201902,제주특별자치도,서귀포시,교육용,136 ,"4,185,108 ","440,984,316 ",105.4 
201902,제주특별자치도,서귀포시,농사용,"28,591 ","119,635,842 ","5,476,758,896 ",45.8 
201902,제주특별자치도,서귀포시,산업용,"1,138 ","13,626,952 ","1,818,919,676 ",133.5 
201902,제주특별자치도,서귀포시,심 야,"2,256 ","4,346,936 ","332,573,542 ",76.5 
201902,제주특별자치도,서귀포시,일반용,"21,933 ","59,825,207 ","8,046,470,885 ",134.5 
201902,제주특별자치도,서귀포시,주택용,"82,321 ","21,078,407 ","2,499,101,285 ",118.6 
201902,제주특별자치도,서귀포시,합계,"147,478 ","224,601,169 ","18,828,353,276 ",83.8 
201902,제주특별자치도,제주시,가로등,"16,509 ","2,975,257 ","330,732,422 ",111.2 
201902,제주특별자치도,제주시,교육용,210 ,"6,927,046 ","776,292,517 ",112.1 
201902,제주특별자치도,제주시,농사용,"17,756 ","44,294,395 ","2,048,731,831 ",46.3 
201902,제주특별자치도,제주시,산업용,"2,484 ","36,139,311 ","4,549,382,592 ",125.9 
201902,제주특별자치도,제주시,심 야,"4,628 ","11,415,557 ","848,462,099 ",74.3 
201902,제주특별자치도,제주시,일반용,"51,660 ","121,205,710 ","16,272,463,939 ",134.3 
201902,제주특별자치도,제주시,주택용,"206,038 ","57,508,975 ","6,834,732,664 ",118.8 
201902,제주특별자치도,제주시,합계,"299,285 ","280,466,251 ","31,660,798,064 ",112.9 
201903,제주특별자치도,서귀포시,가로등,"11,175 ","1,782,497 ","200,886,470 ",112.7 
201903,제주특별자치도,서귀포시,교육용,136 ,"4,238,673 ","381,098,972 ",89.9 
201903,제주특별자치도,서귀포시,농사용,"28,624 ","104,571,708 ","4,789,018,321 ",45.8 
