계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 01 월 ~ 2019년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,충청북도,전체(시 / 군 / 구),주택용,"608,502 ","203,643,059 ","22,986,529,004 ",112.9 
201901,충청북도,전체(시 / 군 / 구),일반용,"120,679 ","358,194,399 ","47,250,292,130 ",131.9 
201901,충청북도,전체(시 / 군 / 구),교육용,786 ,"40,115,530 ","3,818,782,419 ",95.2 
201901,충청북도,전체(시 / 군 / 구),산업용,"16,924 ","1,558,739,318 ","181,959,120,021 ",116.7 
201901,충청북도,전체(시 / 군 / 구),농사용,"131,565 ","84,031,658 ","4,124,414,200 ",49.1 
201901,충청북도,전체(시 / 군 / 구),가로등,"99,900 ","17,278,771 ","1,808,366,724 ",104.7 
201901,충청북도,전체(시 / 군 / 구),심 야,"88,742 ","202,533,139 ","15,037,344,651 ",74.2 
201902,충청북도,전체(시 / 군 / 구),주택용,"608,985 ","201,174,902 ","22,638,435,124 ",112.5 
201902,충청북도,전체(시 / 군 / 구),일반용,"120,963 ","338,851,164 ","45,037,046,524 ",132.9 
201902,충청북도,전체(시 / 군 / 구),교육용,793 ,"31,921,703 ","3,219,303,291 ",100.8 
201902,충청북도,전체(시 / 군 / 구),산업용,"16,945 ","1,378,307,759 ","160,623,765,095 ",116.5 
201902,충청북도,전체(시 / 군 / 구),농사용,"131,456 ","80,649,968 ","3,978,379,444 ",49.3 
201902,충청북도,전체(시 / 군 / 구),가로등,"99,991 ","16,401,593 ","1,814,099,522 ",110.6 
201902,충청북도,전체(시 / 군 / 구),심 야,"88,636 ","191,383,542 ","14,191,179,264 ",74.2 
201903,충청북도,전체(시 / 군 / 구),주택용,"609,725 ","172,605,868 ","17,460,401,725 ",101.2 
201903,충청북도,전체(시 / 군 / 구),일반용,"121,074 ","282,870,209 ","36,248,034,258 ",128.1 
201903,충청북도,전체(시 / 군 / 구),교육용,793 ,"29,652,368 ","3,010,994,170 ",101.5 
201903,충청북도,전체(시 / 군 / 구),산업용,"16,964 ","1,533,077,106 ","144,241,674,451 ",94.1 
201903,충청북도,전체(시 / 군 / 구),농사용,"166,335 ","67,305,785 ","3,409,611,003 ",50.7 
201903,충청북도,전체(시 / 군 / 구),가로등,"100,001 ","15,526,668 ","1,729,210,217 ",111.4 
201903,충청북도,전체(시 / 군 / 구),심 야,"88,508 ","145,354,553 ","9,496,325,058 ",65.3 
201904,충청북도,전체(시 / 군 / 구),주택용,"610,524 ","182,371,141 ","19,284,163,916 ",105.7 
201904,충청북도,전체(시 / 군 / 구),일반용,"121,298 ","275,695,860 ","32,110,862,673 ",116.5 
201904,충청북도,전체(시 / 군 / 구),교육용,787 ,"28,310,027 ","2,571,763,730 ",90.8 
201904,충청북도,전체(시 / 군 / 구),산업용,"17,008 ","1,535,332,251 ","142,681,224,017 ",92.9 
201904,충청북도,전체(시 / 군 / 구),농사용,"132,620 ","63,128,707 ","3,243,240,260 ",51.4 
201904,충청북도,전체(시 / 군 / 구),가로등,"101,334 ","15,337,243 ","1,771,716,387 ",115.5 
201904,충청북도,전체(시 / 군 / 구),심 야,"88,376 ","124,698,566 ","6,701,066,720 ",53.7 
201905,충청북도,전체(시 / 군 / 구),주택용,"611,329 ","166,920,991 ","16,817,398,594 ",100.8 
201905,충청북도,전체(시 / 군 / 구),일반용,"121,456 ","247,101,233 ","30,183,015,451 ",122.1 
201905,충청북도,전체(시 / 군 / 구),교육용,787 ,"21,129,133 ","2,032,359,599 ",96.2 
201905,충청북도,전체(시 / 군 / 구),산업용,"17,039 ","1,550,431,825 ","143,798,241,899 ",92.7 
201905,충청북도,전체(시 / 군 / 구),농사용,"133,358 ","58,547,273 ","3,032,947,413 ",51.8 
201905,충청북도,전체(시 / 군 / 구),가로등,"101,693 ","14,704,878 ","1,755,163,505 ",119.4 
201905,충청북도,전체(시 / 군 / 구),심 야,"88,195 ","66,845,048 ","3,612,549,232 ",54.0 
201906,충청북도,전체(시 / 군 / 구),주택용,"612,189 ","168,614,784 ","17,286,646,916 ",102.5 
201906,충청북도,전체(시 / 군 / 구),일반용,"121,780 ","260,862,218 ","35,485,116,353 ",136.0 
201906,충청북도,전체(시 / 군 / 구),교육용,790 ,"20,167,454 ","2,273,371,829 ",112.7 
201906,충청북도,전체(시 / 군 / 구),산업용,"17,087 ","1,531,593,623 ","174,676,503,284 ",114.0 
201906,충청북도,전체(시 / 군 / 구),농사용,"134,317 ","66,363,494 ","3,289,025,472 ",49.6 
201906,충청북도,전체(시 / 군 / 구),가로등,"102,143 ","14,365,121 ","1,743,001,046 ",121.3 
201906,충청북도,전체(시 / 군 / 구),심 야,"88,030 ","35,166,175 ","1,947,948,856 ",55.4 
합계,합계,합계,합계,"6,460,407","13,397,306,107","1,390,380,635,447",103.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201901,충청북도,괴산군,가로등,"3,616 ","1,313,114 ","136,412,886 ",103.9 
201901,충청북도,괴산군,교육용,29 ,"2,693,766 ","244,405,459 ",90.7 
201901,충청북도,괴산군,농사용,"12,864 ","6,802,393 ","340,376,157 ",50 
201901,충청북도,괴산군,산업용,811 ,"18,452,019 ","2,412,907,745 ",130.8 
201901,충청북도,괴산군,심 야,"3,565 ","11,131,200 ","811,762,857 ",72.9 
201901,충청북도,괴산군,일반용,"3,483 ","11,543,345 ","1,499,009,849 ",129.9 
201901,충청북도,괴산군,주택용,"21,742 ","4,539,807 ","566,600,105 ",124.8 
201901,충청북도,괴산군,합계,"46,110 ","56,475,644 ","6,011,475,058 ",106.4 
201901,충청북도,단양군,가로등,"5,347 ","850,704 ","92,541,441 ",108.8 
