년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201901-201906,충청북도,괴산군,일반용,3510,53597860,19.38
201901-201906,충청북도,괴산군,합계,7782,276562159,
201901-201906,충청북도,단양군,일반용,3493,40223632,4.32
201901-201906,충청북도,단양군,합계,5713,931409676,
201901-201906,충청북도,보은군,일반용,3028,38680027,20.07
201901-201906,충청북도,보은군,합계,7027,192746846,
201901-201906,충청북도,영동군,일반용,4003,43515279,19.3
201901-201906,충청북도,영동군,합계,9894,225417292,
201901-201906,충청북도,옥천군,일반용,4136,50769530,15.53
201901-201906,충청북도,옥천군,합계,8713,326901819,
201901-201906,충청북도,음성군,일반용,9365,135141361,8.89
201901-201906,충청북도,음성군,합계,13885,1519730890,
201901-201906,충청북도,제천시,일반용,12263,138302478,17.5
201901-201906,충청북도,제천시,합계,15950,790124099,
201901-201906,충청북도,증평군,일반용,3057,38310203,14.37
201901-201906,충청북도,증평군,합계,4132,266646381,
201901-201906,충청북도,진천군,일반용,6935,113996297,8.44
201901-201906,충청북도,진천군,합계,9881,1350094865,
201901-201906,충청북도,청주시,일반용,54172,861841306,13.75
201901-201906,충청북도,청주시,합계,70087,6266522886,
201901-201906,충청북도,충주시,일반용,17242,249197110,19.92
201901-201906,충청북도,충주시,합계,26386,1251149194,
