년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201907-201912,대전광역시,대덕구,일반용,12075,183288731,13.31
201907-201912,대전광역시,대덕구,합계,13906,1377192141,
201907-201912,대전광역시,동구,일반용,14452,198610054,43.96
201907-201912,대전광역시,동구,합계,20302,451816827,
201907-201912,대전광역시,서구,일반용,21385,526756342,55.45
201907-201912,대전광역시,서구,합계,28309,950005569,
201907-201912,대전광역시,유성구,일반용,16668,624207231,41.66
201907-201912,대전광역시,유성구,합계,18166,1498300282,
201907-201912,대전광역시,중구,일반용,15779,267493809,54.99
201907-201912,대전광역시,중구,합계,17350,486399757,
