년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201907-201912,부산광역시,강서구,일반용,9759,228165100,10.78
201907-201912,부산광역시,강서구,합계,9080,2117521724,
201907-201912,부산광역시,금정구,일반용,15490,198631168,35.72
201907-201912,부산광역시,금정구,합계,18770,556128900,
201907-201912,부산광역시,기장군,일반용,8266,159711263,27.26
201907-201912,부산광역시,기장군,합계,9242,585943746,
201907-201912,부산광역시,남구,일반용,12153,211507646,28.4
201907-201912,부산광역시,남구,합계,16826,744832373,
201907-201912,부산광역시,동구,일반용,7394,150877180,56.66
201907-201912,부산광역시,동구,합계,8857,266283335,
201907-201912,부산광역시,동래구,일반용,15540,217700764,45.41
201907-201912,부산광역시,동래구,합계,15605,479436095,
201907-201912,부산광역시,부산진구,일반용,23024,432479086,48.98
201907-201912,부산광역시,부산진구,합계,23109,882931642,
201907-201912,부산광역시,북구,일반용,10662,173166507,38.35
201907-201912,부산광역시,북구,합계,12996,451538432,
201907-201912,부산광역시,사상구,일반용,13127,210858047,25.94
201907-201912,부산광역시,사상구,합계,13843,813024789,
201907-201912,부산광역시,사하구,일반용,14520,217700930,16.92
201907-201912,부산광역시,사하구,합계,19448,1286664009,
201907-201912,부산광역시,서구,일반용,6415,121266967,39.56
201907-201912,부산광역시,서구,합계,10199,306519976,
201907-201912,부산광역시,수영구,일반용,10862,158068449,50.75
201907-201912,부산광역시,수영구,합계,12640,311442424,
201907-201912,부산광역시,연제구,일반용,11304,193923613,48.79
201907-201912,부산광역시,연제구,합계,11998,397505147,
201907-201912,부산광역시,영도구,일반용,6080,78396234,34.35
201907-201912,부산광역시,영도구,합계,9652,228241975,
201907-201912,부산광역시,중구,일반용,8752,160954658,79.99
201907-201912,부산광역시,중구,합계,6328,201210984,
201907-201912,부산광역시,해운대구,일반용,14497,470171844,48.86
201907-201912,부산광역시,해운대구,합계,15714,962254741,
