년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
201907-201912,서울특별시,강남구,일반용,50283,1702143757,71.69
201907-201912,서울특별시,강남구,합계,32342,2374305752,
201907-201912,서울특별시,강동구,일반용,19826,374614843,47.62
201907-201912,서울특별시,강동구,합계,22732,786724932,
201907-201912,서울특별시,강북구,일반용,16196,212104698,45.33
201907-201912,서울특별시,강북구,합계,24737,467909206,
201907-201912,서울특별시,강서구,일반용,23689,697838653,52.74
201907-201912,서울특별시,강서구,합계,34533,1323092103,
201907-201912,서울특별시,관악구,일반용,24875,402868484,45.79
201907-201912,서울특별시,관악구,합계,45279,879796543,
201907-201912,서울특별시,광진구,일반용,20899,328045423,38.6
201907-201912,서울특별시,광진구,합계,28300,849933058,
201907-201912,서울특별시,구로구,일반용,18298,446785368,46.17
201907-201912,서울특별시,구로구,합계,22755,967781637,
201907-201912,서울특별시,금천구,일반용,13343,514546884,61.92
201907-201912,서울특별시,금천구,합계,17442,830999264,
201907-201912,서울특별시,노원구,일반용,14859,317386732,41.16
201907-201912,서울특별시,노원구,합계,18391,771032274,
201907-201912,서울특별시,도봉구,일반용,12326,178202893,39.54
201907-201912,서울특별시,도봉구,합계,17007,450687647,
201907-201912,서울특별시,동대문구,일반용,23568,322776043,44.01
201907-201912,서울특별시,동대문구,합계,25001,733454058,
201907-201912,서울특별시,동작구,일반용,16758,312001150,46.58
201907-201912,서울특별시,동작구,합계,27188,669749948,
201907-201912,서울특별시,마포구,일반용,30072,662473244,59.05
201907-201912,서울특별시,마포구,합계,25207,1121866383,
201907-201912,서울특별시,서대문구,일반용,16115,300307154,46.24
201907-201912,서울특별시,서대문구,합계,19889,649520338,
201907-201912,서울특별시,서초구,일반용,30380,1041135688,61.34
201907-201912,서울특별시,서초구,합계,21477,1697211620,
201907-201912,서울특별시,성동구,일반용,16114,368913116,33.04
201907-201912,서울특별시,성동구,합계,16324,1116665358,
201907-201912,서울특별시,성북구,일반용,21111,272611762,36.88
201907-201912,서울특별시,성북구,합계,25781,739109778,
201907-201912,서울특별시,송파구,일반용,28588,806182601,55.03
201907-201912,서울특별시,송파구,합계,29873,1465042523,
201907-201912,서울특별시,양천구,일반용,16447,480335765,55.42
201907-201912,서울특별시,양천구,합계,20910,866642002,
201907-201912,서울특별시,영등포구,일반용,23720,891037614,64.73
201907-201912,서울특별시,영등포구,합계,23602,1376475739,
201907-201912,서울특별시,용산구,일반용,17186,409173039,56.01
201907-201912,서울특별시,용산구,합계,17878,730557655,
201907-201912,서울특별시,은평구,일반용,20619,280244364,38.1
201907-201912,서울특별시,은평구,합계,32097,735622278,
201907-201912,서울특별시,종로구,일반용,25370,639629076,71.15
201907-201912,서울특별시,종로구,합계,15862,899048155,
201907-201912,서울특별시,중구,일반용,23948,989454980,77.14
201907-201912,서울특별시,중구,합계,13018,1282673776,
201907-201912,서울특별시,중랑구,일반용,19947,239096048,42.21
201907-201912,서울특별시,중랑구,합계,28792,566476831,
