계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 울산광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 07 월 ~ 2019년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,울산광역시,전체(시 / 군 / 구),주택용,"330,984 ","122,284,943 ","11,591,350,398 ",94.8 
201907,울산광역시,전체(시 / 군 / 구),일반용,"72,003 ","173,743,868 ","26,578,401,160 ",153.0 
201907,울산광역시,전체(시 / 군 / 구),교육용,428 ,"17,478,098 ","1,958,406,082 ",112.0 
201907,울산광역시,전체(시 / 군 / 구),산업용,"6,535 ","2,696,601,548 ","289,483,104,520 ",107.4 
201907,울산광역시,전체(시 / 군 / 구),농사용,"14,881 ","5,826,658 ","315,267,077 ",54.1 
201907,울산광역시,전체(시 / 군 / 구),가로등,"35,916 ","5,019,544 ","625,862,586 ",124.7 
201907,울산광역시,전체(시 / 군 / 구),심 야,"6,583 ","3,999,870 ","247,272,649 ",61.8 
201908,울산광역시,전체(시 / 군 / 구),주택용,"330,806 ","169,584,684 ","17,892,979,992 ",105.5 
201908,울산광역시,전체(시 / 군 / 구),일반용,"72,129 ","212,041,467 ","30,611,677,554 ",144.4 
201908,울산광역시,전체(시 / 군 / 구),교육용,427 ,"16,593,619 ","1,914,920,616 ",115.4 
201908,울산광역시,전체(시 / 군 / 구),산업용,"6,533 ","2,639,353,566 ","279,133,295,155 ",105.8 
201908,울산광역시,전체(시 / 군 / 구),농사용,"14,946 ","8,137,092 ","412,612,146 ",50.7 
201908,울산광역시,전체(시 / 군 / 구),가로등,"36,021 ","5,421,534 ","648,100,236 ",119.5 
201908,울산광역시,전체(시 / 군 / 구),심 야,"6,550 ","3,653,761 ","234,290,175 ",64.1 
201909,울산광역시,전체(시 / 군 / 구),주택용,"330,771 ","156,807,681 ","16,747,550,006 ",106.8 
201909,울산광역시,전체(시 / 군 / 구),일반용,"72,126 ","195,295,064 ","25,295,297,014 ",129.5 
201909,울산광역시,전체(시 / 군 / 구),교육용,426 ,"17,771,655 ","1,725,555,150 ",97.1 
201909,울산광역시,전체(시 / 군 / 구),산업용,"6,531 ","2,564,328,299 ","209,978,406,093 ",81.9 
201909,울산광역시,전체(시 / 군 / 구),농사용,"15,006 ","8,273,913 ","418,632,261 ",50.6 
201909,울산광역시,전체(시 / 군 / 구),가로등,"36,063 ","5,682,604 ","658,828,549 ",115.9 
201909,울산광역시,전체(시 / 군 / 구),심 야,"6,499 ","3,195,490 ","200,443,401 ",62.7 
201910,울산광역시,전체(시 / 군 / 구),주택용,"330,889 ","125,363,347 ","12,778,166,776 ",101.9 
201910,울산광역시,전체(시 / 군 / 구),일반용,"72,080 ","162,347,125 ","19,032,521,421 ",117.2 
201910,울산광역시,전체(시 / 군 / 구),교육용,425 ,"14,906,672 ","1,328,033,943 ",89.1 
201910,울산광역시,전체(시 / 군 / 구),산업용,"6,530 ","2,461,896,851 ","204,217,000,880 ",83.0 
201910,울산광역시,전체(시 / 군 / 구),농사용,"15,049 ","6,082,828 ","329,479,092 ",54.2 
201910,울산광역시,전체(시 / 군 / 구),가로등,"36,099 ","6,067,268 ","672,456,826 ",110.8 
201910,울산광역시,전체(시 / 군 / 구),심 야,"6,467 ","3,848,841 ","230,947,948 ",60.0 
201911,울산광역시,전체(시 / 군 / 구),주택용,"331,096 ","125,176,688 ","12,828,082,400 ",102.5 
201911,울산광역시,전체(시 / 군 / 구),일반용,"72,202 ","155,630,820 ","20,711,001,093 ",133.1 
201911,울산광역시,전체(시 / 군 / 구),교육용,425 ,"14,716,199 ","1,497,706,825 ",101.8 
201911,울산광역시,전체(시 / 군 / 구),산업용,"6,540 ","2,401,079,063 ","255,125,178,772 ",106.3 
201911,울산광역시,전체(시 / 군 / 구),농사용,"15,969 ","6,493,916 ","337,651,505 ",52.0 
201911,울산광역시,전체(시 / 군 / 구),가로등,"36,116 ","6,682,867 ","721,376,465 ",107.9 
201911,울산광역시,전체(시 / 군 / 구),심 야,"6,436 ","7,044,269 ","447,835,789 ",63.6 
201912,울산광역시,전체(시 / 군 / 구),주택용,"331,117 ","129,690,591 ","13,618,632,857 ",105.0 
201912,울산광역시,전체(시 / 군 / 구),일반용,"72,377 ","171,149,093 ","24,272,619,992 ",141.8 
201912,울산광역시,전체(시 / 군 / 구),교육용,425 ,"19,182,550 ","1,955,822,104 ",102.0 
201912,울산광역시,전체(시 / 군 / 구),산업용,"6,546 ","2,534,008,866 ","265,514,651,212 ",104.8 
201912,울산광역시,전체(시 / 군 / 구),농사용,"15,008 ","6,295,257 ","337,629,434 ",53.6 
201912,울산광역시,전체(시 / 군 / 구),가로등,"36,193 ","6,868,619 ","725,084,478 ",105.6 
201912,울산광역시,전체(시 / 군 / 구),심 야,"6,411 ","11,367,967 ","849,574,158 ",74.7 
합계,합계,합계,합계,"2,806,564","17,406,994,655","1,754,203,706,790",100.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,울산광역시,남구,가로등,"8,043 ","875,609 ","115,996,652 ",132.5 
201907,울산광역시,남구,교육용,102 ,"4,298,756 ","514,218,865 ",119.6 
201907,울산광역시,남구,농사용,187 ,"37,366 ","2,225,466 ",59.6 
201907,울산광역시,남구,산업용,"1,217 ","1,347,516,743 ","145,818,235,954 ",108.2 
201907,울산광역시,남구,심 야,"1,656 ","1,308,138 ","84,357,061 ",64.5 
201907,울산광역시,남구,일반용,"25,357 ","64,562,315 ","9,907,228,787 ",153.5 
201907,울산광역시,남구,주택용,"100,906 ","36,136,980 ","3,505,493,208 ",97 
201907,울산광역시,남구,합계,"137,468 ","1,454,735,907 ","159,947,755,993 ",109.9 
201907,울산광역시,동구,가로등,"3,200 ","530,558 ","65,250,589 ",123 
201907,울산광역시,동구,교육용,55 ,"1,467,135 ","176,803,281 ",120.5 
201907,울산광역시,동구,농사용,281 ,"132,666 ","6,937,498 ",52.3 
201907,울산광역시,동구,산업용,300 ,"88,993,457 ","10,948,474,072 ",123 
