계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 인천광역시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 07 월 ~ 2019년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,인천광역시,전체(시 / 군 / 구),주택용,"752,735 ","342,091,920 ","34,085,022,933 ",99.6 
201907,인천광역시,전체(시 / 군 / 구),일반용,"137,877 ","533,955,650 ","77,301,932,224 ",144.8 
201907,인천광역시,전체(시 / 군 / 구),교육용,997 ,"28,414,707 ","3,539,674,304 ",124.6 
201907,인천광역시,전체(시 / 군 / 구),산업용,"19,520 ","1,103,616,573 ","135,194,688,544 ",122.5 
201907,인천광역시,전체(시 / 군 / 구),농사용,"25,021 ","11,516,847 ","572,352,240 ",49.7 
201907,인천광역시,전체(시 / 군 / 구),가로등,"68,764 ","11,170,610 ","1,400,236,604 ",125.4 
201907,인천광역시,전체(시 / 군 / 구),심 야,"15,329 ","8,437,065 ","533,490,877 ",63.2 
201908,인천광역시,전체(시 / 군 / 구),주택용,"752,221 ","467,207,727 ","53,027,379,507 ",113.5 
201908,인천광역시,전체(시 / 군 / 구),일반용,"138,081 ","620,988,011 ","86,374,395,708 ",139.1 
201908,인천광역시,전체(시 / 군 / 구),교육용,992 ,"30,011,592 ","3,689,763,798 ",122.9 
201908,인천광역시,전체(시 / 군 / 구),산업용,"19,528 ","1,072,348,298 ","129,670,577,181 ",120.9 
201908,인천광역시,전체(시 / 군 / 구),농사용,"25,138 ","15,308,467 ","728,647,936 ",47.6 
201908,인천광역시,전체(시 / 군 / 구),가로등,"69,038 ","12,170,254 ","1,470,203,016 ",120.8 
201908,인천광역시,전체(시 / 군 / 구),심 야,"15,268 ","8,283,288 ","550,055,383 ",66.4 
201909,인천광역시,전체(시 / 군 / 구),주택용,"752,088 ","400,013,627 ","43,666,919,875 ",109.2 
201909,인천광역시,전체(시 / 군 / 구),일반용,"138,128 ","549,219,646 ","66,471,924,242 ",121.0 
201909,인천광역시,전체(시 / 군 / 구),교육용,993 ,"28,488,060 ","2,793,553,448 ",98.1 
201909,인천광역시,전체(시 / 군 / 구),산업용,"19,539 ","1,015,780,128 ","102,439,661,816 ",100.8 
201909,인천광역시,전체(시 / 군 / 구),농사용,"25,259 ","17,447,146 ","822,969,822 ",47.2 
201909,인천광역시,전체(시 / 군 / 구),가로등,"69,270 ","12,613,495 ","1,491,814,937 ",118.3 
201909,인천광역시,전체(시 / 군 / 구),심 야,"15,203 ","6,864,871 ","444,398,147 ",64.7 
201910,인천광역시,전체(시 / 군 / 구),주택용,"752,061 ","321,231,704 ","32,600,586,243 ",101.5 
201910,인천광역시,전체(시 / 군 / 구),일반용,"138,132 ","461,100,207 ","52,426,230,350 ",113.7 
201910,인천광역시,전체(시 / 군 / 구),교육용,993 ,"22,700,861 ","2,252,649,857 ",99.2 
