계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2019년 07 월 ~ 2019년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,충청남도,전체(시 / 군 / 구),주택용,"782,505 ","231,485,161 ","21,978,618,388 ",94.9 
201907,충청남도,전체(시 / 군 / 구),일반용,"166,333 ","373,113,723 ","57,105,804,645 ",153.1 
201907,충청남도,전체(시 / 군 / 구),교육용,"1,131 ","33,815,059 ","4,234,954,717 ",125.2 
201907,충청남도,전체(시 / 군 / 구),산업용,"21,886 ","3,631,174,216 ","417,515,339,701 ",115.0 
201907,충청남도,전체(시 / 군 / 구),농사용,"196,385 ","162,244,594 ","7,599,637,243 ",46.8 
201907,충청남도,전체(시 / 군 / 구),가로등,"153,732 ","12,185,448 ","1,548,192,274 ",127.1 
201907,충청남도,전체(시 / 군 / 구),심 야,"88,409 ","31,385,770 ","1,791,126,593 ",57.1 
201908,충청남도,전체(시 / 군 / 구),주택용,"783,688 ","310,145,632 ","31,871,044,290 ",102.8 
201908,충청남도,전체(시 / 군 / 구),일반용,"166,629 ","451,441,390 ","65,413,527,236 ",144.9 
201908,충청남도,전체(시 / 군 / 구),교육용,"1,130 ","33,891,449 ","4,272,588,074 ",126.1 
201908,충청남도,전체(시 / 군 / 구),산업용,"21,942 ","3,561,681,395 ","403,559,419,648 ",113.3 
201908,충청남도,전체(시 / 군 / 구),농사용,"197,502 ","213,279,379 ","9,837,134,057 ",46.1 
201908,충청남도,전체(시 / 군 / 구),가로등,"154,501 ","12,879,077 ","1,568,414,517 ",121.8 
201908,충청남도,전체(시 / 군 / 구),심 야,"88,255 ","28,034,518 ","1,649,715,270 ",58.8 
201909,충청남도,전체(시 / 군 / 구),주택용,"785,314 ","283,716,995 ","28,840,396,865 ",101.7 
201909,충청남도,전체(시 / 군 / 구),일반용,"166,770 ","403,667,212 ","53,145,390,411 ",131.7 
201909,충청남도,전체(시 / 군 / 구),교육용,"1,130 ","35,643,331 ","3,794,752,841 ",106.5 
201909,충청남도,전체(시 / 군 / 구),산업용,"21,970 ","3,284,871,239 ","297,047,574,539 ",90.4 
201909,충청남도,전체(시 / 군 / 구),농사용,"198,341 ","203,925,861 ","9,525,125,096 ",46.7 
201909,충청남도,전체(시 / 군 / 구),가로등,"154,817 ","13,620,693 ","1,602,081,073 ",117.6 
201909,충청남도,전체(시 / 군 / 구),심 야,"88,066 ","27,635,255 ","1,596,308,663 ",57.8 
201910,충청남도,전체(시 / 군 / 구),주택용,"786,858 ","231,373,025 ","22,850,757,067 ",98.8 
201910,충청남도,전체(시 / 군 / 구),일반용,"167,112 ","337,577,843 ","40,530,298,503 ",120.1 
201910,충청남도,전체(시 / 군 / 구),교육용,"1,131 ","30,231,517 ","2,928,685,210 ",96.9 
201910,충청남도,전체(시 / 군 / 구),산업용,"22,051 ","3,337,792,166 ","298,975,065,915 ",89.6 
201910,충청남도,전체(시 / 군 / 구),농사용,"198,740 ","146,912,836 ","7,386,244,588 ",50.3 
201910,충청남도,전체(시 / 군 / 구),가로등,"155,213 ","14,732,998 ","1,633,613,442 ",110.9 
201910,충청남도,전체(시 / 군 / 구),심 야,"87,974 ","43,225,805 ","2,418,508,711 ",56.0 
201911,충청남도,전체(시 / 군 / 구),주택용,"788,188 ","236,181,693 ","24,072,793,634 ",101.9 
201911,충청남도,전체(시 / 군 / 구),일반용,"167,554 ","344,589,897 ","45,796,938,073 ",132.9 
201911,충청남도,전체(시 / 군 / 구),교육용,"1,136 ","36,767,783 ","3,858,970,260 ",105.0 
201911,충청남도,전체(시 / 군 / 구),산업용,"22,085 ","3,348,314,719 ","378,320,395,111 ",113.0 
201911,충청남도,전체(시 / 군 / 구),농사용,"309,993 ","266,445,984 ","10,288,986,793 ",38.6 
201911,충청남도,전체(시 / 군 / 구),가로등,"155,429 ","15,813,909 ","1,707,364,179 ",108.0 
201911,충청남도,전체(시 / 군 / 구),심 야,"87,851 ","90,175,598 ","5,799,412,243 ",64.3 
201912,충청남도,전체(시 / 군 / 구),주택용,"789,350 ","249,772,245 ","26,102,254,224 ",104.5 
201912,충청남도,전체(시 / 군 / 구),일반용,"168,227 ","407,979,119 ","56,487,258,396 ",138.5 
201912,충청남도,전체(시 / 군 / 구),교육용,"1,136 ","53,228,657 ","5,297,357,467 ",99.5 
201912,충청남도,전체(시 / 군 / 구),산업용,"22,131 ","3,431,714,263 ","383,195,282,810 ",111.7 
201912,충청남도,전체(시 / 군 / 구),농사용,"198,968 ","184,301,194 ","9,098,101,303 ",49.4 
201912,충청남도,전체(시 / 군 / 구),가로등,"155,754 ","16,236,565 ","1,690,755,100 ",104.1 
201912,충청남도,전체(시 / 군 / 구),심 야,"87,745 ","157,465,208 ","11,858,577,003 ",75.3 
합계,합계,합계,합계,"8,615,062","26,320,670,421","2,765,794,766,173",105.1
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201907,충청남도,계룡시,가로등,"1,270 ","180,653 ","22,046,261 ",122 
201907,충청남도,계룡시,교육용,17 ,"293,277 ","38,801,371 ",132.3 
