계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 01 월 ~ 2020년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202001,경기도,전체(시 / 군 / 구),주택용,"3,001,886 ","1,666,357,785 ","190,106,725,872 ",114.1 
202001,경기도,전체(시 / 군 / 구),일반용,"693,951 ","2,853,979,349 ","371,476,699,440 ",130.2 
202001,경기도,전체(시 / 군 / 구),교육용,"4,533 ","180,736,780 ","18,160,730,928 ",100.5 
202001,경기도,전체(시 / 군 / 구),산업용,"130,509 ","5,835,731,295 ","678,636,111,492 ",116.3 
202001,경기도,전체(시 / 군 / 구),농사용,"229,684 ","266,625,103 ","12,733,661,417 ",47.8 
202001,경기도,전체(시 / 군 / 구),가로등,"360,639 ","81,581,581 ","8,894,548,241 ",109.0 
202001,경기도,전체(시 / 군 / 구),심 야,"140,248 ","393,328,564 ","29,670,428,574 ",75.4 
202002,경기도,전체(시 / 군 / 구),주택용,"3,003,994 ","1,660,393,685 ","189,135,197,774 ",113.9 
202002,경기도,전체(시 / 군 / 구),일반용,"694,981 ","2,722,400,260 ","359,915,131,071 ",132.2 
202002,경기도,전체(시 / 군 / 구),교육용,"4,542 ","140,253,981 ","14,886,107,201 ",106.1 
202002,경기도,전체(시 / 군 / 구),산업용,"130,670 ","5,612,989,701 ","666,551,503,440 ",118.8 
202002,경기도,전체(시 / 군 / 구),농사용,"229,762 ","258,885,965 ","12,499,250,663 ",48.3 
202002,경기도,전체(시 / 군 / 구),가로등,"361,548 ","78,052,425 ","8,774,446,316 ",112.4 
202002,경기도,전체(시 / 군 / 구),심 야,"139,759 ","380,849,572 ","28,725,480,211 ",75.4 
202003,경기도,전체(시 / 군 / 구),주택용,"3,006,826 ","1,559,352,264 ","169,275,960,901 ",108.6 
202003,경기도,전체(시 / 군 / 구),일반용,"695,772 ","2,394,828,320 ","293,727,753,693 ",122.7 
202003,경기도,전체(시 / 군 / 구),교육용,"4,543 ","117,484,331 ","12,416,282,978 ",105.7 
202003,경기도,전체(시 / 군 / 구),산업용,"130,850 ","5,728,331,548 ","568,410,014,835 ",99.2 
202003,경기도,전체(시 / 군 / 구),농사용,"300,647 ","220,452,822 ","10,749,035,150 ",48.8 
202003,경기도,전체(시 / 군 / 구),가로등,"362,097 ","72,163,183 ","8,271,624,495 ",114.6 
202003,경기도,전체(시 / 군 / 구),심 야,"139,363 ","309,239,552 ","20,749,258,395 ",67.1 
202004,경기도,전체(시 / 군 / 구),주택용,"3,010,308 ","1,571,807,464 ","172,016,581,452 ",109.4 
202004,경기도,전체(시 / 군 / 구),일반용,"695,891 ","2,177,145,435 ","250,750,621,770 ",115.2 
