계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 01 월 ~ 2020년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202001,경상북도,전체(시 / 군 / 구),주택용,"1,162,293 ","328,274,152 ","36,097,734,508 ",110.0 
202001,경상북도,전체(시 / 군 / 구),일반용,"218,546 ","540,294,919 ","71,649,114,133 ",132.6 
202001,경상북도,전체(시 / 군 / 구),교육용,"1,493 ","60,675,863 ","6,134,385,538 ",101.1 
202001,경상북도,전체(시 / 군 / 구),산업용,"32,893 ","2,448,918,409 ","273,727,361,023 ",111.8 
202001,경상북도,전체(시 / 군 / 구),농사용,"355,502 ","192,805,389 ","9,503,681,010 ",49.3 
202001,경상북도,전체(시 / 군 / 구),가로등,"203,557 ","28,652,541 ","3,050,388,196 ",106.5 
202001,경상북도,전체(시 / 군 / 구),심 야,"74,270 ","160,718,061 ","12,015,592,718 ",74.8 
202002,경상북도,전체(시 / 군 / 구),주택용,"1,162,651 ","330,432,729 ","36,448,829,302 ",110.3 
202002,경상북도,전체(시 / 군 / 구),일반용,"218,792 ","515,446,891 ","69,204,806,651 ",134.3 
202002,경상북도,전체(시 / 군 / 구),교육용,"1,491 ","52,433,779 ","5,607,986,060 ",107.0 
202002,경상북도,전체(시 / 군 / 구),산업용,"32,894 ","2,290,855,389 ","263,191,413,437 ",114.9 
202002,경상북도,전체(시 / 군 / 구),농사용,"355,121 ","187,605,917 ","9,288,478,984 ",49.5 
202002,경상북도,전체(시 / 군 / 구),가로등,"206,526 ","27,484,419 ","3,055,898,935 ",111.2 
202002,경상북도,전체(시 / 군 / 구),심 야,"74,048 ","158,554,467 ","11,849,626,886 ",74.7 
202003,경상북도,전체(시 / 군 / 구),주택용,"1,163,483 ","307,710,312 ","32,781,358,329 ",106.5 
202003,경상북도,전체(시 / 군 / 구),일반용,"218,959 ","421,378,693 ","55,062,987,184 ",130.7 
202003,경상북도,전체(시 / 군 / 구),교육용,"1,489 ","44,872,497 ","4,273,188,861 ",95.2 
202003,경상북도,전체(시 / 군 / 구),산업용,"32,876 ","2,387,369,911 ","224,706,454,924 ",94.1 
202003,경상북도,전체(시 / 군 / 구),농사용,"428,002 ","166,137,142 ","8,358,143,071 ",50.3 
202003,경상북도,전체(시 / 군 / 구),가로등,"207,216 ","26,250,477 ","2,964,748,413 ",112.9 
202003,경상북도,전체(시 / 군 / 구),심 야,"73,861 ","126,421,225 ","8,382,169,510 ",66.3 
202004,경상북도,전체(시 / 군 / 구),주택용,"1,163,952 ","310,813,685 ","33,570,051,741 ",108.0 
202004,경상북도,전체(시 / 군 / 구),일반용,"219,055 ","394,280,326 ","47,530,230,844 ",120.5 
202004,경상북도,전체(시 / 군 / 구),교육용,"1,490 ","37,732,836 ","3,455,025,374 ",91.6 
202004,경상북도,전체(시 / 군 / 구),산업용,"32,857 ","2,284,794,912 ","212,212,974,316 ",92.9 
202004,경상북도,전체(시 / 군 / 구),농사용,"359,439 ","159,819,145 ","8,133,668,095 ",50.9 
202004,경상북도,전체(시 / 군 / 구),가로등,"207,994 ","25,925,617 ","3,044,314,664 ",117.4 
202004,경상북도,전체(시 / 군 / 구),심 야,"73,706 ","99,916,000 ","5,406,402,988 ",54.1 
202005,경상북도,전체(시 / 군 / 구),주택용,"1,163,917 ","289,964,387 ","29,859,018,243 ",103.0 
202005,경상북도,전체(시 / 군 / 구),일반용,"219,091 ","377,157,269 ","46,376,845,518 ",123.0 
202005,경상북도,전체(시 / 군 / 구),교육용,"1,489 ","35,550,101 ","3,295,405,513 ",92.7 
202005,경상북도,전체(시 / 군 / 구),산업용,"32,855 ","2,121,986,534 ","197,416,241,388 ",93.0 
202005,경상북도,전체(시 / 군 / 구),농사용,"362,403 ","160,506,418 ","8,028,001,420 ",50.0 
202005,경상북도,전체(시 / 군 / 구),가로등,"208,857 ","24,283,283 ","2,943,873,638 ",121.2 
