계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 01 월 ~ 2020년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202001,서울특별시,전체(시 / 군 / 구),주택용,"2,845,641 ","1,201,844,525 ","136,276,682,233 ",113.4 
202001,서울특별시,전체(시 / 군 / 구),일반용,"546,920 ","2,320,438,590 ","308,657,703,162 ",133.0 
202001,서울특별시,전체(시 / 군 / 구),교육용,"2,660 ","175,613,436 ","17,363,063,627 ",98.9 
202001,서울특별시,전체(시 / 군 / 구),산업용,"44,469 ","443,088,628 ","55,069,480,890 ",124.3 
202001,서울특별시,전체(시 / 군 / 구),농사용,"1,870 ","1,677,657 ","82,072,409 ",48.9 
202001,서울특별시,전체(시 / 군 / 구),가로등,"195,527 ","30,116,131 ","3,159,249,606 ",104.9 
202001,서울특별시,전체(시 / 군 / 구),심 야,"14,065 ","24,247,267 ","2,040,575,743 ",84.2 
202002,서울특별시,전체(시 / 군 / 구),주택용,"2,848,664 ","1,192,800,171 ","134,841,545,523 ",113.0 
202002,서울특별시,전체(시 / 군 / 구),일반용,"547,138 ","2,204,151,513 ","298,400,499,419 ",135.4 
202002,서울특별시,전체(시 / 군 / 구),교육용,"2,666 ","160,839,508 ","16,487,932,156 ",102.5 
202002,서울특별시,전체(시 / 군 / 구),산업용,"44,404 ","425,951,158 ","53,479,468,862 ",125.6 
202002,서울특별시,전체(시 / 군 / 구),농사용,"1,871 ","1,645,446 ","80,754,693 ",49.1 
202002,서울특별시,전체(시 / 군 / 구),가로등,"195,303 ","28,476,959 ","3,095,962,713 ",108.7 
202002,서울특별시,전체(시 / 군 / 구),심 야,"13,969 ","23,527,460 ","1,971,095,079 ",83.8 
202003,서울특별시,전체(시 / 군 / 구),주택용,"2,851,241 ","1,122,218,076 ","120,964,347,503 ",107.8 
202003,서울특별시,전체(시 / 군 / 구),일반용,"547,153 ","1,958,739,125 ","242,765,941,639 ",123.9 
202003,서울특별시,전체(시 / 군 / 구),교육용,"2,669 ","126,731,987 ","12,492,017,266 ",98.6 
202003,서울특별시,전체(시 / 군 / 구),산업용,"44,341 ","402,633,844 ","45,187,510,481 ",112.2 
202003,서울특별시,전체(시 / 군 / 구),농사용,"2,129 ","1,494,497 ","73,311,290 ",49.1 
202003,서울특별시,전체(시 / 군 / 구),가로등,"196,395 ","26,134,821 ","2,893,180,022 ",110.7 
202003,서울특별시,전체(시 / 군 / 구),심 야,"13,899 ","19,491,977 ","1,536,302,980 ",78.8 
202004,서울특별시,전체(시 / 군 / 구),주택용,"2,854,079 ","1,122,785,486 ","120,875,566,548 ",107.7 
202004,서울특별시,전체(시 / 군 / 구),일반용,"546,595 ","1,757,934,299 ","207,438,987,319 ",118.0 
