년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202001-202006,인천광역시,강화군,일반용,8185,93566238,32.13
202001-202006,인천광역시,강화군,합계,13650,291176001,
202001-202006,인천광역시,계양구,일반용,12571,214251618,34.08
202001-202006,인천광역시,계양구,합계,16230,628704133,
202001-202006,인천광역시,남동구,일반용,23506,441399712,23.77
202001-202006,인천광역시,남동구,합계,26094,1856619216,
202001-202006,인천광역시,동구,일반용,3622,54422481,3.02
202001-202006,인천광역시,동구,합계,4339,1800902711,
202001-202006,인천광역시,미추홀구,일반용,21254,301670760,35.72
202001-202006,인천광역시,미추홀구,합계,32177,844659096,
202001-202006,인천광역시,부평구,일반용,21820,368492775,33.48
202001-202006,인천광역시,부평구,합계,26615,1100588444,
202001-202006,인천광역시,서구,일반용,23815,521621974,18.67
202001-202006,인천광역시,서구,합계,27273,2794032205,
202001-202006,인천광역시,연수구,일반용,9513,343209110,28.98
202001-202006,인천광역시,연수구,합계,10381,1184495552,
202001-202006,인천광역시,옹진군,일반용,3952,54849350,47.7
202001-202006,인천광역시,옹진군,합계,4102,114995403,
202001-202006,인천광역시,중구,일반용,11082,516227413,46.45
202001-202006,인천광역시,중구,합계,10062,1111289745,
