계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 01 월 ~ 2020년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202001,전라북도,전체(시 / 군 / 구),주택용,"666,061 ","223,237,706 ","24,812,166,067 ",111.1 
202001,전라북도,전체(시 / 군 / 구),일반용,"142,093 ","361,499,118 ","48,262,553,963 ",133.5 
202001,전라북도,전체(시 / 군 / 구),교육용,"1,246 ","37,587,709 ","3,895,989,484 ",103.7 
202001,전라북도,전체(시 / 군 / 구),산업용,"15,656 ","1,107,130,834 ","122,532,481,540 ",110.7 
202001,전라북도,전체(시 / 군 / 구),농사용,"154,162 ","157,404,672 ","7,631,486,097 ",48.5 
202001,전라북도,전체(시 / 군 / 구),가로등,"143,711 ","19,152,559 ","1,994,228,604 ",104.1 
202001,전라북도,전체(시 / 군 / 구),심 야,"60,665 ","116,679,675 ","8,622,025,511 ",73.9 
202002,전라북도,전체(시 / 군 / 구),주택용,"666,812 ","226,650,895 ","25,464,548,992 ",112.4 
202002,전라북도,전체(시 / 군 / 구),일반용,"142,293 ","349,254,413 ","47,073,934,799 ",134.8 
202002,전라북도,전체(시 / 군 / 구),교육용,"1,246 ","33,941,441 ","3,688,034,810 ",108.7 
202002,전라북도,전체(시 / 군 / 구),산업용,"15,646 ","1,001,199,371 ","114,656,938,738 ",114.5 
202002,전라북도,전체(시 / 군 / 구),농사용,"154,046 ","156,111,161 ","7,573,591,946 ",48.5 
202002,전라북도,전체(시 / 군 / 구),가로등,"144,004 ","18,145,394 ","1,987,028,134 ",109.5 
202002,전라북도,전체(시 / 군 / 구),심 야,"60,513 ","117,931,123 ","8,727,093,413 ",74.0 
202003,전라북도,전체(시 / 군 / 구),주택용,"667,512 ","207,538,917 ","22,287,435,821 ",107.4 
202003,전라북도,전체(시 / 군 / 구),일반용,"142,335 ","301,695,176 ","38,838,689,378 ",128.7 
202003,전라북도,전체(시 / 군 / 구),교육용,"1,246 ","26,946,596 ","2,865,853,681 ",106.4 
202003,전라북도,전체(시 / 군 / 구),산업용,"15,666 ","949,501,952 ","90,221,520,199 ",95.0 
202003,전라북도,전체(시 / 군 / 구),농사용,"227,359 ","141,918,814 ","6,923,281,343 ",48.8 
202003,전라북도,전체(시 / 군 / 구),가로등,"144,250 ","17,237,153 ","1,916,870,454 ",111.2 
202003,전라북도,전체(시 / 군 / 구),심 야,"60,380 ","95,244,311 ","6,277,119,207 ",65.9 
202004,전라북도,전체(시 / 군 / 구),주택용,"668,479 ","211,698,231 ","23,564,562,306 ",111.3 
202004,전라북도,전체(시 / 군 / 구),일반용,"142,562 ","280,518,029 ","33,268,095,700 ",118.6 
202004,전라북도,전체(시 / 군 / 구),교육용,"1,245 ","22,635,142 ","2,181,491,417 ",96.4 
202004,전라북도,전체(시 / 군 / 구),산업용,"15,707 ","898,986,492 ","82,894,809,968 ",92.2 
202004,전라북도,전체(시 / 군 / 구),농사용,"193,481 ","133,573,130 ","6,531,087,949 ",48.9 
202004,전라북도,전체(시 / 군 / 구),가로등,"144,745 ","16,933,986 ","1,969,697,670 ",116.3 
