년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202001-202006,전라북도,고창군,일반용,4796,54602299,17.53
202001-202006,전라북도,고창군,합계,10521,311475191,
202001-202006,전라북도,군산시,일반용,20572,297848353,9.86
202001-202006,전라북도,군산시,합계,23462,3020429230,
202001-202006,전라북도,김제시,일반용,6606,82508327,15.58
202001-202006,전라북도,김제시,합계,13305,529491626,
202001-202006,전라북도,남원시,일반용,7586,81923596,26.07
202001-202006,전라북도,남원시,합계,13759,314248336,
202001-202006,전라북도,무주군,일반용,2797,44228124,39.83
202001-202006,전라북도,무주군,합계,4877,111049826,
202001-202006,전라북도,부안군,일반용,5742,65441596,27.37
202001-202006,전라북도,부안군,합계,9176,239104696,
202001-202006,전라북도,순창군,일반용,2346,22994815,17.72
202001-202006,전라북도,순창군,합계,6075,129799260,
202001-202006,전라북도,완주군,일반용,7653,119262004,14.05
202001-202006,전라북도,완주군,합계,11798,848606647,
202001-202006,전라북도,익산시,일반용,20719,253290121,16.69
202001-202006,전라북도,익산시,합계,28711,1517278923,
202001-202006,전라북도,임실군,일반용,2337,29110817,18.82
202001-202006,전라북도,임실군,합계,5757,154710429,
202001-202006,전라북도,장수군,일반용,1809,19857105,17.25
202001-202006,전라북도,장수군,합계,4650,115104264,
202001-202006,전라북도,전주시,일반용,47840,644341400,29.34
202001-202006,전라북도,전주시,합계,46838,2195977066,
202001-202006,전라북도,정읍시,일반용,9382,99080066,12.44
202001-202006,전라북도,정읍시,합계,16805,796208468,
202001-202006,전라북도,진안군,일반용,2258,23443832,22.13
202001-202006,전라북도,진안군,합계,5300,105919111,
