년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,강원도,강릉시,일반용,21064,297679845,31.32
202007-202012,강원도,강릉시,합계,23286,950493083,
202007-202012,강원도,고성군,일반용,4321,72960940,47.8
202007-202012,강원도,고성군,합계,5118,152649007,
202007-202012,강원도,동해시,일반용,7480,104865284,9.67
202007-202012,강원도,동해시,합계,8354,1084083328,
202007-202012,강원도,삼척시,일반용,7007,82274843,11.58
202007-202012,강원도,삼척시,합계,9626,710692615,
202007-202012,강원도,속초시,일반용,8543,134856286,53.14
202007-202012,강원도,속초시,합계,6971,253780339,
202007-202012,강원도,양구군,일반용,2772,39021722,40.22
202007-202012,강원도,양구군,합계,4159,97024578,
202007-202012,강원도,양양군,일반용,4432,69542374,46.42
202007-202012,강원도,양양군,합계,5412,149827225,
202007-202012,강원도,영월군,일반용,4218,43310236,8.0
202007-202012,강원도,영월군,합계,7119,541630130,
202007-202012,강원도,원주시,일반용,26658,394940448,32.76
202007-202012,강원도,원주시,합계,28131,1205633428,
202007-202012,강원도,인제군,일반용,4784,70924142,45.25
202007-202012,강원도,인제군,합계,6240,156730027,
202007-202012,강원도,정선군,일반용,5070,87059216,32.11
202007-202012,강원도,정선군,합계,6874,271146373,
202007-202012,강원도,철원군,일반용,4980,76937835,33.46
202007-202012,강원도,철원군,합계,7516,229973969,
202007-202012,강원도,춘천시,일반용,21551,407581744,46.43
202007-202012,강원도,춘천시,합계,25046,877905086,
202007-202012,강원도,태백시,일반용,4252,45098965,30.81
202007-202012,강원도,태백시,합계,4678,146364715,
202007-202012,강원도,평창군,일반용,6659,117019484,39.61
202007-202012,강원도,평창군,합계,9335,295438433,
202007-202012,강원도,홍천군,일반용,8418,124700204,36.34
202007-202012,강원도,홍천군,합계,13049,343128079,
202007-202012,강원도,화천군,일반용,3291,57934939,48.32
202007-202012,강원도,화천군,합계,4577,119886791,
202007-202012,강원도,횡성군,일반용,5237,61509704,20.31
202007-202012,강원도,횡성군,합계,9868,302864188,
