계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경기도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,경기도,전체(시 / 군 / 구),주택용,"3,014,378 ","1,612,575,070 ","167,153,854,044 ",103.7 
202007,경기도,전체(시 / 군 / 구),일반용,"698,788 ","2,548,418,369 ","370,463,766,678 ",145.4 
202007,경기도,전체(시 / 군 / 구),교육용,"4,539 ","112,408,810 ","13,412,401,925 ",119.3 
202007,경기도,전체(시 / 군 / 구),산업용,"131,738 ","5,813,408,299 ","712,628,246,975 ",122.6 
202007,경기도,전체(시 / 군 / 구),농사용,"235,052 ","185,119,968 ","9,270,553,305 ",50.1 
202007,경기도,전체(시 / 군 / 구),가로등,"365,639 ","60,398,088 ","7,527,236,940 ",124.6 
202007,경기도,전체(시 / 군 / 구),심 야,"137,575 ","73,739,689 ","4,615,510,638 ",62.6 
202008,경기도,전체(시 / 군 / 구),주택용,"3,014,974 ","1,903,890,845 ","200,964,148,182 ",105.6 
202008,경기도,전체(시 / 군 / 구),일반용,"699,823 ","2,747,348,089 ","387,157,833,493 ",140.9 
202008,경기도,전체(시 / 군 / 구),교육용,"4,539 ","113,341,433 ","12,138,279,976 ",107.1 
202008,경기도,전체(시 / 군 / 구),산업용,"132,032 ","5,858,434,622 ","704,304,439,491 ",120.2 
202008,경기도,전체(시 / 군 / 구),농사용,"235,868 ","209,728,044 ","10,411,062,534 ",49.6 
202008,경기도,전체(시 / 군 / 구),가로등,"366,854 ","62,283,069 ","7,581,514,896 ",121.7 
202008,경기도,전체(시 / 군 / 구),심 야,"136,996 ","81,426,388 ","5,147,328,551 ",63.2 
202009,경기도,전체(시 / 군 / 구),주택용,"3,015,242 ","2,014,502,966 ","236,466,947,095 ",117.4 
