년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,경기도,가평군,일반용,10792,165575045,51.31
202007-202012,경기도,가평군,합계,11537,322719174,
202007-202012,경기도,고양시,일반용,42766,996325637,43.07
202007-202012,경기도,고양시,합계,40474,2313351765,
202007-202012,경기도,과천시,일반용,2541,99564152,54.1
202007-202012,경기도,과천시,합계,2655,184034513,
202007-202012,경기도,광명시,일반용,10970,194985811,36.21
202007-202012,경기도,광명시,합계,11631,538520187,
202007-202012,경기도,광주시,일반용,27631,354944853,27.4
202007-202012,경기도,광주시,합계,32346,1295618200,
202007-202012,경기도,구리시,일반용,10723,188225880,46.12
202007-202012,경기도,구리시,합계,9067,408117919,
202007-202012,경기도,군포시,일반용,9436,213527670,28.87
202007-202012,경기도,군포시,합계,10765,739742798,
202007-202012,경기도,김포시,일반용,24620,459640332,23.34
202007-202012,경기도,김포시,합계,22031,1969459484,
202007-202012,경기도,남양주시,일반용,39555,524026977,32.52
202007-202012,경기도,남양주시,합계,32994,1611249378,
202007-202012,경기도,동두천시,일반용,6386,114566276,34.48
202007-202012,경기도,동두천시,합계,7201,332264639,
202007-202012,경기도,부천시,일반용,36931,657191329,31.29
202007-202012,경기도,부천시,합계,48098,2100251331,
202007-202012,경기도,성남시,일반용,34199,1363793083,51.07
202007-202012,경기도,성남시,합계,45089,2670580605,
202007-202012,경기도,수원시,일반용,54539,1478387540,50.74
202007-202012,경기도,수원시,합계,61712,2913588563,
202007-202012,경기도,시흥시,일반용,25128,427726167,18.56
202007-202012,경기도,시흥시,합계,27544,2304164550,
202007-202012,경기도,안산시,일반용,30234,565399759,13.84
202007-202012,경기도,안산시,합계,48901,4085770711,
202007-202012,경기도,안성시,일반용,16225,287351303,17.86
202007-202012,경기도,안성시,합계,22495,1608979006,
202007-202012,경기도,안양시,일반용,23571,682454608,49.73
202007-202012,경기도,안양시,합계,22271,1372270652,
202007-202012,경기도,양주시,일반용,15267,259261681,24.21
202007-202012,경기도,양주시,합계,15137,1070763760,
202007-202012,경기도,양평군,일반용,13282,136327286,30.96
202007-202012,경기도,양평군,합계,20401,440325863,
202007-202012,경기도,여주시,일반용,10509,171565532,25.3
202007-202012,경기도,여주시,합계,16165,678003660,
202007-202012,경기도,연천군,일반용,5166,76308386,28.53
202007-202012,경기도,연천군,합계,7871,267509426,
202007-202012,경기도,오산시,일반용,11893,208526855,29.86
202007-202012,경기도,오산시,합계,12275,698284307,
202007-202012,경기도,용인시,일반용,43598,1296290775,24.75
202007-202012,경기도,용인시,합계,42789,5237688409,
202007-202012,경기도,의왕시,일반용,6097,176865950,45.47
202007-202012,경기도,의왕시,합계,5674,388935706,
202007-202012,경기도,의정부시,일반용,22119,352806677,41.08
202007-202012,경기도,의정부시,합계,20070,858741244,
202007-202012,경기도,이천시,일반용,17887,375784462,9.8
202007-202012,경기도,이천시,합계,23191,3835421928,
202007-202012,경기도,파주시,일반용,28975,518027136,11.9
202007-202012,경기도,파주시,합계,29543,4353347024,
202007-202012,경기도,평택시,일반용,40386,812428291,12.46
202007-202012,경기도,평택시,합계,41739,6520401643,
202007-202012,경기도,포천시,일반용,18749,243013648,18.92
202007-202012,경기도,포천시,합계,20803,1284727322,
202007-202012,경기도,하남시,일반용,14921,308567687,35.42
202007-202012,경기도,하남시,합계,9537,871210649,
202007-202012,경기도,화성시,일반용,46687,1165982215,11.75
202007-202012,경기도,화성시,합계,46289,9922980778,
