계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 경상남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,경상남도,전체(시 / 군 / 구),주택용,"1,177,154 ","386,679,799 ","37,387,219,937 ",96.7 
202007,경상남도,전체(시 / 군 / 구),일반용,"224,275 ","545,453,626 ","82,447,385,440 ",151.2 
202007,경상남도,전체(시 / 군 / 구),교육용,"1,687 ","33,254,762 ","3,978,680,721 ",119.6 
202007,경상남도,전체(시 / 군 / 구),산업용,"38,755 ","1,542,194,888 ","202,121,807,296 ",131.1 
202007,경상남도,전체(시 / 군 / 구),농사용,"215,710 ","146,499,255 ","7,397,187,620 ",50.5 
202007,경상남도,전체(시 / 군 / 구),가로등,"184,581 ","20,682,874 ","2,491,148,195 ",120.4 
202007,경상남도,전체(시 / 군 / 구),심 야,"82,794 ","23,437,485 ","1,337,692,471 ",57.1 
202008,경상남도,전체(시 / 군 / 구),주택용,"1,177,676 ","491,293,554 ","51,688,011,809 ",105.2 
202008,경상남도,전체(시 / 군 / 구),일반용,"224,488 ","622,691,677 ","90,053,976,359 ",144.6 
202008,경상남도,전체(시 / 군 / 구),교육용,"1,684 ","36,192,045 ","3,135,777,115 ",86.6 
202008,경상남도,전체(시 / 군 / 구),산업용,"38,656 ","1,464,345,635 ","191,422,344,049 ",130.7 
202008,경상남도,전체(시 / 군 / 구),농사용,"216,408 ","179,347,789 ","8,786,673,218 ",49.0 
202008,경상남도,전체(시 / 군 / 구),가로등,"185,411 ","21,751,528 ","2,619,391,649 ",120.4 
202008,경상남도,전체(시 / 군 / 구),심 야,"82,461 ","25,244,271 ","1,461,484,714 ",57.9 
202009,경상남도,전체(시 / 군 / 구),주택용,"1,178,570 ","501,426,030 ","57,678,275,176 ",115.0 
202009,경상남도,전체(시 / 군 / 구),일반용,"224,743 ","612,739,814 ","79,089,669,970 ",129.1 
202009,경상남도,전체(시 / 군 / 구),교육용,"1,682 ","34,245,077 ","3,701,589,893 ",108.1 
202009,경상남도,전체(시 / 군 / 구),산업용,"38,685 ","1,600,784,258 ","170,570,922,583 ",106.6 
202009,경상남도,전체(시 / 군 / 구),농사용,"217,240 ","179,459,734 ","8,788,937,318 ",49.0 
202009,경상남도,전체(시 / 군 / 구),가로등,"185,810 ","22,840,346 ","2,676,334,104 ",117.2 
202009,경상남도,전체(시 / 군 / 구),심 야,"82,234 ","20,155,277 ","1,168,938,197 ",58.0 
202010,경상남도,전체(시 / 군 / 구),주택용,"1,179,227 ","365,790,963 ","37,133,338,229 ",101.5 
202010,경상남도,전체(시 / 군 / 구),일반용,"224,764 ","471,540,043 ","56,412,611,840 ",119.6 
202010,경상남도,전체(시 / 군 / 구),교육용,"1,682 ","24,940,034 ","2,344,716,576 ",94.0 
202010,경상남도,전체(시 / 군 / 구),산업용,"38,708 ","1,517,750,626 ","154,070,418,230 ",101.5 
202010,경상남도,전체(시 / 군 / 구),농사용,"218,042 ","136,207,275 ","7,205,286,803 ",52.9 
202010,경상남도,전체(시 / 군 / 구),가로등,"186,150 ","24,404,742 ","2,729,610,294 ",111.8 
202010,경상남도,전체(시 / 군 / 구),심 야,"82,089 ","29,580,114 ","1,658,282,956 ",56.1 
202011,경상남도,전체(시 / 군 / 구),주택용,"1,179,858 ","380,967,227 ","40,062,498,710 ",105.2 
202011,경상남도,전체(시 / 군 / 구),일반용,"225,097 ","489,684,843 ","64,656,851,195 ",132.0 
202011,경상남도,전체(시 / 군 / 구),교육용,"1,679 ","33,107,042 ","3,589,047,173 ",108.4 
202011,경상남도,전체(시 / 군 / 구),산업용,"38,690 ","1,662,729,111 ","198,260,294,321 ",119.2 
202011,경상남도,전체(시 / 군 / 구),농사용,"244,871 ","196,118,540 ","9,808,044,044 ",50.0 
202011,경상남도,전체(시 / 군 / 구),가로등,"186,565 ","25,702,591 ","2,830,014,832 ",110.1 
202011,경상남도,전체(시 / 군 / 구),심 야,"81,877 ","59,505,930 ","3,818,957,208 ",64.2 
202012,경상남도,전체(시 / 군 / 구),주택용,"1,180,122 ","409,157,458 ","44,846,159,828 ",109.6 
202012,경상남도,전체(시 / 군 / 구),일반용,"225,476 ","540,881,940 ","76,348,423,060 ",141.2 
202012,경상남도,전체(시 / 군 / 구),교육용,"1,679 ","45,079,725 ","4,827,039,877 ",107.1 
202012,경상남도,전체(시 / 군 / 구),산업용,"38,656 ","1,757,166,749 ","215,268,111,157 ",122.5 
202012,경상남도,전체(시 / 군 / 구),농사용,"220,652 ","270,041,626 ","13,274,401,893 ",49.2 
202012,경상남도,전체(시 / 군 / 구),가로등,"187,270 ","25,847,351 ","2,799,998,696 ",108.3 
202012,경상남도,전체(시 / 군 / 구),심 야,"81,685 ","91,484,510 ","6,899,020,687 ",75.4 
합계,합계,합계,합계,"11,605,543","17,068,408,164","1,958,846,575,443",114.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,경상남도,거제시,가로등,"10,708 ","929,912 ","116,842,483 ",125.6 
202007,경상남도,거제시,교육용,121 ,"1,817,956 ","215,427,485 ",118.5 
202007,경상남도,거제시,농사용,"8,079 ","5,484,782 ","273,632,861 ",49.9 
202007,경상남도,거제시,산업용,"1,510 ","108,186,467 ","13,482,708,029 ",124.6 
202007,경상남도,거제시,심 야,"3,252 ","1,744,713 ","99,616,163 ",57.1 
202007,경상남도,거제시,일반용,"17,483 ","37,850,142 ","5,856,170,313 ",154.7 
202007,경상남도,거제시,주택용,"84,529 ","30,035,592 ","2,968,058,682 ",98.8 
202007,경상남도,거제시,합계,"125,682 ","186,049,564 ","23,012,456,016 ",123.7 
202007,경상남도,거창군,가로등,"7,847 ","471,660 ","-18,451,309 ",-39.1 
202007,경상남도,거창군,교육용,52 ,"762,607 ","93,321,710 ",122.4 
202007,경상남도,거창군,농사용,"13,664 ","6,747,622 ","348,305,057 ",51.6 
202007,경상남도,거창군,산업용,875 ,"11,494,490 ","1,564,241,782 ",136.1 
202007,경상남도,거창군,심 야,"2,297 ","804,361 ","45,072,965 ",56 
202007,경상남도,거창군,일반용,"5,150 ","8,557,787 ","1,414,864,685 ",165.3 
202007,경상남도,거창군,주택용,"30,611 ","6,328,754 ","624,316,595 ",98.6 
202007,경상남도,거창군,합계,"60,496 ","35,167,281 ","4,071,671,485 ",115.8 
202007,경상남도,고성군,가로등,"7,790 ","518,015 ","61,640,411 ",119 
202007,경상남도,고성군,교육용,43 ,"538,195 ","65,295,554 ",121.3 
202007,경상남도,고성군,농사용,"10,262 ","8,876,041 ","445,130,125 ",50.1 
202007,경상남도,고성군,산업용,879 ,"34,021,483 ","4,661,468,129 ",137 
202007,경상남도,고성군,심 야,"2,336 ","697,114 ","38,853,595 ",55.7 
202007,경상남도,고성군,일반용,"4,565 ","8,718,899 ","1,384,056,361 ",158.7 
202007,경상남도,고성군,주택용,"30,879 ","5,312,462 ","537,145,165 ",101.1 
202007,경상남도,고성군,합계,"56,754 ","58,682,209 ","7,193,589,340 ",122.6 
202007,경상남도,김해시,가로등,"15,875 ","3,880,120 ","473,874,789 ",122.1 
202007,경상남도,김해시,교육용,199 ,"4,585,747 ","555,005,769 ",121 
202007,경상남도,김해시,농사용,"10,645 ","10,201,567 ","514,851,602 ",50.5 
202007,경상남도,김해시,산업용,"9,704 ","242,332,277 ","34,927,621,055 ",144.1 
202007,경상남도,김해시,심 야,"6,295 ","1,705,580 ","100,877,000 ",59.1 
202007,경상남도,김해시,일반용,"31,055 ","84,435,346 ","12,593,130,876 ",149.1 
202007,경상남도,김해시,주택용,"134,836 ","63,163,480 ","5,931,449,809 ",93.9 
202007,경상남도,김해시,합계,"208,609 ","410,304,117 ","55,096,810,900 ",134.3 
202007,경상남도,남해군,가로등,"5,243 ","268,171 ","35,467,759 ",132.3 
202007,경상남도,남해군,교육용,43 ,"537,181 ","64,745,278 ",120.5 
202007,경상남도,남해군,농사용,"11,281 ","5,227,962 ","254,869,533 ",48.8 
202007,경상남도,남해군,산업용,832 ,"1,814,693 ","251,705,001 ",138.7 
202007,경상남도,남해군,심 야,"1,819 ","686,386 ","37,577,648 ",54.7 
202007,경상남도,남해군,일반용,"4,973 ","7,996,221 ","1,255,283,731 ",157 
202007,경상남도,남해군,주택용,"27,740 ","3,973,229 ","436,786,109 ",109.9 
202007,경상남도,남해군,합계,"51,931 ","20,503,843 ","2,336,435,059 ",114 
202007,경상남도,밀양시,가로등,"11,007 ","815,920 ","104,270,710 ",127.8 
202007,경상남도,밀양시,교육용,65 ,"1,380,218 ","156,508,082 ",113.4 
202007,경상남도,밀양시,농사용,"24,612 ","11,858,281 ","635,656,133 ",53.6 
202007,경상남도,밀양시,산업용,"1,473 ","39,081,512 ","5,566,022,971 ",142.4 
202007,경상남도,밀양시,심 야,"4,144 ","1,096,535 ","63,001,222 ",57.5 
202007,경상남도,밀양시,일반용,"9,562 ","17,252,226 ","2,695,346,821 ",156.2 
202007,경상남도,밀양시,주택용,"54,930 ","11,322,632 ","1,097,566,629 ",96.9 
202007,경상남도,밀양시,합계,"105,793 ","82,807,324 ","10,318,372,568 ",124.6 
202007,경상남도,사천시,가로등,"9,529 ","796,570 ","101,350,020 ",127.2 
202007,경상남도,사천시,교육용,65 ,"939,184 ","111,809,203 ",119 
202007,경상남도,사천시,농사용,"8,363 ","4,413,898 ","231,338,220 ",52.4 
202007,경상남도,사천시,산업용,"1,244 ","67,266,989 ","8,896,701,530 ",132.3 
202007,경상남도,사천시,심 야,"2,475 ","876,328 ","48,479,785 ",55.3 
