년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,경상북도,경산시,일반용,17898,235326840,17.94
202007-202012,경상북도,경산시,합계,26946,1311444587,
202007-202012,경상북도,경주시,일반용,25589,327791561,17.16
202007-202012,경상북도,경주시,합계,34652,1909711364,
202007-202012,경상북도,고령군,일반용,3207,33602686,5.69
202007-202012,경상북도,고령군,합계,5756,590468935,
202007-202012,경상북도,구미시,일반용,27379,354712624,7.48
202007-202012,경상북도,구미시,합계,34858,4742348569,
202007-202012,경상북도,군위군,일반용,2217,26823747,16.77
202007-202012,경상북도,군위군,합계,5462,159950149,
202007-202012,경상북도,김천시,일반용,10427,142689913,12.38
202007-202012,경상북도,김천시,합계,18917,1152557401,
202007-202012,경상북도,문경시,일반용,6606,74169029,25.86
202007-202012,경상북도,문경시,합계,11324,286783991,
202007-202012,경상북도,봉화군,일반용,2910,24744571,2.57
202007-202012,경상북도,봉화군,합계,7678,962605247,
202007-202012,경상북도,상주시,일반용,7964,81556259,22.0
202007-202012,경상북도,상주시,합계,17917,370757379,
202007-202012,경상북도,성주군,일반용,4368,44103461,8.84
202007-202012,경상북도,성주군,합계,10094,499035664,
202007-202012,경상북도,안동시,일반용,13697,178478819,32.16
202007-202012,경상북도,안동시,합계,22221,554899397,
202007-202012,경상북도,영덕군,일반용,5298,59731644,41.63
202007-202012,경상북도,영덕군,합계,7268,143490110,
202007-202012,경상북도,영양군,일반용,1545,13669961,24.52
202007-202012,경상북도,영양군,합계,4336,55747811,
202007-202012,경상북도,영주시,일반용,9781,97691165,12.5
202007-202012,경상북도,영주시,합계,14763,781647862,
202007-202012,경상북도,영천시,일반용,8509,94675354,12.63
202007-202012,경상북도,영천시,합계,15730,749858131,
202007-202012,경상북도,예천군,일반용,3830,48927022,26.71
202007-202012,경상북도,예천군,합계,10203,183144783,
202007-202012,경상북도,울릉군,일반용,1924,18577716,59.03
202007-202012,경상북도,울릉군,합계,1428,31470910,
202007-202012,경상북도,울진군,일반용,5540,70653242,19.45
202007-202012,경상북도,울진군,합계,9497,363172753,
202007-202012,경상북도,의성군,일반용,4264,39865927,18.98
202007-202012,경상북도,의성군,합계,12362,210011185,
202007-202012,경상북도,청도군,일반용,3954,43563272,18.41
202007-202012,경상북도,청도군,합계,10218,236647835,
202007-202012,경상북도,청송군,일반용,2758,28843707,31.04
202007-202012,경상북도,청송군,합계,6733,92932733,
202007-202012,경상북도,칠곡군,일반용,10903,149774212,16.07
202007-202012,경상북도,칠곡군,합계,14410,931860726,
202007-202012,경상북도,포항시,일반용,40062,510080600,11.51
202007-202012,경상북도,포항시,합계,45860,4430237162,
