拌距辆喊 傈仿荤侩樊 岿喊( 20220804 泅犁 ),,,,,,,
"矫档 : 堡林堡开矫, 矫焙备 : 傈眉(矫 / 焙 / 备)",,,,,,,
扁埃 : 2020斥 07 岿 ~ 2020斥 12岿,,,,,,,
斥岿,矫备,矫焙备,拌距备盒,绊按龋荐(龋),荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"387,497 ","177,193,314 ","17,154,286,820 ",96.8 
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"93,482 ","246,878,075 ","36,444,263,155 ",147.6 
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,628 ,"22,455,371 ","2,561,400,398 ",114.1 
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,376 ","263,166,141 ","34,238,530,075 ",130.1 
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,819 ","4,853,327 ","254,738,290 ",52.5 
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"47,568 ","5,692,265 ","684,978,876 ",120.3 
202007,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"5,905 ","3,499,046 ","245,712,783 ",70.2 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"387,303 ","216,908,363 ","21,797,482,079 ",100.5 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"93,560 ","274,785,535 ","39,280,571,964 ",142.9 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,628 ,"22,668,265 ","2,362,812,992 ",104.2 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,391 ","255,513,960 ","32,726,354,152 ",128.1 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,859 ","6,194,104 ","311,988,987 ",50.4 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"47,665 ","5,940,260 ","695,529,477 ",117.1 
202008,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"5,871 ","3,919,064 ","282,570,140 ",72.1 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"387,176 ","237,788,484 ","27,754,096,445 ",116.7 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"93,630 ","268,974,612 ","34,305,236,286 ",127.5 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,629 ,"22,205,204 ","2,181,819,948 ",98.3 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),魂诀侩,"6,404 ","266,309,128 ","28,249,962,003 ",106.1 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),丑荤侩,"11,891 ","5,892,939 ","304,680,025 ",51.7 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),啊肺殿,"47,584 ","6,233,652 ","712,239,540 ",114.3 
202009,堡林堡开矫,傈眉(矫 / 焙 / 备),缴 具,"5,847 ","2,961,647 ","210,660,407 ",71.1 
202010,堡林堡开矫,傈眉(矫 / 焙 / 备),林琶侩,"386,791 ","166,745,176 ","16,689,059,206 ",100.1 
202010,堡林堡开矫,傈眉(矫 / 焙 / 备),老馆侩,"93,543 ","206,116,800 ","24,018,865,147 ",116.5 
202010,堡林堡开矫,傈眉(矫 / 焙 / 备),背腊侩,627 ,"16,781,152 ","1,491,653,880 ",88.9 
