년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,부산광역시,강서구,일반용,10197,232390023,11.25
202007-202012,부산광역시,강서구,합계,9262,2066166244,
202007-202012,부산광역시,금정구,일반용,15477,190474512,35.02
202007-202012,부산광역시,금정구,합계,18752,543833874,
202007-202012,부산광역시,기장군,일반용,8750,163429717,24.4
202007-202012,부산광역시,기장군,합계,9437,669842312,
202007-202012,부산광역시,남구,일반용,12221,203688054,27.93
202007-202012,부산광역시,남구,합계,16567,729202199,
202007-202012,부산광역시,동구,일반용,7369,143268354,54.92
202007-202012,부산광역시,동구,합계,8878,260890686,
202007-202012,부산광역시,동래구,일반용,15589,209134667,43.52
202007-202012,부산광역시,동래구,합계,15564,480533774,
202007-202012,부산광역시,부산진구,일반용,22961,403337320,46.67
202007-202012,부산광역시,부산진구,합계,23005,864267841,
202007-202012,부산광역시,북구,일반용,10735,165118774,36.83
202007-202012,부산광역시,북구,합계,12986,448380897,
202007-202012,부산광역시,사상구,일반용,13111,202386345,26.05
202007-202012,부산광역시,사상구,합계,13904,776940875,
202007-202012,부산광역시,사하구,일반용,14530,211686883,16.64
202007-202012,부산광역시,사하구,합계,19452,1272367428,
202007-202012,부산광역시,서구,일반용,6472,119161545,38.63
202007-202012,부산광역시,서구,합계,10191,308473419,
202007-202012,부산광역시,수영구,일반용,11015,152389362,48.65
202007-202012,부산광역시,수영구,합계,12689,313262634,
202007-202012,부산광역시,연제구,일반용,11376,189219491,47.27
202007-202012,부산광역시,연제구,합계,12052,400307993,
202007-202012,부산광역시,영도구,일반용,6165,76773963,33.82
202007-202012,부산광역시,영도구,합계,9644,227012287,
202007-202012,부산광역시,중구,일반용,8477,144218553,78.07
202007-202012,부산광역시,중구,합계,6377,184725156,
202007-202012,부산광역시,해운대구,일반용,14753,444128245,47.21
202007-202012,부산광역시,해운대구,합계,15761,940818900,
