계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 서울특별시, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,서울특별시,전체(시 / 군 / 구),주택용,"2,858,052 ","1,217,456,430 ","130,444,022,697 ",107.1 
202007,서울특별시,전체(시 / 군 / 구),일반용,"545,505 ","2,218,189,479 ","325,434,413,030 ",146.7 
202007,서울특별시,전체(시 / 군 / 구),교육용,"2,645 ","130,349,785 ","14,966,650,092 ",114.8 
202007,서울특별시,전체(시 / 군 / 구),산업용,"44,289 ","425,398,146 ","56,630,417,485 ",133.1 
202007,서울특별시,전체(시 / 군 / 구),농사용,"1,903 ","1,407,521 ","71,402,513 ",50.7 
202007,서울특별시,전체(시 / 군 / 구),가로등,"206,436 ","20,576,279 ","2,538,395,431 ",123.4 
202007,서울특별시,전체(시 / 군 / 구),심 야,"13,597 ","60,647,979 ","4,364,758,889 ",72.0 
202008,서울특별시,전체(시 / 군 / 구),주택용,"2,859,083 ","1,411,611,643 ","155,152,238,181 ",109.9 
202008,서울특별시,전체(시 / 군 / 구),일반용,"545,383 ","2,356,394,207 ","335,940,130,967 ",142.6 
202008,서울특별시,전체(시 / 군 / 구),교육용,"2,636 ","132,296,649 ","14,887,292,569 ",112.5 
202008,서울특별시,전체(시 / 군 / 구),산업용,"44,273 ","444,161,097 ","57,969,427,143 ",130.5 
202008,서울특별시,전체(시 / 군 / 구),농사용,"1,902 ","1,571,449 ","77,973,049 ",49.6 
202008,서울특별시,전체(시 / 군 / 구),가로등,"215,330 ","21,729,870 ","2,564,306,864 ",118.0 
202008,서울특별시,전체(시 / 군 / 구),심 야,"13,541 ","70,768,871 ","5,248,692,513 ",74.2 
202009,서울특별시,전체(시 / 군 / 구),주택용,"2,861,628 ","1,460,564,556 ","174,070,466,434 ",119.2 
202009,서울특별시,전체(시 / 군 / 구),일반용,"545,374 ","2,185,114,690 ","272,578,228,440 ",124.7 
202009,서울특별시,전체(시 / 군 / 구),교육용,"2,627 ","126,096,136 ","12,110,544,045 ",96.0 
202009,서울특별시,전체(시 / 군 / 구),산업용,"44,245 ","437,418,229 ","50,068,438,479 ",114.5 
202009,서울특별시,전체(시 / 군 / 구),농사용,"1,906 ","1,504,652 ","74,460,527 ",49.5 
202009,서울특별시,전체(시 / 군 / 구),가로등,"215,488 ","22,604,801 ","2,618,273,499 ",115.8 
202009,서울특별시,전체(시 / 군 / 구),심 야,"13,498 ","51,042,889 ","3,682,254,565 ",72.1 
202010,서울특별시,전체(시 / 군 / 구),주택용,"2,863,459 ","1,077,247,451 ","111,648,550,562 ",103.6 
202010,서울특별시,전체(시 / 군 / 구),일반용,"544,820 ","1,726,834,412 ","202,849,965,861 ",117.5 
202010,서울특별시,전체(시 / 군 / 구),교육용,"2,626 ","93,038,479 ","8,454,101,202 ",90.9 
