년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,인천광역시,강화군,일반용,8241,84954951,31.6
202007-202012,인천광역시,강화군,합계,13861,268815361,
202007-202012,인천광역시,계양구,일반용,12572,214014430,33.54
202007-202012,인천광역시,계양구,합계,16217,638147845,
202007-202012,인천광역시,남동구,일반용,23565,449623680,23.82
202007-202012,인천광역시,남동구,합계,26134,1887857014,
202007-202012,인천광역시,동구,일반용,3642,52834413,3.05
202007-202012,인천광역시,동구,합계,4333,1732332111,
202007-202012,인천광역시,미추홀구,일반용,21392,300134807,35.27
202007-202012,인천광역시,미추홀구,합계,32142,850962275,
202007-202012,인천광역시,부평구,일반용,21771,372725499,32.73
202007-202012,인천광역시,부평구,합계,26497,1138806403,
202007-202012,인천광역시,서구,일반용,24090,529793113,18.82
202007-202012,인천광역시,서구,합계,27485,2815297638,
202007-202012,인천광역시,연수구,일반용,9699,363726033,27.78
202007-202012,인천광역시,연수구,합계,10445,1309179231,
202007-202012,인천광역시,옹진군,일반용,4013,53309663,47.45
202007-202012,인천광역시,옹진군,합계,4186,112357145,
202007-202012,인천광역시,중구,일반용,11256,531410699,45.92
202007-202012,인천광역시,중구,합계,10123,1157365068,
