계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,전라남도,전체(시 / 군 / 구),주택용,"758,658 ","203,240,437 ","19,803,095,561 ",97.4 
202007,전라남도,전체(시 / 군 / 구),일반용,"154,239 ","316,721,555 ","48,199,538,028 ",152.2 
202007,전라남도,전체(시 / 군 / 구),교육용,"1,322 ","23,904,312 ","2,723,960,213 ",114.0 
202007,전라남도,전체(시 / 군 / 구),산업용,"21,332 ","1,672,625,576 ","191,133,281,618 ",114.3 
202007,전라남도,전체(시 / 군 / 구),농사용,"296,417 ","274,821,910 ","13,057,666,212 ",47.5 
202007,전라남도,전체(시 / 군 / 구),가로등,"182,441 ","17,568,271 ","2,177,917,102 ",124.0 
202007,전라남도,전체(시 / 군 / 구),심 야,"42,337 ","17,046,366 ","981,605,891 ",57.6 
202008,전라남도,전체(시 / 군 / 구),주택용,"759,532 ","256,763,594 ","26,521,541,151 ",103.3 
202008,전라남도,전체(시 / 군 / 구),일반용,"154,701 ","362,305,761 ","52,858,479,013 ",145.9 
202008,전라남도,전체(시 / 군 / 구),교육용,"1,324 ","24,394,925 ","2,375,385,270 ",97.4 
202008,전라남도,전체(시 / 군 / 구),산업용,"21,398 ","1,674,240,537 ","186,819,126,183 ",111.6 
202008,전라남도,전체(시 / 군 / 구),농사용,"297,487 ","336,621,623 ","15,719,931,993 ",46.7 
202008,전라남도,전체(시 / 군 / 구),가로등,"182,836 ","18,327,561 ","2,210,012,442 ",120.6 
202008,전라남도,전체(시 / 군 / 구),심 야,"42,193 ","17,035,911 ","989,533,070 ",58.1 
202009,전라남도,전체(시 / 군 / 구),주택용,"760,741 ","266,491,965 ","30,575,062,286 ",114.7 
202009,전라남도,전체(시 / 군 / 구),일반용,"154,859 ","356,210,775 ","46,944,551,620 ",131.8 
202009,전라남도,전체(시 / 군 / 구),교육용,"1,325 ","25,948,844 ","2,907,579,494 ",112.1 
202009,전라남도,전체(시 / 군 / 구),산업용,"21,439 ","1,765,403,380 ","158,109,330,633 ",89.6 
202009,전라남도,전체(시 / 군 / 구),농사용,"298,526 ","341,738,114 ","15,802,789,938 ",46.2 
202009,전라남도,전체(시 / 군 / 구),가로등,"183,525 ","19,169,850 ","2,230,310,311 ",116.3 
202009,전라남도,전체(시 / 군 / 구),심 야,"42,073 ","14,486,481 ","852,626,809 ",58.9 
202010,전라남도,전체(시 / 군 / 구),주택용,"761,633 ","196,657,376 ","20,404,975,043 ",103.8 
202010,전라남도,전체(시 / 군 / 구),일반용,"154,945 ","278,208,031 ","33,389,438,486 ",120.0 
202010,전라남도,전체(시 / 군 / 구),교육용,"1,325 ","18,364,845 ","1,729,944,446 ",94.2 
202010,전라남도,전체(시 / 군 / 구),산업용,"21,467 ","1,698,793,507 ","149,103,785,092 ",87.8 
202010,전라남도,전체(시 / 군 / 구),농사용,"299,253 ","279,854,608 ","13,319,184,833 ",47.6 
202010,전라남도,전체(시 / 군 / 구),가로등,"183,843 ","20,703,980 ","2,273,740,374 ",109.8 
202010,전라남도,전체(시 / 군 / 구),심 야,"41,930 ","20,086,400 ","1,128,231,478 ",56.2 
202011,전라남도,전체(시 / 군 / 구),주택용,"762,970 ","204,613,504 ","21,888,821,115 ",107.0 
202011,전라남도,전체(시 / 군 / 구),일반용,"155,265 ","294,394,208 ","38,513,200,281 ",130.8 
202011,전라남도,전체(시 / 군 / 구),교육용,"1,329 ","23,439,121 ","2,445,899,447 ",104.4 
202011,전라남도,전체(시 / 군 / 구),산업용,"21,505 ","1,473,720,009 ","168,665,490,811 ",114.4 
202011,전라남도,전체(시 / 군 / 구),농사용,"422,035 ","360,749,045 ","15,982,329,136 ",44.3 
202011,전라남도,전체(시 / 군 / 구),가로등,"199,816 ","21,330,895 ","2,292,575,630 ",107.5 
202011,전라남도,전체(시 / 군 / 구),심 야,"41,829 ","38,747,608 ","2,462,242,459 ",63.5 
202012,전라남도,전체(시 / 군 / 구),주택용,"763,933 ","218,352,570 ","24,084,687,951 ",110.3 
202012,전라남도,전체(시 / 군 / 구),일반용,"155,765 ","329,888,185 ","46,237,175,739 ",140.2 
202012,전라남도,전체(시 / 군 / 구),교육용,"1,334 ","31,433,220 ","3,360,289,971 ",106.9 
202012,전라남도,전체(시 / 군 / 구),산업용,"21,513 ","1,672,582,980 ","187,240,413,518 ",111.9 
202012,전라남도,전체(시 / 군 / 구),농사용,"324,048 ","326,043,103 ","15,602,593,392 ",47.9 
202012,전라남도,전체(시 / 군 / 구),가로등,"189,075 ","21,558,054 ","2,265,750,593 ",105.1 
202012,전라남도,전체(시 / 군 / 구),심 야,"41,691 ","58,628,439 ","4,398,547,721 ",75.0 
합계,합계,합계,합계,"8,945,209","15,593,217,436","1,579,782,642,354",101.3
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,전라남도,강진군,가로등,"5,020 ","373,141 ","45,039,617 ",120.7 
202007,전라남도,강진군,교육용,38 ,"526,373 ","60,961,638 ",115.8 
202007,전라남도,강진군,농사용,"10,094 ","10,128,180 ","490,926,999 ",48.5 
202007,전라남도,강진군,산업용,611 ,"4,977,575 ","686,200,011 ",137.9 
202007,전라남도,강진군,심 야,"1,409 ","503,263 ","29,315,945 ",58.3 
202007,전라남도,강진군,일반용,"3,215 ","5,025,029 ","791,958,948 ",157.6 
202007,전라남도,강진군,주택용,"20,267 ","3,498,527 ","337,933,837 ",96.6 
202007,전라남도,강진군,합계,"40,654 ","25,032,088 ","2,442,336,995 ",97.6 
202007,전라남도,고흥군,가로등,"12,042 ","494,355 ","63,148,223 ",127.7 
202007,전라남도,고흥군,교육용,65 ,"739,136 ","86,237,566 ",116.7 
202007,전라남도,고흥군,농사용,"21,378 ","12,014,130 ","589,195,042 ",49 
202007,전라남도,고흥군,산업용,"1,438 ","5,785,887 ","819,387,357 ",141.6 
202007,전라남도,고흥군,심 야,"1,597 ","680,613 ","38,963,319 ",57.2 
202007,전라남도,고흥군,일반용,"5,821 ","8,273,813 ","1,276,907,318 ",154.3 
202007,전라남도,고흥군,주택용,"41,455 ","6,832,094 ","693,403,916 ",101.5 
202007,전라남도,고흥군,합계,"83,796 ","34,820,028 ","3,567,242,741 ",102.4 
202007,전라남도,곡성군,가로등,"6,624 ","486,636 ","61,691,863 ",126.8 
202007,전라남도,곡성군,교육용,27 ,"560,619 ","70,340,960 ",125.5 
202007,전라남도,곡성군,농사용,"9,003 ","5,471,550 ","264,540,292 ",48.3 
202007,전라남도,곡성군,산업용,454 ,"20,845,920 ","2,298,861,298 ",110.3 
202007,전라남도,곡성군,심 야,"1,342 ","429,475 ","23,786,168 ",55.4 
202007,전라남도,곡성군,일반용,"2,371 ","4,103,347 ","659,463,994 ",160.7 
202007,전라남도,곡성군,주택용,"17,102 ","2,725,116 ","275,262,467 ",101 
202007,전라남도,곡성군,합계,"36,923 ","34,622,663 ","3,653,947,042 ",105.5 
202007,전라남도,광양시,가로등,"8,117 ","982,808 ","127,533,124 ",129.8 
202007,전라남도,광양시,교육용,74 ,"1,535,308 ","173,973,391 ",113.3 
202007,전라남도,광양시,농사용,"9,299 ","2,595,842 ","149,507,264 ",57.6 
202007,전라남도,광양시,산업용,"1,029 ","226,430,539 ","24,435,721,417 ",107.9 
202007,전라남도,광양시,심 야,"1,679 ","616,070 ","33,730,774 ",54.8 
202007,전라남도,광양시,일반용,"11,339 ","22,991,390 ","3,575,081,017 ",155.5 
202007,전라남도,광양시,주택용,"49,826 ","16,807,212 ","1,575,628,155 ",93.7 
202007,전라남도,광양시,합계,"81,363 ","271,959,169 ","30,071,175,142 ",110.6 
202007,전라남도,구례군,가로등,"4,583 ","599,085 ","72,226,886 ",120.6 
202007,전라남도,구례군,교육용,26 ,"269,420 ","31,504,764 ",116.9 
202007,전라남도,구례군,농사용,"8,582 ","2,940,709 ","147,603,835 ",50.2 
202007,전라남도,구례군,산업용,420 ,"2,106,842 ","316,599,653 ",150.3 
202007,전라남도,구례군,심 야,"1,041 ","440,016 ","24,250,989 ",55.1 
202007,전라남도,구례군,일반용,"2,659 ","4,754,074 ","746,986,532 ",157.1 
202007,전라남도,구례군,주택용,"14,874 ","2,571,114 ","254,307,779 ",98.9 
202007,전라남도,구례군,합계,"32,185 ","13,681,260 ","1,593,480,438 ",116.5 
202007,전라남도,나주시,가로등,"15,765 ","1,748,709 ","217,106,143 ",124.2 
202007,전라남도,나주시,교육용,79 ,"1,822,588 ","217,587,139 ",119.4 
202007,전라남도,나주시,농사용,"22,305 ","20,518,411 ","982,081,932 ",47.9 
202007,전라남도,나주시,산업용,"1,399 ","43,877,737 ","5,729,695,287 ",130.6 
202007,전라남도,나주시,심 야,"2,376 ","868,430 ","49,380,158 ",56.9 
202007,전라남도,나주시,일반용,"7,898 ","25,113,594 ","3,733,262,303 ",148.7 
202007,전라남도,나주시,주택용,"40,064 ","13,926,337 ","1,304,717,015 ",93.7 
202007,전라남도,나주시,합계,"89,886 ","107,875,806 ","12,233,829,977 ",113.4 
202007,전라남도,담양군,가로등,"7,225 ","547,548 ","66,346,675 ",121.2 
202007,전라남도,담양군,교육용,36 ,"554,074 ","65,547,645 ",118.3 
202007,전라남도,담양군,농사용,"13,040 ","7,073,129 ","359,434,326 ",50.8 
202007,전라남도,담양군,산업용,996 ,"16,608,737 ","2,208,839,564 ",133 
202007,전라남도,담양군,심 야,"2,204 ","735,914 ","41,127,874 ",55.9 
202007,전라남도,담양군,일반용,"4,146 ","9,139,521 ","1,350,424,398 ",147.8 
202007,전라남도,담양군,주택용,"22,396 ","4,013,369 ","428,288,421 ",106.7 
202007,전라남도,담양군,합계,"50,043 ","38,672,292 ","4,520,008,903 ",116.9 
202007,전라남도,목포시,가로등,"7,993 ","1,000,972 ","124,924,968 ",124.8 
202007,전라남도,목포시,교육용,121 ,"2,593,660 ","299,007,784 ",115.3 
202007,전라남도,목포시,농사용,421 ,"230,677 ","12,818,841 ",55.6 
202007,전라남도,목포시,산업용,845 ,"8,979,439 ","1,359,143,562 ",151.4 
202007,전라남도,목포시,심 야,"1,001 ","497,030 ","29,752,447 ",59.9 
202007,전라남도,목포시,일반용,"19,279 ","40,197,759 ","6,037,361,381 ",150.2 
202007,전라남도,목포시,주택용,"69,115 ","27,162,153 ","2,540,888,576 ",93.5 
202007,전라남도,목포시,합계,"98,775 ","80,661,690 ","10,403,897,559 ",129 
202007,전라남도,무안군,가로등,"8,027 ","988,956 ","127,137,956 ",128.6 
202007,전라남도,무안군,교육용,59 ,"1,849,477 ","218,707,942 ",118.3 
202007,전라남도,무안군,농사용,"21,018 ","16,845,927 ","806,237,893 ",47.9 
202007,전라남도,무안군,산업용,737 ,"9,174,526 ","1,299,710,471 ",141.7 
202007,전라남도,무안군,심 야,"1,547 ","647,267 ","37,606,386 ",58.1 
202007,전라남도,무안군,일반용,"6,182 ","13,990,001 ","2,143,839,146 ",153.2 
202007,전라남도,무안군,주택용,"30,669 ","10,397,160 ","1,064,372,106 ",102.4 
202007,전라남도,무안군,합계,"68,239 ","53,893,314 ","5,697,611,900 ",105.7 
202007,전라남도,보성군,가로등,"9,212 ","919,351 ","107,684,769 ",117.1 
202007,전라남도,보성군,교육용,50 ,"528,213 ","56,968,686 ",107.9 
202007,전라남도,보성군,농사용,"12,950 ","6,463,978 ","329,258,545 ",50.9 
202007,전라남도,보성군,산업용,853 ,"4,197,424 ","586,610,183 ",139.8 
202007,전라남도,보성군,심 야,"1,654 ","685,251 ","41,242,117 ",60.2 
202007,전라남도,보성군,일반용,"3,795 ","5,956,782 ","922,812,907 ",154.9 
202007,전라남도,보성군,주택용,"23,789 ","4,103,179 ","395,470,407 ",96.4 
202007,전라남도,보성군,합계,"52,303 ","22,854,178 ","2,440,047,614 ",106.8 
202007,전라남도,순천시,가로등,"16,127 ","2,028,977 ","239,459,884 ",118 
202007,전라남도,순천시,교육용,147 ,"4,099,163 ","433,784,408 ",105.8 
202007,전라남도,순천시,농사용,"18,513 ","6,442,408 ","334,444,719 ",51.9 
202007,전라남도,순천시,산업용,"1,413 ","74,424,425 ","8,856,216,032 ",119 
202007,전라남도,순천시,심 야,"3,027 ","1,299,031 ","76,704,835 ",59 
