년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,전라남도,강진군,일반용,3215,31885098,18.17
202007-202012,전라남도,강진군,합계,7058,175499370,
202007-202012,전라남도,고흥군,일반용,5837,52312776,22.05
202007-202012,전라남도,고흥군,합계,14363,237274032,
202007-202012,전라남도,곡성군,일반용,2375,25182603,12.46
202007-202012,전라남도,곡성군,합계,6267,202101014,
202007-202012,전라남도,광양시,일반용,11400,136482225,8.03
202007-202012,전라남도,광양시,합계,13626,1700100816,
202007-202012,전라남도,구례군,일반용,2673,29419528,34.26
202007-202012,전라남도,구례군,합계,5403,85877789,
202007-202012,전라남도,나주시,일반용,7949,147885593,22.43
202007-202012,전라남도,나주시,합계,15246,659230278,
202007-202012,전라남도,담양군,일반용,4200,56504198,22.58
202007-202012,전라남도,담양군,합계,8502,250275246,
202007-202012,전라남도,목포시,일반용,19301,247082868,47.79
202007-202012,전라남도,목포시,합계,16490,516977531,
202007-202012,전라남도,무안군,일반용,6302,87388727,24.95
202007-202012,전라남도,무안군,합계,11710,350292612,
202007-202012,전라남도,보성군,일반용,3823,37305667,24.16
202007-202012,전라남도,보성군,합계,9013,154390183,
202007-202012,전라남도,순천시,일반용,21063,267624953,25.61
202007-202012,전라남도,순천시,합계,25491,1045102464,
202007-202012,전라남도,신안군,일반용,3888,31925220,19.83
202007-202012,전라남도,신안군,합계,8922,160966834,
202007-202012,전라남도,여수시,일반용,23751,332251092,4.76
202007-202012,전라남도,여수시,합계,27087,6973332400,
202007-202012,전라남도,영광군,일반용,4977,52773511,11.08
202007-202012,전라남도,영광군,합계,9577,476167090,
202007-202012,전라남도,영암군,일반용,4586,64716859,11.0
202007-202012,전라남도,영암군,합계,10012,588112040,
202007-202012,전라남도,완도군,일반용,5694,51868950,9.52
202007-202012,전라남도,완도군,합계,8531,544982933,
202007-202012,전라남도,장성군,일반용,3690,51137062,15.75
202007-202012,전라남도,장성군,합계,7040,324707827,
202007-202012,전라남도,장흥군,일반용,3488,33874626,19.4
202007-202012,전라남도,장흥군,합계,7365,174639629,
202007-202012,전라남도,진도군,일반용,3056,32078957,18.82
202007-202012,전라남도,진도군,합계,6913,170412283,
202007-202012,전라남도,함평군,일반용,2483,26521740,13.29
202007-202012,전라남도,함평군,합계,6926,199505403,
202007-202012,전라남도,해남군,일반용,6437,68236680,19.77
202007-202012,전라남도,해남군,합계,14262,345224623,
202007-202012,전라남도,화순군,일반용,4764,73269582,28.39
202007-202012,전라남도,화순군,합계,8665,258045039,
