계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 전라북도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,전라북도,전체(시 / 군 / 구),주택용,"671,759 ","202,455,410 ","19,566,336,319 ",96.6 
202007,전라북도,전체(시 / 군 / 구),일반용,"143,194 ","302,599,401 ","46,339,802,946 ",153.1 
202007,전라북도,전체(시 / 군 / 구),교육용,"1,245 ","27,529,443 ","3,284,375,679 ",119.3 
202007,전라북도,전체(시 / 군 / 구),산업용,"15,868 ","869,631,924 ","104,324,712,986 ",120.0 
202007,전라북도,전체(시 / 군 / 구),농사용,"158,651 ","130,868,138 ","6,369,310,711 ",48.7 
202007,전라북도,전체(시 / 군 / 구),가로등,"146,231 ","14,775,552 ","1,818,974,867 ",123.1 
202007,전라북도,전체(시 / 군 / 구),심 야,"59,651 ","19,356,471 ","1,101,528,047 ",56.9 
202008,전라북도,전체(시 / 군 / 구),주택용,"673,078 ","244,344,103 ","23,734,920,502 ",97.1 
202008,전라북도,전체(시 / 군 / 구),일반용,"143,402 ","342,559,878 ","50,376,062,854 ",147.1 
202008,전라북도,전체(시 / 군 / 구),교육용,"1,242 ","28,556,577 ","2,741,642,537 ",96.0 
202008,전라북도,전체(시 / 군 / 구),산업용,"15,896 ","848,711,164 ","99,898,635,409 ",117.7 
202008,전라북도,전체(시 / 군 / 구),농사용,"159,679 ","158,904,416 ","7,634,974,841 ",48.0 
202008,전라북도,전체(시 / 군 / 구),가로등,"146,513 ","15,271,188 ","1,814,066,113 ",118.8 
202008,전라북도,전체(시 / 군 / 구),심 야,"59,508 ","20,136,847 ","1,157,564,971 ",57.5 
202009,전라북도,전체(시 / 군 / 구),주택용,"674,248 ","269,526,759 ","30,303,998,006 ",112.4 
202009,전라북도,전체(시 / 군 / 구),일반용,"143,646 ","339,496,755 ","44,587,178,799 ",131.3 
202009,전라북도,전체(시 / 군 / 구),교육용,"1,241 ","27,441,387 ","3,071,233,736 ",111.9 
202009,전라북도,전체(시 / 군 / 구),산업용,"15,935 ","969,724,869 ","90,282,659,811 ",93.1 
202009,전라북도,전체(시 / 군 / 구),농사용,"160,732 ","163,938,560 ","7,834,319,251 ",47.8 
202009,전라북도,전체(시 / 군 / 구),가로등,"146,768 ","16,144,221 ","1,846,963,357 ",114.4 
202009,전라북도,전체(시 / 군 / 구),심 야,"59,380 ","17,012,493 ","980,262,949 ",57.6 
202010,전라북도,전체(시 / 군 / 구),주택용,"675,170 ","196,496,072 ","20,131,778,582 ",102.5 
202010,전라북도,전체(시 / 군 / 구),일반용,"143,713 ","258,352,493 ","31,847,189,014 ",123.3 
202010,전라북도,전체(시 / 군 / 구),교육용,"1,237 ","20,329,953 ","2,000,089,698 ",98.4 
202010,전라북도,전체(시 / 군 / 구),산업용,"15,980 ","949,909,029 ","85,486,056,592 ",90.0 
202010,전라북도,전체(시 / 군 / 구),농사용,"161,141 ","125,591,305 ","6,317,141,729 ",50.3 
202010,전라북도,전체(시 / 군 / 구),가로등,"146,942 ","17,528,883 ","1,881,631,564 ",107.3 
202010,전라북도,전체(시 / 군 / 구),심 야,"59,253 ","26,746,430 ","1,477,931,874 ",55.3 
202011,전라북도,전체(시 / 군 / 구),주택용,"676,235 ","205,744,711 ","21,724,226,167 ",105.6 
202011,전라북도,전체(시 / 군 / 구),일반용,"143,976 ","278,149,479 ","37,005,617,841 ",133.0 
202011,전라북도,전체(시 / 군 / 구),교육용,"1,232 ","27,838,650 ","2,966,445,566 ",106.6 
202011,전라북도,전체(시 / 군 / 구),산업용,"16,030 ","940,336,713 ","105,525,578,654 ",112.2 
202011,전라북도,전체(시 / 군 / 구),농사용,"233,889 ","167,468,662 ","7,556,167,630 ",45.1 
202011,전라북도,전체(시 / 군 / 구),가로등,"147,286 ","18,448,550 ","1,938,314,675 ",105.1 
202011,전라북도,전체(시 / 군 / 구),심 야,"59,157 ","57,483,150 ","3,614,164,542 ",62.9 
202012,전라북도,전체(시 / 군 / 구),주택용,"677,143 ","218,623,660 ","23,713,547,669 ",108.5 
202012,전라북도,전체(시 / 군 / 구),일반용,"144,277 ","320,188,242 ","44,795,320,089 ",139.9 
202012,전라북도,전체(시 / 군 / 구),교육용,"1,233 ","38,518,872 ","3,940,327,585 ",102.3 
202012,전라북도,전체(시 / 군 / 구),산업용,"16,060 ","974,615,262 ","110,808,883,708 ",113.7 
202012,전라북도,전체(시 / 군 / 구),농사용,"198,239 ","170,386,442 ","7,886,512,721 ",46.3 
202012,전라북도,전체(시 / 군 / 구),가로등,"147,456 ","18,674,721 ","1,908,426,533 ",102.2 
202012,전라북도,전체(시 / 군 / 구),심 야,"58,986 ","89,091,666 ","6,616,907,420 ",74.3 
합계,합계,합계,합계,"7,322,502","10,149,508,501","1,078,211,784,544",106.2
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,전라북도,고창군,가로등,"4,382 ","863,469 ","109,351,839 ",126.6 
202007,전라북도,고창군,교육용,59 ,"637,888 ","74,814,332 ",117.3 
202007,전라북도,고창군,농사용,"15,606 ","21,503,237 ","1,012,724,741 ",47.1 
202007,전라북도,고창군,산업용,689 ,"8,579,801 ","1,199,394,949 ",139.8 
202007,전라북도,고창군,심 야,"3,085 ","1,059,250 ","57,727,857 ",54.5 
202007,전라북도,고창군,일반용,"4,831 ","8,650,909 ","1,338,032,768 ",154.7 
202007,전라북도,고창군,주택용,"31,203 ","5,485,536 ","555,207,108 ",101.2 
202007,전라북도,고창군,합계,"59,855 ","46,780,090 ","4,347,253,594 ",92.9 
202007,전라북도,군산시,가로등,"18,507 ","1,606,307 ","199,929,936 ",124.5 
202007,전라북도,군산시,교육용,165 ,"3,401,731 ","411,999,863 ",121.1 
202007,전라북도,군산시,농사용,"7,045 ","6,139,696 ","282,032,938 ",45.9 
202007,전라북도,군산시,산업용,"1,963 ","303,612,534 ","35,158,505,784 ",115.8 
202007,전라북도,군산시,심 야,"7,862 ","2,346,730 ","132,433,152 ",56.4 
202007,전라북도,군산시,일반용,"20,677 ","49,647,685 ","7,364,238,472 ",148.3 
202007,전라북도,군산시,주택용,"84,911 ","31,310,247 ","2,948,576,550 ",94.2 
202007,전라북도,군산시,합계,"141,130 ","398,064,930 ","46,497,716,695 ",116.8 
