년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202007-202012,전라북도,고창군,일반용,4851,53962364,16.77
202007-202012,전라북도,고창군,합계,10654,321796927,
202007-202012,전라북도,군산시,일반용,20759,300914949,10.93
202007-202012,전라북도,군산시,합계,23646,2754358546,
202007-202012,전라북도,김제시,일반용,6696,82106620,15.51
202007-202012,전라북도,김제시,합계,13484,529240743,
202007-202012,전라북도,남원시,일반용,7630,79063028,25.91
202007-202012,전라북도,남원시,합계,13978,305089645,
202007-202012,전라북도,무주군,일반용,2801,38902474,38.42
202007-202012,전라북도,무주군,합계,4988,101261481,
202007-202012,전라북도,부안군,일반용,5764,65454155,27.1
202007-202012,전라북도,부안군,합계,9309,241485265,
202007-202012,전라북도,순창군,일반용,2378,22115830,16.36
202007-202012,전라북도,순창군,합계,6165,135155859,
202007-202012,전라북도,완주군,일반용,7746,124518735,14.49
202007-202012,전라북도,완주군,합계,11983,859290359,
202007-202012,전라북도,익산시,일반용,20839,251364834,16.64
202007-202012,전라북도,익산시,합계,28907,1510850379,
202007-202012,전라북도,임실군,일반용,2369,27839341,19.07
202007-202012,전라북도,임실군,합계,5898,145976433,
202007-202012,전라북도,장수군,일반용,1851,18335858,18.46
202007-202012,전라북도,장수군,합계,4759,99338055,
202007-202012,전라북도,전주시,일반용,48303,658430031,29.7
202007-202012,전라북도,전주시,합계,47128,2216595633,
202007-202012,전라북도,정읍시,일반용,9439,96672521,11.68
202007-202012,전라북도,정읍시,합계,17052,827941930,
202007-202012,전라북도,진안군,일반용,2270,21665508,21.42
202007-202012,전라북도,진안군,합계,5445,101127246,
