계약종별 전력사용량 월별( 20220804 현재 ),,,,,,,
"시도 : 충청남도, 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2020년 07 월 ~ 2020년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,충청남도,전체(시 / 군 / 구),주택용,"795,986 ","249,765,943 ","24,566,268,081 ",98.4 
202007,충청남도,전체(시 / 군 / 구),일반용,"170,097 ","376,611,127 ","57,622,357,317 ",153.0 
202007,충청남도,전체(시 / 군 / 구),교육용,"1,142 ","31,995,680 ","3,877,283,826 ",121.2 
202007,충청남도,전체(시 / 군 / 구),산업용,"22,446 ","3,382,974,760 ","393,843,385,579 ",116.4 
202007,충청남도,전체(시 / 군 / 구),농사용,"204,216 ","161,202,258 ","7,860,739,260 ",48.8 
202007,충청남도,전체(시 / 군 / 구),가로등,"159,673 ","12,103,771 ","1,536,959,333 ",127.0 
202007,충청남도,전체(시 / 군 / 구),심 야,"86,551 ","30,953,932 ","1,770,573,137 ",57.2 
202008,충청남도,전체(시 / 군 / 구),주택용,"796,874 ","295,241,629 ","29,069,937,227 ",98.5 
202008,충청남도,전체(시 / 군 / 구),일반용,"170,431 ","416,224,037 ","61,456,687,830 ",147.7 
202008,충청남도,전체(시 / 군 / 구),교육용,"1,142 ","31,663,879 ","3,574,286,067 ",112.9 
202008,충청남도,전체(시 / 군 / 구),산업용,"22,485 ","3,425,612,651 ","387,299,554,022 ",113.1 
202008,충청남도,전체(시 / 군 / 구),농사용,"205,137 ","198,254,719 ","9,533,199,097 ",48.1 
202008,충청남도,전체(시 / 군 / 구),가로등,"160,433 ","12,566,114 ","1,541,213,198 ",122.6 
202008,충청남도,전체(시 / 군 / 구),심 야,"86,364 ","32,125,095 ","1,847,798,108 ",57.5 
202009,충청남도,전체(시 / 군 / 구),주택용,"797,708 ","327,487,455 ","36,950,733,377 ",112.8 
202009,충청남도,전체(시 / 군 / 구),일반용,"170,698 ","412,002,837 ","54,400,052,734 ",132.0 
202009,충청남도,전체(시 / 군 / 구),교육용,"1,142 ","31,778,639 ","3,469,042,164 ",109.2 
202009,충청남도,전체(시 / 군 / 구),산업용,"22,539 ","3,337,858,991 ","305,192,050,646 ",91.4 
202009,충청남도,전체(시 / 군 / 구),농사용,"206,003 ","212,178,539 ","10,045,215,305 ",47.3 
202009,충청남도,전체(시 / 군 / 구),가로등,"160,801 ","13,451,142 ","1,586,687,363 ",118.0 
202009,충청남도,전체(시 / 군 / 구),심 야,"86,220 ","28,429,243 ","1,635,324,004 ",57.5 
202010,충청남도,전체(시 / 군 / 구),주택용,"798,558 ","238,625,274 ","24,272,998,227 ",101.7 
202010,충청남도,전체(시 / 군 / 구),일반용,"170,878 ","323,556,953 ","39,604,402,648 ",122.4 
202010,충청남도,전체(시 / 군 / 구),교육용,"1,140 ","24,675,633 ","2,443,416,288 ",99.0 
202010,충청남도,전체(시 / 군 / 구),산업용,"22,585 ","2,920,254,120 ","262,567,787,691 ",89.9 
202010,충청남도,전체(시 / 군 / 구),농사용,"206,457 ","151,975,898 ","7,711,580,524 ",50.7 
202010,충청남도,전체(시 / 군 / 구),가로등,"161,299 ","14,663,011 ","1,620,500,112 ",110.5 
202010,충청남도,전체(시 / 군 / 구),심 야,"86,052 ","46,396,062 ","2,584,230,446 ",55.7 
202011,충청남도,전체(시 / 군 / 구),주택용,"800,276 ","249,243,723 ","26,180,729,638 ",105.0 
202011,충청남도,전체(시 / 군 / 구),일반용,"171,305 ","348,429,012 ","46,279,947,320 ",132.8 
202011,충청남도,전체(시 / 군 / 구),교육용,"1,139 ","34,728,648 ","3,795,928,561 ",109.3 
202011,충청남도,전체(시 / 군 / 구),산업용,"22,668 ","3,010,090,243 ","338,845,516,916 ",112.6 
202011,충청남도,전체(시 / 군 / 구),농사용,"318,935 ","252,135,009 ","10,428,709,727 ",41.4 
202011,충청남도,전체(시 / 군 / 구),가로등,"161,739 ","15,634,801 ","1,691,678,112 ",108.2 
202011,충청남도,전체(시 / 군 / 구),심 야,"85,893 ","98,485,775 ","6,299,218,438 ",64.0 
202012,충청남도,전체(시 / 군 / 구),주택용,"801,226 ","264,532,302 ","28,654,411,586 ",108.3 
202012,충청남도,전체(시 / 군 / 구),일반용,"171,817 ","407,011,217 ","56,734,774,215 ",139.4 
202012,충청남도,전체(시 / 군 / 구),교육용,"1,141 ","50,457,323 ","5,061,646,786 ",100.3 
202012,충청남도,전체(시 / 군 / 구),산업용,"22,714 ","3,177,455,737 ","359,095,168,602 ",113.0 
202012,충청남도,전체(시 / 군 / 구),농사용,"206,877 ","200,071,344 ","9,908,741,123 ",49.5 
202012,충청남도,전체(시 / 군 / 구),가로등,"162,410 ","16,133,671 ","1,699,416,101 ",105.3 
202012,충청남도,전체(시 / 군 / 구),심 야,"85,717 ","150,935,304 ","11,374,683,285 ",75.4 
합계,합계,합계,합계,"8,788,914","25,015,973,501","2,645,534,834,021",105.8
,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202007,충청남도,계룡시,가로등,"1,302 ","174,680 ","21,462,628 ",122.9 
202007,충청남도,계룡시,교육용,17 ,"276,973 ","33,447,944 ",120.8 
202007,충청남도,계룡시,농사용,592 ,"277,223 ","14,954,910 ",53.9 
202007,충청남도,계룡시,산업용,124 ,"4,669,833 ","656,515,326 ",140.6 
202007,충청남도,계룡시,심 야,288 ,"690,696 ","47,677,082 ",69 
202007,충청남도,계룡시,일반용,"1,869 ","10,592,525 ","1,531,278,856 ",144.6 
202007,충청남도,계룡시,주택용,"4,119 ","4,980,683 ","459,641,334 ",92.3 
202007,충청남도,계룡시,합계,"8,311 ","21,662,613 ","2,764,978,080 ",127.6 
202007,충청남도,공주시,가로등,"9,716 ","1,330,292 ","161,986,764 ",121.8 
202007,충청남도,공주시,교육용,83 ,"2,185,738 ","257,665,626 ",117.9 
202007,충청남도,공주시,농사용,"15,700 ","9,999,773 ","503,294,385 ",50.3 
202007,충청남도,공주시,산업용,"1,235 ","40,130,555 ","5,277,099,400 ",131.5 
